Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Rowma - CUANDO NOS BAÑAMOS,1,1,(x1),15472,,15472,15472,15472,Rowma,CUANDO NOS BAÑAMOS
2,-1,Omar Courtz - KOKO,87,1,(x43),12220,-1743.0,91684,210,1055017,Omar Courtz,KOKO
3,+1,Dariel J - Cuerpo Natural,21,1,(x1),11386,-457.0,76240,3303,218391,Dariel J,Cuerpo Natural
4,-2,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",157,1,(x1),10970,-1726.0,85858,-356,1449749,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
5,-2,Fuerza Regida - TU SANCHO,372,1,(x36),10580,-1287.0,77386,9,3656811,Fuerza Regida,TU SANCHO
6,-1,BTS - SWIM,59,1,(x14),10488,-1109.0,76216,788,765836,BTS,SWIM
7,-1,Fuerza Regida - COQUETA (w/ Grupo Frontera),484,1,(x16),10040,-961.0,71218,551,4350840,Fuerza Regida,COQUETA (w/ Grupo Frontera)
8,-1,Peso Pluma - daño (w/ Tito Double P),143,4,,9699,-660.0,66776,1492,1082098,Peso Pluma,daño (w/ Tito Double P)
9,-1,"El Alfa - PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)",73,3,(x2),9228,-963.0,66949,-509,648822,El Alfa,"PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)"
10,=,Lenin Ramírez - Todo Lo Fue,97,6,,8917,-874.0,64247,-15,681472,Lenin Ramírez,Todo Lo Fue
11,-2,Mr Plata - Las Muñequitas (w/ El Americano 4KT),89,4,,8693,-1125.0,65996,-211,698179,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
12,-1,Fuerza Regida - Marlboro Rojo,378,1,(x16),8616,-1005.0,62314,32,3731400,Fuerza Regida,Marlboro Rojo
13,-1,Lil Naay - UNA BABY EN SANTIAGO,56,11,,8050,-1080.0,61211,736,363222,Lil Naay,UNA BABY EN SANTIAGO
14,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,87,10,,7777,-1026.0,58674,743,669751,Omar Courtz,POR SI MAÑANA NO ESTOY
15,=,Fuerza Regida - EXCESOS,434,15,,7636,-880.0,55894,505,1723567,Fuerza Regida,EXCESOS
16,+1,Oscar Maydon - Tu Boda (w/ Fuerza Regida),591,1,(x4),7606,-726.0,54825,812,5312849,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
17,-3,Danny Ocean - Me Rehúso,2288,1,(x44),7381,-1355.0,58450,-67,7468722,Danny Ocean,Me Rehúso
