Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Noano - Ewa Safi (w/ Lil Kleine),3,1,(x3),183676,-55434.0,718792,183676,718792,Noano,Ewa Safi (w/ Lil Kleine)
2,+1,Kevin - Jij Hebt Mij (w/ Roxy Dekker),17,1,(x14),167795,-53406.0,1686999,-66074,4738546,Kevin,Jij Hebt Mij (w/ Roxy Dekker)
3,-1,Justen de Wildt - Cheerio,43,2,(x5),154823,-77020.0,1249011,2356,5274036,Justen de Wildt,Cheerio
4,=,Robert van Hemert - Moët Dat Nou (w/ Donnie),129,1,(x1),137930,-68798.0,1242515,-26428,13294538,Robert van Hemert,Moët Dat Nou (w/ Donnie)
5,+1,Michael Jackson - Billie Jean,521,5,,116209,-27981.0,899713,11574,17936558,Michael Jackson,Billie Jean
6,+8,Harry Styles - American Girls,73,3,(x1),109912,-2406.0,667005,35120,6816577,Harry Styles,American Girls
7,-2,"Lil Kleine - Maak Me Nou Niet Gek (w/ Samuel Welten, De Amsterdamse Zomer)",24,1,(x5),107426,-49848.0,1042282,-28647,4306601,Lil Kleine,"Maak Me Nou Niet Gek (w/ Samuel Welten, De Amsterdamse Zomer)"
8,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,1,(x10),105857,-31489.0,934748,-14001,5692003,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
9,=,"Trobi - Hoog (w/ KA, Yade Lauren)",17,9,,101437,-20812.0,821588,15269,1629127,Trobi,"Hoog (w/ KA, Yade Lauren)"
10,+2,Bruno Mars - I Just Might,129,1,(x6),98495,-17381.0,783643,-6759,19982116,Bruno Mars,I Just Might
11,NEW,DARA - Bangaranga,1,11,,98247,,98247,98247,98247,DARA,Bangaranga
12,+1,Sam Fender - Rein Me In (w/ Olivia Dean),91,5,,95927,-18184.0,830252,-17108,9594162,Sam Fender,Rein Me In (w/ Olivia Dean)
13,+2,Michael Jackson - Beat It,36,13,,90972,-19862.0,702640,7228,2232853,Michael Jackson,Beat It
14,-4,"Frsh - Bare Minimum (Starboy) (w/ KM, LA$$A)",115,2,(x2),87637,-32010.0,799936,-11142,12955156,Frsh,"Bare Minimum (Starboy) (w/ KM, LA$$A)"
15,+4,Olivia Dean - Man I Need,275,1,(x14),86872,-14500.0,720946,-18018,43471330,Olivia Dean,Man I Need
16,-5,ANOTR - Talk To You (w/ 54 Ultra),73,5,,85909,-32707.0,768567,-14505,7130679,ANOTR,Talk To You (w/ 54 Ultra)
17,-9,"ADF - Punta cana (w/ Ronnie Flex, DJ DYLVN, ADF Antje, Trapmoneybiggie, Carel)",24,1,(x1),85508,-39916.0,899404,-39131,3728426,ADF,"Punta cana (w/ Ronnie Flex, DJ DYLVN, ADF Antje, Trapmoneybiggie, Carel)"
