Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Babasha - Așa și așa (w/ Denis Ramniceanu),13,1,(x1),62795,-8833.0,451265,20276,664405,Babasha,Așa și așa (w/ Denis Ramniceanu)
2,+11,Alexandra Căpitănescu - Choke Me,11,2,(x1),57651,29632.0,150399,57651,183743,Alexandra Căpitănescu,Choke Me
3,-2,Berechet - DEUCESS (w/ VANILLA),13,1,(x10),56427,-16296.0,494811,4474,748299,Berechet,DEUCESS (w/ VANILLA)
4,=,VANILLA - TRECI PESTE,90,1,(x13),37273,-5327.0,287186,207,3835098,VANILLA,TRECI PESTE
5,-2,MADATORRICELLI - Nebunatica (w/ LiToo The Purp),21,2,(x5),32880,-9806.0,288745,-7107,777277,MADATORRICELLI,Nebunatica (w/ LiToo The Purp)
6,-1,Mariano - Te juri ca vrei,74,1,(x5),30911,-6715.0,239333,-2969,2727188,Mariano,Te juri ca vrei
7,+175,DARA - Bangaranga,2,7,,28473,21425.0,35521,28473,35521,DARA,Bangaranga
8,-1,Babasha - Papaya,87,5,,28296,-4791.0,217767,-2615,1998441,Babasha,Papaya
9,-3,Lazy Ed - Mă sună nebunele,91,2,(x2),27888,-7146.0,222165,-358,3018316,Lazy Ed,Mă sună nebunele
10,=,MADATORRICELLI - NA BELEA,59,6,,27828,-3040.0,215270,-2475,1552505,MADATORRICELLI,NA BELEA
11,-3,Lazy Ed - Mor după tine (w/ JO),46,1,(x16),26145,-5670.0,192433,-136,1830338,Lazy Ed,Mor după tine (w/ JO)
12,-3,Luis Gabriel - Jamaica - Live,13,9,,24390,-6690.0,184636,5405,291795,Luis Gabriel,Jamaica - Live
13,+1,Tzanca Uraganu - Cupidoane,108,2,(x2),23588,-3054.0,158958,2339,2661885,Tzanca Uraganu,Cupidoane
14,+3,Michael Jackson - Billie Jean,42,14,,22598,-2775.0,156917,2008,522626,Michael Jackson,Billie Jean
15,-3,"rares - Taj Mahal (w/ Lazy Ed, Costel Biju)",68,2,(x1),22158,-6323.0,168718,-789,2118422,rares,"Taj Mahal (w/ Lazy Ed, Costel Biju)"
16,-5,Tzanca Uraganu - Gagicuta body show,61,3,(x6),21168,-8004.0,166768,-2855,1694712,Tzanca Uraganu,Gagicuta body show
17,-1,MADATORRICELLI - Trag în ea,80,6,,20083,-5377.0,152837,1179,1834622,MADATORRICELLI,Trag în ea
18,+6,Lele - Peter Parker - Balkanic Version (w/ Manele VTM),88,1,(x24),19582,-1806.0,153466,-2783,3140933,Lele,Peter Parker - Balkanic Version (w/ Manele VTM)
19,-4,BTS - SWIM,59,1,(x16),19381,-6239.0,270686,-16302,2410838,BTS,SWIM
20,+8,Alex Botea - Savarina (w/ Raul Talent),70,14,,19210,137.0,131369,5966,1101889,Alex Botea,Savarina (w/ Raul Talent)
21,=,"DZWS - PRIETENA TA (w/ VANILLA, Dj Nattan)",389,3,(x12),18961,-2771.0,138041,244,8503002,DZWS,"PRIETENA TA (w/ VANILLA, Dj Nattan)"
22,=,Babasha - Cât vrei tu,388,1,(x59),18245,-3478.0,138349,-2537,10861461,Babasha,Cât vrei tu
23,-3,"Berechet - STIU CA TI-E DOR (w/ VANILLA, 21SIIEMPRE, CERCEL)",271,5,,18128,-3981.0,151730,628,4420082,Berechet,"STIU CA TI-E DOR (w/ VANILLA, 21SIIEMPRE, CERCEL)"
24,+2,Michael Jackson - Beat It,23,24,,17562,-2472.0,126634,1120,344425,Michael Jackson,Beat It
25,-7,Luis Gabriel - Talentul meu misto,57,11,,17473,-5660.0,142505,1784,1106218,Luis Gabriel,Talentul meu misto
26,+1,VANILLA - CAND VINE NOAPTEA,163,8,,17319,-2030.0,126905,43,2386010,VANILLA,CAND VINE NOAPTEA
27,-4,Alex Botea - Da fata se vede belea (w/ Luis Gabriel),269,1,(x34),17185,-4313.0,121224,-474,6819451,Alex Botea,Da fata se vede belea (w/ Luis Gabriel)
28,-3,Luis Gabriel - Ramai talent,223,2,(x1),17032,-3969.0,124738,1039,4718678,Luis Gabriel,Ramai talent
29,+2,rares - Regele pe reggaeton (w/ Ursaru),10,29,,16560,-1119.0,106417,4987,141110,rares,Regele pe reggaeton (w/ Ursaru)
30,-11,Connect-R - Izabela,31,5,,16068,-6241.0,149180,-2891,744545,Connect-R,Izabela
31,-1,Denis Ramniceanu - Bipolară (w/ Ministerul Manelelor),390,1,(x23),15190,-2578.0,109689,400,10057882,Denis Ramniceanu,Bipolară (w/ Ministerul Manelelor)
32,+3,Dominic Fike - Babydoll,104,8,,14975,-922.0,111065,-1333,2007507,Dominic Fike,Babydoll
33,RE,V - Winter Ahead (w/ Park Hyo Shin),125,1,(x3),14863,,14863,520,1445224,V,Winter Ahead (w/ Park Hyo Shin)
34,+5,Michael Jackson - Dirty Diana - 2012 Remaster,24,30,,14005,-1500.0,106133,-557,320835,Michael Jackson,Dirty Diana - 2012 Remaster
35,+5,Tzanca Uraganu - Damelo (w/ Mr. Juve),388,1,(x33),13906,-1488.0,96825,-426,10210017,Tzanca Uraganu,Damelo (w/ Mr. Juve)
36,-7,Drake - National Treasures,3,12,,13805,-4373.0,65683,13805,65683,Drake,National Treasures
37,-3,"Johny Romano - E Mult, E Greu!",338,1,(x16),13687,-2341.0,96360,-129,8282933,Johny Romano,"E Mult, E Greu!"
38,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),36,9,,13563,-2188.0,105111,-2760,720294,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
39,+6,Petre Stefan - PETER PARKER,199,1,(x18),13508,-982.0,105190,-89,4692959,Petre Stefan,PETER PARKER
40,-8,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",3,7,,13031,-4323.0,68966,13031,68966,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
41,=,VANILLA - FATA DIN FAVELA (w/ Badd G),270,28,,12864,-1919.0,97281,469,2842304,VANILLA,FATA DIN FAVELA (w/ Badd G)
42,+146,"Satoshi - Viva, Moldova!",2,42,,12762,5800.0,19724,12762,19724,Satoshi,"Viva, Moldova!"
43,+10,Michael Jackson - Chicago,22,41,,12711,-320.0,89536,939,238776,Michael Jackson,Chicago
44,-1,Ursaru - Nu mă lasă în pace (w/ Badd G),81,30,,12613,-2014.0,91303,2635,929333,Ursaru,Nu mă lasă în pace (w/ Badd G)
45,+2,IDK - mr. idcash,10,11,,12355,-2068.0,120990,-7316,196455,IDK,mr. idcash
46,-4,Babasha - Walla Eh,67,24,,12283,-2500.0,101980,-1675,864901,Babasha,Walla Eh
