Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,1,(x29),14410,-2600.0,112742,-2717,711126,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
2,NEW,Hard Rico - G Party,1,2,(x1),13132,,13132,13132,13132,Hard Rico,G Party
3,-1,Separ - Zub za zub (w/ Raphael),347,1,(x89),10958,-1181.0,88326,-884,6637950,Separ,Zub za zub (w/ Raphael)
4,=,Dominic Fike - Babydoll,107,1,(x21),10095,-719.0,74999,-523,1407468,Dominic Fike,Babydoll
5,-2,Michael Jackson - Billie Jean,40,3,(x1),10071,-2040.0,72728,755,279068,Michael Jackson,Billie Jean
6,-1,Michael Jackson - Beat It,25,5,,8928,-1710.0,65827,228,211109,Michael Jackson,Beat It
7,+2,Temper City - Self Aware,57,6,,8834,-235.0,68339,-110,428293,Temper City,Self Aware
8,-1,Raphael - 23,102,1,(x31),8674,-550.0,72176,-1155,1864476,Raphael,23
9,-3,P T K - KENPACHI&YACHIRU,27,2,(x1),8334,-1774.0,74467,792,310814,P T K,KENPACHI&YACHIRU
10,-2,Raphael - Ticho,24,1,(x5),8013,-1146.0,74501,-2603,360726,Raphael,Ticho
11,NEW,Hard Rico - Vše co chci,1,11,,7635,,7635,7635,7635,Hard Rico,Vše co chci
12,-1,Sara Rikas - Tempo za 2 (w/ Raphael),390,2,(x3),7522,-1061.0,63530,-699,5204412,Sara Rikas,Tempo za 2 (w/ Raphael)
13,-3,"Separ - Body to body (w/ French Montana, Peter Pann)",415,1,(x60),7335,-1584.0,64948,-1624,7740628,Separ,"Body to body (w/ French Montana, Peter Pann)"
14,+1,"Lboy Bsc - Vodka není voda (w/ Dorian, Freez247)",84,11,,7298,-775.0,61262,-580,554917,Lboy Bsc,"Vodka není voda (w/ Dorian, Freez247)"
