Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",158,1,(x75),23431,-3561.0,181165,-442,3648589,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
2,=,Omar Courtz - KOKO,87,1,(x14),20398,-2864.0,152839,800,1844652,Omar Courtz,KOKO
3,=,Peso Pluma - daño (w/ Tito Double P),143,3,(x6),19343,-2190.0,137075,2704,2360754,Peso Pluma,daño (w/ Tito Double P)
4,=,BTS - SWIM,59,1,(x15),18652,-1870.0,143975,158,1411405,BTS,SWIM
5,=,Fuerza Regida - TU SANCHO,376,1,(x2),17661,-2785.0,132652,195,5660079,Fuerza Regida,TU SANCHO
6,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),455,3,(x8),16494,-2071.0,122043,129,7070289,Fuerza Regida,COQUETA (w/ Grupo Frontera)
7,=,Lenin Ramírez - Todo Lo Fue,99,7,,14307,-1706.0,103389,-149,1135931,Lenin Ramírez,Todo Lo Fue
8,+1,Fuerza Regida - Marlboro Rojo,379,3,(x2),13678,-2045.0,102362,5,5471735,Fuerza Regida,Marlboro Rojo
9,-1,Bad Bunny - BAILE INoLVIDABLE,498,1,(x54),13399,-2495.0,102811,196,12345462,Bad Bunny,BAILE INoLVIDABLE
10,=,Omar Courtz - POR SI MAÑANA NO ESTOY,87,5,,13188,-2189.0,101443,592,1328733,Omar Courtz,POR SI MAÑANA NO ESTOY
11,+1,Oscar Maydon - Tu Boda (w/ Fuerza Regida),593,1,(x60),13081,-1866.0,96763,1368,9972738,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
12,+2,Fuerza Regida - EXCESOS,283,12,,13040,-1072.0,94224,1213,2100745,Fuerza Regida,EXCESOS
13,=,Fuerza Regida - ANSIEDAD,381,7,,12912,-1365.0,94599,1027,4460372,Fuerza Regida,ANSIEDAD
14,-3,Bad Bunny - EoO,497,1,(x87),12587,-2518.0,98385,-184,12058686,Bad Bunny,EoO
15,+3,Junior H - Y LLORO,831,9,,12472,-1142.0,77147,4498,7459227,Junior H,Y LLORO
16,+1,J Balvin - LA CANCIÓN (w/ Bad Bunny),2515,1,(x15),11984,-1689.0,92306,834,28687020,J Balvin,LA CANCIÓN (w/ Bad Bunny)
17,+2,Tito Double P - POR SUS BESOS,311,1,(x4),11983,-1547.0,88333,743,4098257,Tito Double P,POR SUS BESOS
18,-3,Plan B - Es un Secreto,1859,3,(x26),11942,-2066.0,92431,668,23001866,Plan B,Es un Secreto
19,-3,Michael Jackson - Billie Jean,32,13,,11817,-1940.0,88258,-258,326534,Michael Jackson,Billie Jean
20,+5,Junior H - PIÉNSALO,601,20,,11797,-982.0,71690,4167,5041880,Junior H,PIÉNSALO
21,+15,Natax Beat - Piel Morena,5,21,,11632,177.0,58273,11632,58273,Natax Beat,Piel Morena
22,+1,Junior H - MIENTRAS DUERMES,371,18,,11538,-1343.0,70001,4000,3284705,Junior H,MIENTRAS DUERMES
23,-1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",498,1,(x1),11534,-1603.0,89303,387,10051081,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
24,+13,Jimin - Who,647,1,(x63),11324,233.0,58791,4066,10184451,Jimin,Who
25,+3,Junior H - LAS NOCHES,227,25,,11292,-1221.0,67990,4324,1743916,Junior H,LAS NOCHES
26,-5,Danny Ocean - Me Rehúso,3414,1,(x24),11239,-2012.0,88782,270,19035960,Danny Ocean,Me Rehúso
27,-7,Bad Bunny - KLOuFRENS,498,3,(x1),11041,-2280.0,86548,-22,8747916,Bad Bunny,KLOuFRENS
28,-1,Bad Bunny - DtMF,498,1,(x40),10959,-1679.0,84824,-270,10879670,Bad Bunny,DtMF
29,-5,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),214,1,(x45),10893,-1946.0,83509,-3569,3749098,El Bogueto,Cuando No Era Cantante (w/ Yung Beef)
30,=,Omar Courtz - WO OH OH (w/ ROA),87,6,,10850,-1484.0,84941,-753,1146317,Omar Courtz,WO OH OH (w/ ROA)
31,-5,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",1863,3,(x3),10786,-1959.0,83759,843,14186383,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
32,-1,Peso Pluma - dopamina (w/ Tito Double P),143,3,(x2),10636,-1636.0,81536,-399,2130556,Peso Pluma,dopamina (w/ Tito Double P)
33,-4,"Héctor ""El Father"" - El Telefono (w/ Wisin & Yandel)",726,2,(x1),10396,-2087.0,86191,-859,5706481,"Héctor ""El Father""",El Telefono (w/ Wisin & Yandel)
34,+1,Omar Courtz - ⁠LUCES DE COLORES,413,11,,10249,-1342.0,79250,596,3614412,Omar Courtz,⁠LUCES DE COLORES
35,-1,Lil Naay - UNA BABY EN SANTIAGO,44,30,,10225,-1391.0,77027,733,404689,Lil Naay,UNA BABY EN SANTIAGO
36,-3,Emmanuel Cortes - Amor,413,14,,10208,-1507.0,77934,-558,3448874,Emmanuel Cortes,Amor
37,+3,Julión Álvarez y su Norteño Banda - Rey Sin Reina,614,4,,9971,-872.0,69385,115,6162208,Julión Álvarez y su Norteño Banda,Rey Sin Reina
38,=,Fuerza Regida - Por Esos Ojos,460,6,,9879,-1142.0,72924,873,4911527,Fuerza Regida,Por Esos Ojos
39,-7,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),549,1,(x29),9760,-2092.0,79357,181,10329294,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
