Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),36,1,(x30),75447,-2858.0,500654,-10726,3381861,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
2,=,V - Winter Ahead (w/ Park Hyo Shin),535,1,(x470),66170,1970.0,441254,6191,111976627,V,Winter Ahead (w/ Park Hyo Shin)
3,=,BABYMONSTER - CHOOM,14,1,(x1),62134,-2056.0,456805,-6908,904807,BABYMONSTER,CHOOM
4,=,NMIXX - Heavy Serenade,7,1,(x4),55882,-1676.0,455307,55882,455307,NMIXX,Heavy Serenade
5,+1,CORTIS - REDRED,28,2,(x11),50120,-768.0,372131,-5004,1705492,CORTIS,REDRED
6,+1,Crowd Lu - 太陽與地球,243,1,(x1),48554,-46.0,332854,-2457,15224297,Crowd Lu,太陽與地球
7,+1,aespa - WDA (Whole Different Animal) (w/ G-DRAGON),7,5,,45327,-2028.0,316653,45327,316653,aespa,WDA (Whole Different Animal) (w/ G-DRAGON)
8,+2,马也_Crabbit - 海屿你 (w/ Cole先生),94,5,,43342,1215.0,282714,2009,3156444,马也_Crabbit,海屿你 (w/ Cole先生)
9,+8,Khalil Fong - 特別的人,448,4,,42389,4875.0,255974,5679,17186080,Khalil Fong,特別的人
10,-1,Jimin - Who,668,1,(x24),41691,-1907.0,370557,-11469,53737776,Jimin,Who
11,+1,Pets Tseng - 一個人想著一個人,564,5,,40834,190.0,288273,-11907,12102745,Pets Tseng,一個人想著一個人
12,+1,Evangeline Wong - 離開我的依賴,290,7,,39527,274.0,261048,3077,10949350,Evangeline Wong,離開我的依賴
13,+3,Stefanie Sun - 遇見,1894,11,,39424,1036.0,238906,4456,25564167,Stefanie Sun,遇見
14,+1,Karencici - 愛你但說不出口,579,8,,39163,409.0,269281,-1742,11819949,Karencici,愛你但說不出口
15,-1,ILLIT - It's Me,18,8,,37904,-875.0,274971,-3915,655566,ILLIT,It's Me
16,-11,Jin - Don’t Say You Love Me,367,1,(x2),37478,-15240.0,376321,10871,33919469,Jin,Don’t Say You Love Me
17,-6,Stefanie Sun - 我懷念的,1434,10,,36560,-4208.0,241101,4976,19920944,Stefanie Sun,我懷念的
18,=,The Kid LAROI - Stay (w/ Justin Bieber),1769,1,(x105),36181,-572.0,247663,-4987,43634758,The Kid LAROI,Stay (w/ Justin Bieber)
19,+3,A-Lin - 幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,136,2,(x27),34885,1449.0,230635,2647,7314340,A-Lin,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲
20,=,Stefanie Sun - 開始懂了,626,20,,34782,320.0,196111,10914,10350307,Stefanie Sun,開始懂了
21,-2,BTS - SWIM,59,1,(x17),34290,-1474.0,262633,-3509,3664133,BTS,SWIM
22,-1,Justin Bieber - DAISIES,232,2,(x3),33809,325.0,240823,-6030,6572540,Justin Bieber,DAISIES
23,=,Jay Chou - 擱淺,1721,9,,32760,-652.0,225862,2550,39929729,Jay Chou,擱淺
24,+5,Bestards - 離開的一路上,927,1,(x6),32043,1792.0,220030,639,39367926,Bestards,離開的一路上
25,=,EggPlantEgg - 閣愛妳一擺,1619,2,(x142),31025,-280.0,199762,2160,44836423,EggPlantEgg,閣愛妳一擺
26,-2,Justin Bieber - Baby (w/ Ludacris),36,4,,31002,-690.0,210873,-6221,1626494,Justin Bieber,Baby (w/ Ludacris)
27,+23,Stefanie Sun - 我不難過,302,27,,30882,7418.0,150747,15279,4648731,Stefanie Sun,我不難過
28,=,Hearts2Hearts - RUDE!,86,6,,30433,-255.0,215274,-1454,3551343,Hearts2Hearts,RUDE!
29,-2,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",329,2,(x28),30330,-776.0,188042,-876,21755912,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
