Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,DARA - Bangaranga,1,1,(x1),20629,,20629,20629,20629,DARA,Bangaranga
2,-1,The Chemical Brothers - Go,16,1,(x9),19568,-4145.0,170853,-4539,316360,The Chemical Brothers,Go
3,=,Dominic Fike - Babydoll,121,1,(x40),18960,-1837.0,142967,-1514,2468700,Dominic Fike,Babydoll
4,-2,Alena Omargalieva - Фанат,46,2,(x13),16765,-4185.0,128899,-1384,862425,Alena Omargalieva,Фанат
5,+4,madk1d - 8 миля (w/ VILLIAN),87,2,(x3),15679,-1094.0,116490,-571,1461700,madk1d,8 миля (w/ VILLIAN)
6,-2,Alena Omargalieva - Не Пʼяна - Закохана - за участі ансамблю «Кралиця»,185,1,(x27),15277,-4466.0,108824,294,3979347,Alena Omargalieva,Не Пʼяна - Закохана - за участі ансамблю «Кралиця»
7,-2,FIЇNKA - Вівтар,24,2,(x1),15267,-3856.0,117050,-1162,409890,FIЇNKA,Вівтар
8,-1,Drevo - Смарагдове небо,360,1,(x141),15169,-3513.0,109157,-1164,9261190,Drevo,Смарагдове небо
9,+2,урал гайсин - священная война,321,3,(x1),15155,-435.0,100413,1968,3990269,урал гайсин,священная война
10,-4,Drevo - Енкарапіста,143,1,(x55),15086,-3997.0,111561,-623,3118616,Drevo,Енкарапіста
11,+142,Alexandra Căpitănescu - Choke Me,3,11,,14829,8668.0,28458,14829,28458,Alexandra Căpitănescu,Choke Me
12,-2,Tame Impala - Dracula,213,4,,14388,-1776.0,111583,-1308,1946439,Tame Impala,Dracula
13,-1,Michael Jackson - Billie Jean,45,12,,12350,-1676.0,91220,-311,426013,Michael Jackson,Billie Jean
14,+4,BTS - SWIM,59,1,(x6),12266,-834.0,94088,169,1153339,BTS,SWIM
15,-7,FIЇNKA - Афини,290,3,(x3),11923,-5258.0,91111,-896,3994763,FIЇNKA,Афини
16,+11,"CUPSIZE - Юра, Юра",172,16,,11752,-256.0,74913,1539,1444023,CUPSIZE,"Юра, Юра"
17,+2,Nikow - розмова з містом,82,3,(x2),11702,-1317.0,87307,-752,864698,Nikow,розмова з містом
18,-2,Jerry Heil - З якого ти поверху неба? (w/ YARMAK),377,1,(x19),11555,-1910.0,76048,414,6663052,Jerry Heil,З якого ти поверху неба? (w/ YARMAK)
19,-4,"By Индия - Шадэ (w/ Xcho, МОТ)",10,11,,11527,-1963.0,82227,4329,102473,By Индия,"Шадэ (w/ Xcho, МОТ)"
20,-7,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),101,5,,11511,-2202.0,91482,-996,1143985,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
21,+1,"9mice - Jealous (w/ Egor Kreed, тёмный принц, madk1d)",39,1,(x14),11007,-1289.0,87850,-2212,835191,9mice,"Jealous (w/ Egor Kreed, тёмный принц, madk1d)"
22,-2,Michael Jackson - Beat It,23,16,,10815,-1774.0,82172,-103,238602,Michael Jackson,Beat It
23,+3,Nikow - якщо це не по-справжньому,276,5,,10391,-1626.0,81347,-514,3293171,Nikow,якщо це не по-справжньому
