Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,59,1,(x58),72908,2482.0,503426,5026,4319045,BTS,SWIM
2,=,Jimin - Who,668,1,(x316),63276,18538.0,365892,-2196,29300749,Jimin,Who
3,=,Omar Courtz - KOKO,87,2,(x8),34787,-2440.0,238239,614,3312481,Omar Courtz,KOKO
4,+2,Natax Beat - Piel Morena,5,4,,27864,1037.0,136815,27864,136815,Natax Beat,Piel Morena
5,NEW,Yas Cepeda - Woman Del Callao - Remix (w/ Juan Luis Guerra 4.40),1,5,,27582,,27582,27582,27582,Yas Cepeda,Woman Del Callao - Remix (w/ Juan Luis Guerra 4.40)
6,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,87,2,(x1),24500,-2387.0,172792,160,2465494,Omar Courtz,POR SI MAÑANA NO ESTOY
7,-3,Alleh - DesOrden,10,4,,23637,-4070.0,194782,-1055,279155,Alleh,DesOrden
8,-1,Omar Courtz - WO OH OH (w/ ROA),87,3,(x5),21555,-1682.0,151770,-185,2268385,Omar Courtz,WO OH OH (w/ ROA)
9,=,Omar Courtz - VAMOaCOCHI,87,7,,19649,-1411.0,137890,607,1899112,Omar Courtz,VAMOaCOCHI
10,-2,Jay Wheeler - De Lejitos,38,3,(x7),19491,-1971.0,145674,-1384,1193533,Jay Wheeler,De Lejitos
11,-1,Omar Courtz - L a k e n o s h i,87,6,,18578,-1374.0,129487,309,1803130,Omar Courtz,L a k e n o s h i
12,-1,Rawayana - Inglés En Miami (w/ Manuel Turizo),137,1,(x1),18117,-1405.0,118666,-133,3944425,Rawayana,Inglés En Miami (w/ Manuel Turizo)
13,-1,Mr Plata - Las Muñequitas (w/ El Americano 4KT),106,10,,17170,-1239.0,115973,-769,1680185,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
14,-1,Michael Jackson - Billie Jean,28,12,,16957,-1021.0,114936,559,378922,Michael Jackson,Billie Jean
15,=,BTS - Body to Body,59,2,(x1),16540,-461.0,120417,375,1430140,BTS,Body to Body
16,=,BTS - Hooligan,59,3,(x1),16439,-207.0,118119,824,1340417,BTS,Hooligan
17,+2,BTS - 2.0,59,6,,15983,-93.0,114929,635,1283382,BTS,2.0
18,-4,Omar Courtz - FOREVER TU GANTEL (w/ Ñengo Flow),87,1,(x1),15980,-1673.0,113169,-161,2185814,Omar Courtz,FOREVER TU GANTEL (w/ Ñengo Flow)
19,-2,Huan62 - Skokka,36,16,,15705,-901.0,106443,1743,392051,Huan62,Skokka
20,-2,Omar Courtz - SI ESTÁS CON ALGUIEN,87,4,,15350,-839.0,108461,-208,1886268,Omar Courtz,SI ESTÁS CON ALGUIEN
21,+2,BTS - NORMAL,59,6,,15107,-12.0,107916,439,1245354,BTS,NORMAL
22,+4,BTS - they don’t know ’bout us,59,11,,14840,14.0,106655,837,1182255,BTS,they don’t know ’bout us
23,+1,Omar Courtz - ⁠LUCES DE COLORES,604,7,,14822,-214.0,100219,762,7115770,Omar Courtz,⁠LUCES DE COLORES
24,+1,BTS - FYA,59,4,,14814,-193.0,107183,775,1237525,BTS,FYA
25,-3,Lil Naay - UNA BABY EN SANTIAGO,53,22,,14624,-622.0,98725,1322,549178,Lil Naay,UNA BABY EN SANTIAGO
26,+1,BTS - Aliens,59,5,,14618,-145.0,104934,783,1194063,BTS,Aliens
27,+1,BTS - Like Animals,59,8,,14610,-68.0,104981,405,1195742,BTS,Like Animals
28,-7,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",156,17,,14463,-803.0,99278,336,1817988,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
29,-9,Danny Ocean - Me Rehúso,1512,12,,14198,-1093.0,98031,306,11889011,Danny Ocean,Me Rehúso
30,+3,BTS - Into the Sun,59,14,,14161,289.0,100725,1043,1082453,BTS,Into the Sun
31,-1,BTS - Merry Go Round,59,9,,14075,-108.0,101460,666,1142324,BTS,Merry Go Round
32,=,BTS - Please,59,13,,13866,-44.0,99303,448,1097197,BTS,Please
33,-2,BTS - One More Night,59,12,,13836,-103.0,99008,569,1097640,BTS,One More Night
34,=,BTS - No. 29,59,8,,13774,27.0,98021,181,1074965,BTS,No. 29
35,-6,Alleh - capaz (merengueton) (w/ Yorghaki),544,1,(x27),13232,-1153.0,93649,-772,13899188,Alleh,capaz (merengueton) (w/ Yorghaki)
36,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",498,1,(x39),12770,-481.0,88572,629,11882650,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
37,-2,Omar Courtz - WHAT U NEED? (SexPlaylist 2) (w/ Myke Towers),87,10,,12660,-910.0,89350,422,1308408,Omar Courtz,WHAT U NEED? (SexPlaylist 2) (w/ Myke Towers)
38,+1,Plan B - Es un Secreto,1499,6,,12189,-550.0,80011,733,14022165,Plan B,Es un Secreto
39,-2,Beéle - no tiene sentido,367,1,(x22),11863,-1147.0,82116,648,8333398,Beéle,no tiene sentido
40,+3,Michael Jackson - Beat It,25,38,,11814,-507.0,82475,401,263520,Michael Jackson,Beat It
41,+3,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",154,6,,11548,-632.0,79756,-70,2337455,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
42,+4,Yan Block - Talento (w/ Panda Black),240,9,,11546,-394.0,75854,1183,2854339,Yan Block,Talento (w/ Panda Black)
