Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Running Wild,185,1,(x181),47298,-5854.0,327922,22476,13774028,Jin,Running Wild
2,=,Jin - Don’t Say You Love Me,3,2,(x3),23362,-1791.0,81155,23362,81155,Jin,Don’t Say You Love Me
3,+1,Billie Eilish - BIRDS OF A FEATHER,367,1,(x65),12638,-2161.0,100934,-1091,6749342,Billie Eilish,BIRDS OF A FEATHER
4,+1,Jin - Nothing Without Your Love,3,3,(x1),12616,-1039.0,44614,12616,44614,Jin,Nothing Without Your Love
5,-2,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,1,(x31),12304,-2585.0,97296,-784,6134073,Lady Gaga,Die With A Smile (w/ Bruno Mars)
6,=,Jin - Loser (w/ YENA),3,4,,11954,-1325.0,43257,11954,43257,Jin,Loser (w/ YENA)
7,=,Jin - Rope It,3,5,,11811,-1258.0,42489,11811,42489,Jin,Rope It
8,=,Jin - Background,3,6,,11563,-1129.0,41281,11563,41281,Jin,Background
9,=,Alex Warren - Ordinary,95,4,,10514,-1593.0,82211,77,675527,Alex Warren,Ordinary
10,+1,Jin - With the Clouds,3,7,,9941,-954.0,36070,9941,36070,Jin,With the Clouds
11,-1,ROSÉ - APT. (w/ Bruno Mars),213,1,(x30),9922,-1064.0,68737,337,4321806,ROSÉ,APT. (w/ Bruno Mars)
12,+1,"Jin - To Me, Today",3,10,,9413,-1014.0,34472,9413,34472,Jin,"To Me, Today"
13,+1,sombr - back to friends,63,7,,9413,-619.0,68538,989,392189,sombr,back to friends
14,-2,JENNIE - like JENNIE,73,4,,9084,-1624.0,72192,-421,802655,JENNIE,like JENNIE
15,=,Kendrick Lamar - luther,178,3,(x2),8493,-1528.0,67573,-27,2502159,Kendrick Lamar,luther
16,+4,Billie Eilish - WILDFLOWER,367,7,,8304,-928.0,61618,39,3032767,Billie Eilish,WILDFLOWER
17,-1,The Weeknd - Timeless (w/ Playboi Carti),234,1,(x1),8190,-1607.0,65396,-836,3305404,The Weeknd,Timeless (w/ Playboi Carti)
18,=,Maanu - Jhol (w/ Annural Khalid),219,4,,8058,-1329.0,60904,-1977,1410256,Maanu,Jhol (w/ Annural Khalid)
19,-2,Drake - NOKIA,94,6,,8032,-1556.0,65283,-1098,952955,Drake,NOKIA
20,+4,"Jakes Bejoy - Minnalvala (From ""Narivetta"") (w/ Sid Sriram, Sithara Krishnakumar)",11,20,,7889,-297.0,48773,2886,65975,Jakes Bejoy,"Minnalvala (From ""Narivetta"") (w/ Sid Sriram, Sithara Krishnakumar)"
21,=,Cup of Joe - Multo,56,4,,7834,-1170.0,67891,-100,484859,Cup of Joe,Multo
22,+3,Ravyn Lenae - Love Me Not,78,16,,7433,-461.0,53201,329,376179,Ravyn Lenae,Love Me Not
23,-4,Jin - I’ll Be There,181,2,(x123),7404,-1929.0,75849,-191,4695724,Jin,I’ll Be There
24,-1,Afusic - Pal Pal (w/ AliSoomroMusic),51,5,,7346,-1058.0,59349,-2144,439761,Afusic,Pal Pal (w/ AliSoomroMusic)
25,-3,Sabrina Carpenter - Espresso,402,1,(x71),7096,-1371.0,53358,-145,5880872,Sabrina Carpenter,Espresso
26,=,Gracie Abrams - That’s So True,211,5,,6883,-949.0,52790,-387,2293220,Gracie Abrams,That’s So True
27,=,Kendrick Lamar - All The Stars (w/ SZA),656,7,,6817,-986.0,52621,-258,2883540,Kendrick Lamar,All The Stars (w/ SZA)
28,+1,The Marías - No One Noticed,251,17,,6663,-659.0,49056,-326,1441480,The Marías,No One Noticed
29,+3,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",29,29,,6328,-555.0,42826,1377,121162,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
30,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",634,1,(x1),6252,-639.0,48116,-162,4763174,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
31,-3,ATLXS - PASSO BEM SOLTO - Slowed,61,17,,6198,-1456.0,46682,-821,362660,ATLXS,PASSO BEM SOLTO - Slowed
32,-2,Gigi Perez - Sailor Song,269,7,,6187,-813.0,45806,-93,2136784,Gigi Perez,Sailor Song
33,+4,sombr - undressed,43,20,,6066,-311.0,45944,245,196387,sombr,undressed
34,+2,Connie Francis - Pretty Little Baby,11,34,,5837,-603.0,38711,1312,54976,Connie Francis,Pretty Little Baby
35,+6,Benson Boone - Beautiful Things,479,4,,5750,-197.0,40534,95,3560279,Benson Boone,Beautiful Things
36,-2,yung kai - blue,166,16,,5742,-763.0,42921,436,1118620,yung kai,blue
37,+1,WizTheMc - Show Me Love (w/ bees & honey),75,18,,5597,-755.0,43480,-531,443308,WizTheMc,Show Me Love (w/ bees & honey)
38,+1,Kushagra - Finding Her (w/ Bharath),44,36,,5547,-628.0,39460,599,210935,Kushagra,Finding Her (w/ Bharath)
39,-6,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",291,16,,5460,-1339.0,44127,-465,1649398,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
40,+9,SB19 - DAM,81,10,,5426,185.0,35054,-460,514298,SB19,DAM
41,+1,Charli xcx - party 4 u,34,27,,5372,-548.0,40204,439,170054,Charli xcx,party 4 u
42,+2,Don Toliver - No Pole,215,14,,5323,-327.0,37621,314,1382623,Don Toliver,No Pole
43,-3,Dionela - Marilag,187,9,,5285,-861.0,43735,106,1658491,Dionela,Marilag
44,-9,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",346,6,,5097,-1393.0,39759,-203,2603893,Adam Port,"Move (w/ Stryv, Keinemusik, Orso, Malachiii)"
45,+3,KATSEYE - Gnarly,17,43,,5000,-452.0,35852,229,82012,KATSEYE,Gnarly
46,-3,Earl Agustin - Tibok,68,11,,4970,-715.0,42293,-237,496086,Earl Agustin,Tibok
47,+13,The Neighbourhood - Sweater Weather,1687,13,,4921,-102.0,33264,107,5806251,The Neighbourhood,Sweater Weather
48,+14,Arctic Monkeys - I Wanna Be Yours,1072,12,,4846,-144.0,33933,68,4973173,Arctic Monkeys,I Wanna Be Yours
49,+26,Jung Kook - Seven (w/ Latto),675,1,(x71),4610,-1.0,33476,669,6366864,Jung Kook,Seven (w/ Latto)
50,+11,"Jakes Bejoy - Kanmanipoove (From ""Thudarum"") (w/ M. G. Sreekumar)",22,50,,4588,-415.0,30826,167,90577,Jakes Bejoy,"Kanmanipoove (From ""Thudarum"") (w/ M. G. Sreekumar)"
51,+21,Cigarettes After Sex - Apocalypse,1208,17,,4561,-94.0,32025,-149,3956392,Cigarettes After Sex,Apocalypse
52,+2,Job Kurian - Kannodu - Live (w/ Mridula Warrier),15,52,,4549,-562.0,30610,704,55611,Job Kurian,Kannodu - Live (w/ Mridula Warrier)
53,-2,"WizTheMc - Show Me Love (w/ bees & honey, Tyla)",24,35,,4513,-684.0,37459,-549,117016,WizTheMc,"Show Me Love (w/ bees & honey, Tyla)"
54,-7,Anuv Jain - Jo Tum Mere Ho,263,9,,4497,-999.0,34592,279,1689063,Anuv Jain,Jo Tum Mere Ho
55,=,Tyla - PUSH 2 START,185,13,,4482,-625.0,33111,-89,1034394,Tyla,PUSH 2 START
56,-10,Kendrick Lamar - Not Like Us,379,1,(x3),4473,-1064.0,35985,-505,3614897,Kendrick Lamar,Not Like Us
57,-12,Doechii - Anxiety,74,9,,4473,-1069.0,37105,-831,551961,Doechii,Anxiety
58,+6,The Weeknd - Starboy (w/ Daft Punk),1629,10,,4441,-477.0,33792,-102,6294011,The Weeknd,Starboy (w/ Daft Punk)
59,+4,d4vd - Feel It,116,35,,4439,-500.0,32382,-183,436305,d4vd,Feel It
60,-8,Lola Young - Messy,162,14,,4376,-782.0,35771,-549,1096992,Lola Young,Messy
