Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",79,1,(x31),351139,-76153.0,2723809,-34971,22517555,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,"Maria Becerra - RAMEN PARA DOS (w/ Paulo Londra, XROSS)",10,1,(x3),343398,-64839.0,2719649,51091,3727259,Maria Becerra,"RAMEN PARA DOS (w/ Paulo Londra, XROSS)"
3,=,Mattei - Pa las girlas,39,2,(x4),276041,-37568.0,2073884,-8172,6888590,Mattei,Pa las girlas
4,=,"DENNIS - MOTINHA 2.0 (Mete Marcha) - Remix (w/ Luísa Sonza, Emilia)",24,4,,257560,-32832.0,1826271,9029,5128703,DENNIS,"MOTINHA 2.0 (Mete Marcha) - Remix (w/ Luísa Sonza, Emilia)"
5,=,Alleh - capaz (merengueton) (w/ Yorghaki),132,2,(x1),234738,-50635.0,1782824,-21051,29761517,Alleh,capaz (merengueton) (w/ Yorghaki)
6,=,"Emilia - blackout 🧊 (w/ TINI, Nicki Nicole)",54,1,(x18),218914,-37194.0,1680744,-32901,18020282,Emilia,"blackout 🧊 (w/ TINI, Nicki Nicole)"
7,=,Bad Bunny - BAILE INoLVIDABLE,134,1,(x36),214230,-30645.0,1740773,-26577,43388835,Bad Bunny,BAILE INoLVIDABLE
8,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",71,4,,199772,-31339.0,1419960,-6862,11272663,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
9,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,6,,190466,-28491.0,1525875,-36048,31244774,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
10,+1,Emilia - bunda 🍑 (w/ Luísa Sonza),87,1,(x15),183744,-24249.0,1358729,-35734,23821852,Emilia,bunda 🍑 (w/ Luísa Sonza)
11,+1,La T y La M - Amor de Vago (w/ Malandro),258,1,(x46),177817,-23138.0,1198457,-16381,72824110,La T y La M,Amor de Vago (w/ Malandro)
12,-2,Salastkbron - Tengo Una Cadena,18,9,,174179,-37392.0,1439671,8494,2872417,Salastkbron,Tengo Una Cadena
