Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,JJ - Wasted Love,20,1,(x1),184379,129660.0,338973,177387,510494,JJ,Wasted Love
2,+15,Tommy Cash - Espresso Macchiato,5,2,(x1),59178,41127.0,108121,59178,108121,Tommy Cash,Espresso Macchiato
3,-2,RAF Camora - CONNECTED (w/ reezy),3,1,(x2),55554,-19423.0,247396,55554,247396,RAF Camora,CONNECTED (w/ reezy)
4,+7,Abor & Tynna - Baller,17,4,,54365,32050.0,112180,54365,213898,Abor & Tynna,Baller
5,+5,KAJ - Bara Bada Bastu,5,5,,46897,23684.0,111073,46897,111073,KAJ,Bara Bada Bastu
6,-3,Pashanim - Shabab(e)s im VIP (w/ Ceren),19,1,(x15),39128,-9647.0,385921,-14419,1143497,Pashanim,Shabab(e)s im VIP (w/ Ceren)
7,-3,Alex Warren - Ordinary,101,1,(x8),38909,-4497.0,313150,-1782,3828181,Alex Warren,Ordinary
8,+70,Lucio Corsi - Volevo essere un duro,2,8,,35640,25104.0,46176,35640,46176,Lucio Corsi,Volevo essere un duro
9,+32,Kyle Alessandro - Lighter,4,9,,28750,15187.0,61605,28750,61605,Kyle Alessandro,Lighter
10,-5,Jazeek - AKON,52,1,(x2),28725,-8075.0,248160,-2181,2251589,Jazeek,AKON
11,-4,Ely Oaks - Borderline (w/ LAVINIA),22,6,,26747,-2538.0,193840,4578,420626,Ely Oaks,Borderline (w/ LAVINIA)
12,+104,Zoë Më - Voyage,2,12,,26623,17603.0,35643,26623,35643,Zoë Më,Voyage
13,-7,Zartmann - tau mich auf,108,1,(x23),25789,-5423.0,224767,-5033,5330947,Zartmann,tau mich auf
14,NEW,Yuval Raphael - New Day Will Rise,1,14,,24479,,24479,24479,24479,Yuval Raphael,New Day Will Rise
15,-7,Zsá Zsá - bad bunnies,17,3,(x1),22007,-5202.0,208591,-5005,549258,Zsá Zsá,bad bunnies
16,-3,sombr - undressed,59,6,,20538,-752.0,171609,418,1064700,sombr,undressed
17,+107,Erika Vikman - ICH KOMME,2,17,,20181,11474.0,28888,20181,28888,Erika Vikman,ICH KOMME
18,+41,VÆB - RÓA,3,18,,19977,8253.0,40245,19977,40245,VÆB,RÓA
19,-7,Nina Chuba - Unsicher,45,1,(x13),19640,-2250.0,174719,-3427,1839970,Nina Chuba,Unsicher
20,+95,Louane - maman,2,20,,18994,9936.0,28052,18994,28052,Louane,maman
21,-12,Oimara - Wackelkontakt,129,1,(x45),17505,-6958.0,133848,-3528,5672047,Oimara,Wackelkontakt
22,NEW,Klavdia - Asteromata,1,22,,16939,,16939,16939,16939,Klavdia,Asteromata
23,-3,sombr - back to friends,67,11,,16936,-342.0,134900,-64,995349,sombr,back to friends
24,-9,WizTheMc - Show Me Love (w/ bees & honey),100,5,,16824,-3210.0,147342,-4071,2193806,WizTheMc,Show Me Love (w/ bees & honey)
25,+95,Claude - C'est La Vie,2,25,,16681,7781.0,25581,16681,25581,Claude,C'est La Vie
26,-12,ROSÉ - APT. (w/ Bruno Mars),213,1,(x25),16435,-4306.0,129763,-3020,7138001,ROSÉ,APT. (w/ Bruno Mars)
27,-11,Linkin Park - The Emptiness Machine,255,1,(x74),15571,-4434.0,139071,-1186,9551320,Linkin Park,The Emptiness Machine
28,-6,Ravyn Lenae - Love Me Not,72,13,,15400,-1587.0,124965,-30,838935,Ravyn Lenae,Love Me Not
29,-11,Pashanim - 2 Sitza,18,7,,14386,-3426.0,147828,-6455,403782,Pashanim,2 Sitza
30,NEW,Tautumeitas - Bur man laimi,1,30,,14287,,14287,14287,14287,Tautumeitas,Bur man laimi
31,NEW,Remember Monday - What The Hell Just Happened?,1,31,,14234,,14234,14234,14234,Remember Monday,What The Hell Just Happened?
32,-13,Lola Young - Messy,162,6,,14169,-3179.0,123596,-3723,3436647,Lola Young,Messy
33,-7,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,2,(x4),14091,-2209.0,110877,-1256,7483653,Lady Gaga,Die With A Smile (w/ Bruno Mars)
34,-13,Billie Eilish - BIRDS OF A FEATHER,367,4,,14079,-2925.0,119888,-4450,8927644,Billie Eilish,BIRDS OF A FEATHER
35,-12,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",42,23,,13823,-3003.0,108736,1479,511984,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
36,-11,Chrystal - The Days - NOTION Remix (w/ NOTION),144,10,,13564,-3000.0,118683,-3603,2523284,Chrystal,The Days - NOTION Remix (w/ NOTION)
37,+9,Lord Huron - The Night We Met,1259,11,,13264,304.0,94163,-153,11704109,Lord Huron,The Night We Met
38,-14,Aymen - Plug,38,5,,13232,-3542.0,114264,-538,847166,Aymen,Plug
39,-8,Gracie Abrams - That’s So True,212,1,(x7),13125,-1951.0,110387,-1979,6010383,Gracie Abrams,That’s So True
40,-13,LACAZETTE - CHO,24,6,,13044,-3202.0,113665,-888,433674,LACAZETTE,CHO
41,-9,ATLXS - PASSO BEM SOLTO - Slowed,58,24,,12472,-2480.0,97698,-629,805341,ATLXS,PASSO BEM SOLTO - Slowed
42,NEW,Shkodra Elektronike - Zjerm,1,42,,12378,,12378,12378,12378,Shkodra Elektronike,Zjerm
43,-14,benno! - Dein Mann Freestyle,84,7,,12319,-2963.0,110096,-2081,1420274,benno!,Dein Mann Freestyle
44,-6,Benson Boone - Beautiful Things,485,1,(x47),12297,-1631.0,98113,-2007,13674538,Benson Boone,Beautiful Things
