Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,101,1,(x61),299306,6830.0,2138380,-9436,22963238,Alex Warren,Ordinary
2,=,sombr - undressed,58,2,(x17),244052,25996.0,1746032,4228,9208215,sombr,undressed
3,+3,sombr - back to friends,64,3,(x4),182470,21497.0,1276700,5409,7827189,sombr,back to friends
4,-1,Gracie Abrams - That’s So True,213,1,(x79),171352,-8000.0,1261965,-27447,55768539,Gracie Abrams,That’s So True
5,+2,Ravyn Lenae - Love Me Not,85,5,,159453,9125.0,1116818,6115,9085958,Ravyn Lenae,Love Me Not
6,-1,Billie Eilish - BIRDS OF A FEATHER,368,1,(x39),155830,-8659.0,1138584,-7019,96826575,Billie Eilish,BIRDS OF A FEATHER
7,-3,Chappell Roan - Pink Pony Club,323,2,(x1),154226,-10723.0,1090687,-10935,33973619,Chappell Roan,Pink Pony Club
8,+3,Benson Boone - Beautiful Things,486,1,(x33),143410,4751.0,979999,-2724,111086913,Benson Boone,Beautiful Things
9,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,2,(x17),139878,-4718.0,999849,-2640,61400735,Lady Gaga,Die With A Smile (w/ Bruno Mars)
10,-2,ROSÉ - APT. (w/ Bruno Mars),213,1,(x26),136499,-8901.0,941119,-8412,52238323,ROSÉ,APT. (w/ Bruno Mars)
11,-1,Drake - NOKIA,94,2,(x2),129824,-13349.0,1006861,-13430,15606522,Drake,NOKIA
12,+1,Kendrick Lamar - luther,178,1,(x19),127920,-6062.0,952110,-5531,32531902,Kendrick Lamar,luther
13,+2,Teddy Swims - Lose Control,562,5,,125336,-2227.0,895208,-1254,90293284,Teddy Swims,Lose Control
14,+2,Shaboozey - A Bar Song (Tipsy),402,1,(x8),122006,-4364.0,863991,-317,95209161,Shaboozey,A Bar Song (Tipsy)
15,-3,Chrystal - The Days - NOTION Remix (w/ NOTION),160,4,,121006,-16207.0,960435,-12858,26985041,Chrystal,The Days - NOTION Remix (w/ NOTION)
16,+4,Gigi Perez - Sailor Song,292,4,,119644,7883.0,838846,-2685,45988800,Gigi Perez,Sailor Song
17,-3,Lola Young - Messy,182,1,(x7),118572,-11137.0,901005,-15498,34545962,Lola Young,Messy
18,-1,Tate McRae - Sports car,116,3,(x1),114292,-1000.0,840522,-2182,18614849,Tate McRae,Sports car
19,-1,Myles Smith - Stargazing,374,10,,109713,-2804.0,780358,-1602,51573995,Myles Smith,Stargazing
20,+4,The Goo Goo Dolls - Iris,1566,19,,108858,1184.0,798000,-3294,96611600,The Goo Goo Dolls,Iris
