Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Hamza - KYKY2BONDY,17,1,(x4),84957,-14864.0,619868,32249,1046437,Hamza,KYKY2BONDY
2,=,Alex Warren - Ordinary,101,1,(x10),75817,-13222.0,613865,-8193,6255807,Alex Warren,Ordinary
3,=,Pommelien Thijs - Atlas,59,1,(x45),59795,-13001.0,490760,-15510,5682549,Pommelien Thijs,Atlas
4,+108,JJ - Wasted Love,2,4,,59398,43153.0,75643,59398,75643,JJ,Wasted Love
5,+33,Tommy Cash - Espresso Macchiato,5,5,,49508,20752.0,134364,49508,134364,Tommy Cash,Espresso Macchiato
6,-2,GIMS - NINAO,87,2,(x2),46541,-12424.0,386100,-11309,4823850,GIMS,NINAO
7,-2,Lola Young - Messy,168,2,(x11),45061,-11206.0,366969,-13516,9330910,Lola Young,Messy
8,+26,KAJ - Bara Bada Bastu,5,8,,44485,14670.0,139721,44485,139721,KAJ,Bara Bada Bastu
9,-3,ROSÉ - APT. (w/ Bruno Mars),213,1,(x72),42884,-11117.0,313995,-9047,13263169,ROSÉ,APT. (w/ Bruno Mars)
10,-3,WizTheMc - Show Me Love (w/ bees & honey),82,5,,40407,-9848.0,334062,-12234,3422976,WizTheMc,Show Me Love (w/ bees & honey)
11,=,Werenoi - Poney,38,11,,36301,-4980.0,168453,20535,951169,Werenoi,Poney
12,-4,GIMS - CIEL,179,1,(x4),35814,-11350.0,291437,-7764,7459423,GIMS,CIEL
13,-1,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,1,(x43),34621,-6185.0,260132,-4494,15684589,Lady Gaga,Die With A Smile (w/ Bruno Mars)
14,-5,Ed Sheeran - Azizam,41,8,,34555,-10360.0,283941,-5630,1389495,Ed Sheeran,Azizam
15,-5,Werenoi - Piano (w/ GIMS),17,10,,33526,-9190.0,226946,7428,489369,Werenoi,Piano (w/ GIMS)
16,+146,Abor & Tynna - Baller,3,16,,33103,18418.0,61320,33103,61320,Abor & Tynna,Baller
17,-3,Gracie Abrams - That’s So True,212,1,(x24),32971,-6194.0,260235,-6894,11779390,Gracie Abrams,That’s So True
18,+21,Claude - C'est La Vie,6,18,,32933,4304.0,144855,32933,144855,Claude,C'est La Vie
19,=,Werenoi - Chemin d'or,175,19,,32582,-3617.0,93815,32582,2126456,Werenoi,Chemin d'or
20,-7,Doechii - Anxiety,75,1,(x1),31905,-8515.0,266796,-10169,3605921,Doechii,Anxiety
21,+48,Louane - maman,3,21,,31450,9231.0,71843,31450,71843,Louane,maman
22,+1,Werenoi - Pétunias,157,22,,30791,-3705.0,132240,30791,2149561,Werenoi,Pétunias
