Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",84,1,(x48),29568,-5053.0,231931,-1408,2450210,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Bad Bunny - BAILE INoLVIDABLE,134,1,(x62),23465,-2782.0,182792,-930,4933906,Bad Bunny,BAILE INoLVIDABLE
3,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),84,3,(x13),21936,-1611.0,159329,1301,1228728,Fuerza Regida,COQUETA (w/ Grupo Frontera)
4,+1,Bad Bunny - DtMF,134,1,(x21),18235,-1994.0,139061,-86,4262800,Bad Bunny,DtMF
5,-1,Alleh - capaz (merengueton) (w/ Yorghaki),156,4,,17020,-3383.0,135909,-595,2910051,Alleh,capaz (merengueton) (w/ Yorghaki)
6,=,Beéle - Mi Refe (w/ Ovy On The Drums),150,3,(x5),16549,-2531.0,131272,-838,2756330,Beéle,Mi Refe (w/ Ovy On The Drums)
7,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",75,3,(x20),16472,-2456.0,128002,944,1368610,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
8,=,La T y La M - Amor de Vago (w/ Malandro),227,3,(x4),16391,-1783.0,120042,-286,3478461,La T y La M,Amor de Vago (w/ Malandro)
9,=,Xavi - En Privado (w/ Manuel Turizo),88,6,,15504,-2215.0,123290,-1003,1364560,Xavi,En Privado (w/ Manuel Turizo)
10,+4,Fuerza Regida - ME JALO (w/ Grupo Frontera),140,6,,15046,-974.0,113095,-320,1782249,Fuerza Regida,ME JALO (w/ Grupo Frontera)
11,+1,Alemán - Te Quería Ver (w/ Neton Vega),100,3,(x5),14966,-1204.0,115016,-176,1597673,Alemán,Te Quería Ver (w/ Neton Vega)
12,-1,Rauw Alejandro - Khé? (w/ Romeo Santos),185,1,(x45),14308,-1901.0,110135,978,5154766,Rauw Alejandro,Khé? (w/ Romeo Santos)
13,+2,Young Miko - WASSUP,22,13,,14209,-1453.0,104667,2946,233021,Young Miko,WASSUP
14,+2,Bad Bunny - EoO,134,7,,13906,-1554.0,105650,-65,2424328,Bad Bunny,EoO
15,-5,"Maria Becerra - RAMEN PARA DOS (w/ Paulo Londra, XROSS)",10,9,,13889,-2793.0,112531,2198,153141,Maria Becerra,"RAMEN PARA DOS (w/ Paulo Londra, XROSS)"
16,-3,Feid - LUNA (w/ ATL Jacob),535,1,(x76),13737,-2362.0,106173,508,16407276,Feid,LUNA (w/ ATL Jacob)
17,=,KAROL G - Si Antes Te Hubiera Conocido,332,1,(x53),13616,-1212.0,97891,1569,8466075,KAROL G,Si Antes Te Hubiera Conocido
18,+1,Cazzu - Con otra,60,3,(x13),12788,-1563.0,96825,579,1087663,Cazzu,Con otra
19,-1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),185,2,(x4),12691,-2025.0,100926,-186,3869380,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
20,+1,Plan B - Es un Secreto,1323,5,,12072,-693.0,90184,141,16605529,Plan B,Es un Secreto
