Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Grupo Menos É Mais - P do Pecado - Ao Vivo (w/ Simone Mendes),18,1,(x3),1239061,-196785.0,7336858,254024,13685474,Grupo Menos É Mais,P do Pecado - Ao Vivo (w/ Simone Mendes)
2,=,Diego & Victor Hugo - Tubarões - Ao Vivo,94,1,(x32),1132671,-240490.0,7359890,34710,84960815,Diego & Victor Hugo,Tubarões - Ao Vivo
3,=,Danilo e Davi - Apaga Apaga Apaga - Ao Vivo,188,1,(x6),990677,-216982.0,6345897,-53180,78555858,Danilo e Davi,Apaga Apaga Apaga - Ao Vivo
4,=,Clayton & Romário - Opa Cadê Eu - Ao Vivo,100,4,,836742,-112069.0,4726001,128169,38110108,Clayton & Romário,Opa Cadê Eu - Ao Vivo
5,+2,Diego & Victor Hugo - Entregador de Flor - Ao Vivo em Brasília,253,5,,792159,-78062.0,4516748,138395,89154363,Diego & Victor Hugo,Entregador de Flor - Ao Vivo em Brasília
6,=,Murilo Huff - Veneno - Ao Vivo (w/ Zé Neto & Cristiano),66,5,,726719,-152153.0,4554866,-433,37992727,Murilo Huff,Veneno - Ao Vivo (w/ Zé Neto & Cristiano)
7,-2,Simone Mendes - Saudade Proibida - Ao Vivo,45,1,(x3),684130,-240557.0,6712785,-356905,29699416,Simone Mendes,Saudade Proibida - Ao Vivo
8,=,"Mc IG - Ta Rico Os Menino Do Gueto 🍀 (w/ MC Ryan SP, Mc Negão Original, DJ Japa NK, DJ DAVI DOGDOG, DU'L, MC GP, MC Meno K, Mc guizinho niazi)",5,4,,672426,-190891.0,4021081,672426,4021081,Mc IG,"Ta Rico Os Menino Do Gueto 🍀 (w/ MC Ryan SP, Mc Negão Original, DJ Japa NK, DJ DAVI DOGDOG, DU'L, MC GP, MC Meno K, Mc guizinho niazi)"
9,=,Grupo Menos É Mais - Coração Partido (Corazón Partío) - Ao Vivo,260,1,(x4),670492,-136820.0,3991072,-26907,219706296,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo
10,=,Henrique & Juliano - Última Saudade - Ao Vivo,234,1,(x11),625380,-135099.0,4236144,-44112,185617906,Henrique & Juliano,Última Saudade - Ao Vivo
11,=,"DG e Batidão Stronda - Mãe Solteira (w/ Mc Davi, J. Eskine, MC G15)",76,1,(x24),607912,-138926.0,4250709,-68772,79699838,DG e Batidão Stronda,"Mãe Solteira (w/ Mc Davi, J. Eskine, MC G15)"
12,=,"Luan Pereira - NÃO ERA LOVE (w/ MC Tuto, Grelo)",45,1,(x3),598875,-104339.0,4919352,-504901,28285788,Luan Pereira,"NÃO ERA LOVE (w/ MC Tuto, Grelo)"
13,=,Lauana Prado - Saudade Burra - Ao Vivo (w/ Simone Mendes),126,9,,552180,-139205.0,3542468,-51087,60163546,Lauana Prado,Saudade Burra - Ao Vivo (w/ Simone Mendes)
14,+2,"MC Jvila - Pirocada Quente (w/ Mc Negão Original, DJ Dael)",91,9,,521869,-134819.0,3927064,45657,36301185,MC Jvila,"Pirocada Quente (w/ Mc Negão Original, DJ Dael)"
15,+3,Mc Jacaré - Senta e Cala a Boca (w/ DJ JHOW BEATS),47,14,,520473,-91331.0,3516542,107242,13736243,Mc Jacaré,Senta e Cala a Boca (w/ DJ JHOW BEATS)
16,-2,Simone Mendes - Me Ama Ou Me Larga - Ao Vivo,108,3,(x3),520131,-153909.0,3356069,-32388,60012675,Simone Mendes,Me Ama Ou Me Larga - Ao Vivo
17,=,Henrique & Juliano - Amigo Da Minha Saudade - Ao Vivo,138,14,,506860,-138862.0,3497992,1652,56606565,Henrique & Juliano,Amigo Da Minha Saudade - Ao Vivo
18,-3,Henrique & Juliano - Saudade De Quem Eu Sou - Ao Vivo,66,14,,502167,-162924.0,3521999,-20487,24965903,Henrique & Juliano,Saudade De Quem Eu Sou - Ao Vivo
19,+1,Luan Santana - DONA - Ao Vivo (w/ Léo Foguete),24,3,(x1),497141,-74763.0,3273079,-177459,14109120,Luan Santana,DONA - Ao Vivo (w/ Léo Foguete)
20,+4,"Nego Trufa - Baile do Panta (w/ Dj TC, DJ Japa NK)",40,5,,464582,-89381.0,3239693,36089,19863305,Nego Trufa,"Baile do Panta (w/ Dj TC, DJ Japa NK)"
21,+2,Matheus & Kauan - Ilusão De Ótica - Ao Vivo (w/ Ana Castela),115,11,,438733,-116233.0,2958397,-22069,50339551,Matheus & Kauan,Ilusão De Ótica - Ao Vivo (w/ Ana Castela)
22,-1,Kew - Descer (w/ Dj LK da Escócia),90,3,(x11),438451,-126498.0,3196931,40170,55169335,Kew,Descer (w/ Dj LK da Escócia)
23,-4,Luccas & Rodrigo - Cara da Serenata - Live (w/ Vitor e Luan),14,19,,437628,-148236.0,2851357,190816,4624362,Luccas & Rodrigo,Cara da Serenata - Live (w/ Vitor e Luan)
24,+3,Ferrugem - Apaguei Pra Todos - Ao Vivo (w/ Sorriso Maroto),395,13,,415601,-92649.0,2674422,-1943,167010669,Ferrugem,Apaguei Pra Todos - Ao Vivo (w/ Sorriso Maroto)
25,-3,"Nilo - Fui Mlk (w/ DJ Di Marques, Mc Paiva ZS, FamousKyo)",176,1,(x9),410662,-148688.0,3161263,-10864,161919093,Nilo,"Fui Mlk (w/ DJ Di Marques, Mc Paiva ZS, FamousKyo)"
26,-1,Henrique & Juliano - Romântico - Ao Vivo,193,19,,408053,-109529.0,2815170,-429,50210719,Henrique & Juliano,Romântico - Ao Vivo
27,-1,"Panda - 12 Horas / Pra Você Acreditar - Ao Vivo (w/ Humberto & Ronaldo, Ícaro e Gilmar, MJ Records)",42,26,,407013,-104671.0,2558292,-1084,11094946,Panda,"12 Horas / Pra Você Acreditar - Ao Vivo (w/ Humberto & Ronaldo, Ícaro e Gilmar, MJ Records)"
28,+2,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,4,,377618,-100600.0,3284391,-57743,166677044,Lady Gaga,Die With A Smile (w/ Bruno Mars)
29,+14,Diego & Victor Hugo - Dama do Baralho - Ao Vivo,50,29,,376247,-11960.0,2134596,47272,12442982,Diego & Victor Hugo,Dama do Baralho - Ao Vivo
30,-2,"MC LUUKY - Olha pra Cara de Quem Te... (w/ MC Jvila, DJ Dael)",70,18,,372516,-113933.0,2933512,-8383,24475344,MC LUUKY,"Olha pra Cara de Quem Te... (w/ MC Jvila, DJ Dael)"
31,+1,"Dj Aguilar - Deixa Eu Mandar Meu Passinho (w/ Dj Tchouzen, MC Marlon PH)",34,15,,368251,-102745.0,2879601,-30426,13191130,Dj Aguilar,"Deixa Eu Mandar Meu Passinho (w/ Dj Tchouzen, MC Marlon PH)"
32,-3,MC Tuto - Barbie (w/ DJ Glenner),213,1,(x53),367491,-114344.0,2674590,-8650,212941849,MC Tuto,Barbie (w/ DJ Glenner)
33,-2,"Eric Land - Na Imaginação (w/ Mc Livinho, DJ TOPO)",31,28,,364652,-107300.0,2658250,-34845,9620230,Eric Land,"Na Imaginação (w/ Mc Livinho, DJ TOPO)"
34,+2,Léo Foguete - Cópia Proibida,203,1,(x3),357958,-76277.0,2300687,4203,123929742,Léo Foguete,Cópia Proibida
35,+2,Israel & Rodolffo - Arruma Um Bão,226,10,,347923,-77128.0,2241986,4438,105571944,Israel & Rodolffo,Arruma Um Bão
36,-1,"Israel & Rodolffo - Não, Mas Quase - Ao Vivo",38,35,,343642,-91898.0,2191308,37964,10189055,Israel & Rodolffo,"Não, Mas Quase - Ao Vivo"
37,-3,Jorge & Mateus - Cantada Boba - Ao Vivo,192,10,,342107,-94044.0,2404352,-20922,103124562,Jorge & Mateus,Cantada Boba - Ao Vivo
38,-5,Henrique & Juliano - Seja Ex - Ao Vivo,234,17,,329183,-122047.0,2224470,20879,72753941,Henrique & Juliano,Seja Ex - Ao Vivo
39,+10,Brenno & Matheus - Em Cima do Peão (w/ Luan Pereira),16,39,,324897,-48313.0,1884551,901,3958687,Brenno & Matheus,Em Cima do Peão (w/ Luan Pereira)
40,+5,Guilherme & Benuto - Filho da Mãe - Ao Vivo,45,40,,320770,-61332.0,2062915,7417,12015723,Guilherme & Benuto,Filho da Mãe - Ao Vivo
41,+14,Wesley Safadão - Mentira Estampada (w/ Natanzinho Lima),241,6,,318832,-30723.0,1779406,-6050,93824481,Wesley Safadão,Mentira Estampada (w/ Natanzinho Lima)
42,-1,CountryBeat - Os Rodeio Tá Chegando (Pa Pa Pa),30,26,,310457,-79595.0,2522207,-16659,8487340,CountryBeat,Os Rodeio Tá Chegando (Pa Pa Pa)
43,-5,"DJ CZ - Rabetão De Terremoto (w/ MC Nito, DJ TS, Mc Pogba, Prime Funk)",49,3,(x2),307300,-100412.0,2604682,-13867,24138943,DJ CZ,"Rabetão De Terremoto (w/ MC Nito, DJ TS, Mc Pogba, Prime Funk)"
44,-2,Lauana Prado - Kamasutra - Ao Vivo,73,21,,300650,-89354.0,2111115,-57347,23006599,Lauana Prado,Kamasutra - Ao Vivo
45,-5,Lady Gaga - Abracadabra,100,3,(x1),299159,-97644.0,2943868,-115350,35489606,Lady Gaga,Abracadabra
46,-7,Chefin - Se Essa Bunda For Uma Empresa (w/ LB Único),70,14,,298303,-99134.0,2308021,28334,25244275,Chefin,Se Essa Bunda For Uma Empresa (w/ LB Único)
47,+4,Kaique e Felipe - Saveiro (w/ Luan Pereira),296,1,(x15),297949,-63623.0,2056968,-57112,163356709,Kaique e Felipe,Saveiro (w/ Luan Pereira)
48,+5,"Oruam - Oh Garota Eu Quero Você Só Pra Mim (w/ Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves)",152,1,(x25),296191,-59348.0,2119987,-42620,143431990,Oruam,"Oh Garota Eu Quero Você Só Pra Mim (w/ Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves)"
49,-3,Teto - YES OR NO,52,3,(x1),295269,-86434.0,2593223,-67390,21457464,Teto,YES OR NO
50,-6,DJ TOPO - MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1 (w/ Mc Livinho),231,2,(x2),293168,-94024.0,2354009,2285,135329700,DJ TOPO,MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1 (w/ Mc Livinho)
51,-3,"Orochi - Fashion (w/ TkN, RUXN, Kizzy, ProdSmile)",75,20,,284824,-91161.0,2581403,-19864,24367312,Orochi,"Fashion (w/ TkN, RUXN, Kizzy, ProdSmile)"
52,+4,Jorge & Mateus - Xonei (w/ Henrique & Juliano),276,2,(x9),284595,-64407.0,1920584,-28684,139489349,Jorge & Mateus,Xonei (w/ Henrique & Juliano)
53,+4,Grupo Menos É Mais - Aquele Lugar - Ao Vivo,88,36,,284527,-60982.0,1859391,-33285,22082800,Grupo Menos É Mais,Aquele Lugar - Ao Vivo
54,-7,"Oruam - Lei Anti O.R.U.A.M (w/ Victor WAO, Maurin)",85,7,,280943,-95909.0,2448321,-41004,37200726,Oruam,"Lei Anti O.R.U.A.M (w/ Victor WAO, Maurin)"
55,+20,Murilo Huff - Dois Enganados (w/ Marília Mendonça),646,55,,279343,-22455.0,1640816,72620,123530965,Murilo Huff,Dois Enganados (w/ Marília Mendonça)
56,-4,DJ NATAN 22 - Meu Carro nao tem Porta Luva - Remastered 2024,136,19,,278412,-82950.0,2172408,-14227,47552620,DJ NATAN 22,Meu Carro nao tem Porta Luva - Remastered 2024
57,+5,Henrique & Juliano - Aquela Pessoa - Ao Vivo,1205,25,,277837,-54294.0,1964920,-6202,239389899,Henrique & Juliano,Aquela Pessoa - Ao Vivo
58,-4,MC Tuto - 2025 (w/ DJ Oreia),147,7,,276132,-76343.0,2012678,11931,74661743,MC Tuto,2025 (w/ DJ Oreia)
59,+13,Felipe e Rodrigo - Gosta De Rua - Ao Vivo,407,1,(x8),270169,-39804.0,1675862,9067,215998783,Felipe e Rodrigo,Gosta De Rua - Ao Vivo
60,+1,Gustavo Mioto - Nada Com Nada - Ao Vivo (w/ Grupo Menos É Mais),164,13,,265235,-72041.0,1847940,-33720,56817775,Gustavo Mioto,Nada Com Nada - Ao Vivo (w/ Grupo Menos É Mais)
