Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+16,JJ - Wasted Love,5,1,(x1),86392,58963.0,155695,86392,155695,JJ,Wasted Love
2,+3,Tommy Cash - Espresso Macchiato,6,2,(x1),71965,35549.0,182733,71965,182733,Tommy Cash,Espresso Macchiato
3,+1,KAJ - Bara Bada Bastu,7,3,(x1),63814,20201.0,217498,63814,217498,KAJ,Bara Bada Bastu
4,-3,Alex Warren - Ordinary,101,1,(x59),55312,-7566.0,447517,-1480,4808782,Alex Warren,Ordinary
5,+8,Abor & Tynna - Baller,6,5,,54818,24734.0,144568,54818,144568,Abor & Tynna,Baller
6,=,Zoë Më - Voyage,12,6,,53640,17593.0,191881,45051,252205,Zoë Më,Voyage
7,+28,Lucio Corsi - Volevo essere un duro,22,7,,43648,22339.0,102668,43648,334826,Lucio Corsi,Volevo essere un duro
8,-6,RAF Camora - CONNECTED (w/ reezy),3,1,(x1),42829,-15128.0,193469,42829,193469,RAF Camora,CONNECTED (w/ reezy)
9,+13,Kyle Alessandro - Lighter,5,9,,41997,16503.0,120513,41997,120513,Kyle Alessandro,Lighter
10,-7,Hamza - KYKY2BONDY,17,2,(x2),39374,-9353.0,296873,16336,495204,Hamza,KYKY2BONDY
11,+8,VÆB - RÓA,5,11,,36919,11240.0,108591,36919,108591,VÆB,RÓA
12,+17,Louane - maman,6,12,,33201,10469.0,104271,33201,104271,Louane,maman
13,+99,Yuval Raphael - New Day Will Rise,3,13,,31091,18580.0,54062,31091,54062,Yuval Raphael,New Day Will Rise
14,-6,WizTheMc - Show Me Love (w/ bees & honey),100,2,(x17),29364,-5490.0,237727,-3805,3137604,WizTheMc,Show Me Love (w/ bees & honey)
15,-8,Bad Bunny - DtMF,133,1,(x24),28221,-7622.0,242752,-5558,5529043,Bad Bunny,DtMF
16,+22,Claude - C'est La Vie,5,16,,27679,6950.0,93539,27679,93539,Claude,C'est La Vie
17,-8,ROSÉ - APT. (w/ Bruno Mars),213,1,(x38),26407,-6040.0,201357,-2596,9183920,ROSÉ,APT. (w/ Bruno Mars)
18,-7,Pashanim - Shabab(e)s im VIP (w/ Ceren),18,2,(x11),25976,-5383.0,243799,-5444,730263,Pashanim,Shabab(e)s im VIP (w/ Ceren)
19,-9,GIMS - NINAO,87,5,,25772,-6391.0,204815,-1204,2496214,GIMS,NINAO
20,+111,Klavdia - Asteromata,2,20,,25105,13410.0,36800,25105,36800,Klavdia,Asteromata
21,-7,Lola Young - Messy,167,3,(x8),24111,-5534.0,203899,-4094,4940635,Lola Young,Messy
