Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jimin - Who,304,1,(x19),246862,5030.0,1653178,8286,56800240,Jimin,Who
2,=,"Lucky Brown - Bella (w/ Jere Klein, Nes)",10,1,(x1),219783,-18436.0,1489922,50476,2005387,Lucky Brown,"Bella (w/ Jere Klein, Nes)"
3,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",86,1,(x4),175994,-37243.0,1494266,-21079,15472381,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
4,=,"Jere Klein - 2x1 (w/ Lucky Brown, Valdi, Mateo on the Beatz)",47,3,(x6),153162,-27542.0,1314204,-22359,7164297,Jere Klein,"2x1 (w/ Lucky Brown, Valdi, Mateo on the Beatz)"
5,+3,"Kidd Voodoo - WHISKY A LA ROCA (w/ Jere Klein, Swift 047)",124,2,(x28),144742,-13123.0,1104091,-14575,27167974,Kidd Voodoo,"WHISKY A LA ROCA (w/ Jere Klein, Swift 047)"
6,-1,Bad Bunny - BAILE INoLVIDABLE,134,1,(x9),140725,-20453.0,1239237,-10231,31132526,Bad Bunny,BAILE INoLVIDABLE
7,=,Tobal Mj - Tiene (w/ Lucky Brown),81,1,(x2),140273,-18443.0,1125691,-16978,18183369,Tobal Mj,Tiene (w/ Lucky Brown)
8,-2,Katteyes - PONTE LOKITA (w/ Kidd Voodoo),94,1,(x52),137711,-22148.0,1177812,-26328,29203833,Katteyes,PONTE LOKITA (w/ Kidd Voodoo)
9,+2,"Julianno Sosa - y ke pa - Remix (w/ benjitalkapone, Jairo Vera)",11,9,,131575,-2189.0,856315,43214,1225675,Julianno Sosa,"y ke pa - Remix (w/ benjitalkapone, Jairo Vera)"
10,-1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,2,(x5),125793,-19950.0,1143808,-33380,29099694,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
11,-1,Bad Bunny - VOY A LLeVARTE PA PR,134,1,(x14),120296,-15471.0,1057668,-5876,29768183,Bad Bunny,VOY A LLeVARTE PA PR
12,=,Bad Bunny - DtMF,134,1,(x22),113411,-14604.0,972009,-3310,29154715,Bad Bunny,DtMF
13,=,Bad Bunny - EoO,134,5,,110497,-16724.0,975743,-5119,21563286,Bad Bunny,EoO
14,=,Cris Mj - Conmigo Se Escapa,17,8,,103446,-18876.0,951124,-10422,2197778,Cris Mj,Conmigo Se Escapa
