Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",88,1,(x84),415299,-71642.0,3078080,-14333,42548942,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Blessd - AMISTA (w/ Ovy On The Drums),24,1,(x2),278717,-67323.0,2287306,-10338,8929086,Blessd,AMISTA (w/ Ovy On The Drums)
3,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",80,2,(x48),214324,-37021.0,1609297,8930,23794304,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
4,=,Beéle - Mi Refe (w/ Ovy On The Drums),161,1,(x7),205688,-36268.0,1581970,-12850,37063172,Beéle,Mi Refe (w/ Ovy On The Drums)
5,=,KAROL G - Milagros,11,4,,182367,-44303.0,1441178,49796,1981433,KAROL G,Milagros
6,=,"Kenny Die - Ultra Complicado (w/ Blessd, Kris R., Sebas)",94,3,(x9),169010,-33287.0,1477990,-23626,19688150,Kenny Die,"Ultra Complicado (w/ Blessd, Kris R., Sebas)"
7,+2,Blessd - YOGURCITO,255,7,,162064,-22122.0,1196411,27973,22729834,Blessd,YOGURCITO
8,-1,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),304,3,(x10),155215,-46511.0,1305100,3647,57813239,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
9,+1,Bad Bunny - BAILE INoLVIDABLE,134,1,(x12),152307,-20070.0,1167016,-21129,31137016,Bad Bunny,BAILE INoLVIDABLE
10,-2,Beéle - sobelove,73,4,,150739,-41049.0,1272766,-12258,13634659,Beéle,sobelove
11,=,Feid - LUNA (w/ ATL Jacob),535,1,(x181),143470,-20098.0,1010967,18385,136361842,Feid,LUNA (w/ ATL Jacob)
12,=,Danny Ocean - Imagínate (w/ Kapo),192,2,(x11),135600,-27721.0,1074775,-11828,38786228,Danny Ocean,Imagínate (w/ Kapo)
13,+2,Bad Bunny - DtMF,134,1,(x22),133026,-12175.0,970083,-245,29336649,Bad Bunny,DtMF
14,=,Miguel Bueno - Solcito (w/ Juan Duque),66,3,(x4),130429,-21641.0,1033087,-4103,12582759,Miguel Bueno,Solcito (w/ Juan Duque)
15,+1,KAROL G - Si Antes Te Hubiera Conocido,332,1,(x10),130278,-12003.0,859935,21349,69736795,KAROL G,Si Antes Te Hubiera Conocido
16,+1,"KAROL G - +57 (w/ Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd)",192,1,(x40),112662,-20943.0,879240,-5925,43408789,KAROL G,"+57 (w/ Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd)"
17,-4,Nicky Jam - Hiekka (w/ Beéle),15,13,,112161,-41046.0,956446,12351,1649259,Nicky Jam,Hiekka (w/ Beéle)
18,=,Alleh - capaz (merengueton) (w/ Yorghaki),161,14,,110644,-20779.0,812109,8677,19699965,Alleh,capaz (merengueton) (w/ Yorghaki)
19,+3,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,3,(x1),108788,-15851.0,849689,-18871,24570100,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
20,+5,Ryan Castro - Ojalá,10,20,,108267,-4577.0,706837,34030,988800,Ryan Castro,Ojalá
21,-2,Beéle - Frente al Mar,234,11,,107917,-23127.0,851670,139,28481498,Beéle,Frente al Mar
22,-1,Blessd - POLOS OPUESTOS REMIX - BLESSD VERSION (w/ Kris R.),222,3,(x18),107833,-20192.0,846626,1688,43261320,Blessd,POLOS OPUESTOS REMIX - BLESSD VERSION (w/ Kris R.)
