Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Slavíček - Až po uši,12,1,(x1),68890,8746.0,439739,37082,548382,Slavíček,Až po uši
2,-1,Sara Rikas - Talk2me (w/ Yzomandias),33,1,(x27),58297,-4786.0,523632,-9618,2627616,Sara Rikas,Talk2me (w/ Yzomandias)
3,=,Sara Rikas - Cigarety (w/ Matej Turcer),25,2,(x14),44475,-662.0,404162,-8217,1335136,Sara Rikas,Cigarety (w/ Matej Turcer)
4,=,Calin - Pistacie (w/ Sofian Medjmedj),161,1,(x115),40785,-2801.0,342474,-3630,13234981,Calin,Pistacie (w/ Sofian Medjmedj)
5,=,Sara Rikas - Ups and downs,25,4,,37483,-2301.0,322618,-2381,1038353,Sara Rikas,Ups and downs
6,=,Alex Warren - Ordinary,101,4,,32754,-1017.0,271569,-34,2968326,Alex Warren,Ordinary
7,=,Yzomandias - KSN (w/ P T K),178,2,(x31),31564,-1869.0,255315,-791,6433896,Yzomandias,KSN (w/ P T K)
8,+5,Neny - Valčík,5,8,,28287,1992.0,116045,28287,116045,Neny,Valčík
9,-1,"Separ - Body to body (w/ French Montana, Peter Pann)",50,4,,26988,-3358.0,251324,-3346,1722720,Separ,"Body to body (w/ French Montana, Peter Pann)"
10,-1,Sara Rikas - Iné Plemená (w/ Viktor Sheen),157,3,(x3),26096,-2051.0,239108,-4800,3868504,Sara Rikas,Iné Plemená (w/ Viktor Sheen)
11,=,Calin - Vítej mezi náma (w/ STEIN27),161,2,(x51),25851,-2026.0,209072,-1483,7638073,Calin,Vítej mezi náma (w/ STEIN27)
12,-2,Viktor Sheen - Syndrom,192,1,(x26),25560,-2537.0,223937,-2629,9455943,Viktor Sheen,Syndrom
13,-1,Hard Rico - Mě Nedostanou,48,1,(x14),24484,-2678.0,206847,-3170,2278616,Hard Rico,Mě Nedostanou
14,+2,Ben Cristovao - FANCY (w/ Sofian Medjmedj),3,6,,23676,-656.0,92601,23676,92601,Ben Cristovao,FANCY (w/ Sofian Medjmedj)
15,+5,sombr - back to friends,77,14,,23564,1406.0,181499,460,1536226,sombr,back to friends
