Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Pashanim - Shabab(e)s im VIP (w/ Ceren),19,1,(x17),565019,-137490.0,5571103,-174533,16899573,Pashanim,Shabab(e)s im VIP (w/ Ceren)
2,+6,Abor & Tynna - Baller,32,2,(x1),503274,204120.0,1258613,503274,5008824,Abor & Tynna,Baller
3,+130,JJ - Wasted Love,2,3,(x1),472932,379845.0,566019,472932,566019,JJ,Wasted Love
4,-2,RAF Camora - CONNECTED (w/ reezy),3,1,(x1),471711,-186706.0,2156630,471711,2156630,RAF Camora,CONNECTED (w/ reezy)
5,+93,Tommy Cash - Espresso Macchiato,2,5,,394247,288914.0,499580,394247,499580,Tommy Cash,Espresso Macchiato
6,-3,Jazeek - AKON,52,1,(x34),380258,-111654.0,3392145,-37691,32154202,Jazeek,AKON
7,-3,Zartmann - tau mich auf,108,1,(x38),355487,-88253.0,3004964,-39183,67040886,Zartmann,tau mich auf
8,-3,Alex Warren - Ordinary,101,2,(x4),354898,-52968.0,2839857,-10778,32231907,Alex Warren,Ordinary
9,-3,Zsá Zsá - bad bunnies,17,2,(x1),295749,-79606.0,2835887,-72387,7571363,Zsá Zsá,bad bunnies
10,+49,KAJ - Bara Bada Bastu,2,10,,294323,164070.0,424576,294323,424576,KAJ,Bara Bada Bastu
11,-2,Pashanim - 2 Sitza,19,4,,233935,-59918.0,2370722,-82566,6753698,Pashanim,2 Sitza
12,+2,Nina Chuba - Unsicher,45,3,(x12),213658,-34753.0,1835424,-27910,17332816,Nina Chuba,Unsicher
13,-3,Aymen - Plug,38,3,(x10),212056,-64217.0,1905124,-17959,14017617,Aymen,Plug
14,-7,Oimara - Wackelkontakt,123,1,(x13),210135,-99622.0,1637923,-32494,56089531,Oimara,Wackelkontakt
15,-2,WizTheMc - Show Me Love (w/ bees & honey),101,4,,207093,-50980.0,1811580,-58053,26510119,WizTheMc,Show Me Love (w/ bees & honey)
16,-4,ROSÉ - APT. (w/ Bruno Mars),213,1,(x18),202784,-61610.0,1594482,-30115,75006281,ROSÉ,APT. (w/ Bruno Mars)
17,-6,Azet - Buscape (w/ Bobby Vandamme),10,5,,199844,-71018.0,2012245,-78159,3119372,Azet,Buscape (w/ Bobby Vandamme)
18,+2,Aymen - Therapie (w/ Kauta),3,9,,192035,-19279.0,725902,192035,725902,Aymen,Therapie (w/ Kauta)
