Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Annika - Stolt (w/ Lamin),11,1,(x10),197593,-22792.0,1524830,46316,2123083,Annika,Stolt (w/ Lamin)
2,=,Annika - Bliv her lidt endnu (w/ JOSVA),11,1,(x1),99994,-11156.0,817446,-8682,1348545,Annika,Bliv her lidt endnu (w/ JOSVA)
3,+1,APHACA - En drøm om et menneske,10,3,(x1),95810,5350.0,567860,18836,806097,APHACA,En drøm om et menneske
4,-1,Annika - Bar bund (w/ Gilli),11,3,(x9),89804,-9588.0,750466,-2877,1184247,Annika,Bar bund (w/ Gilli)
5,+4,"Anton Westerlin - Handsome (w/ Benjamin Hav, JOSVA, Gilli)",3,2,(x1),76164,-1966.0,277222,76164,277222,Anton Westerlin,"Handsome (w/ Benjamin Hav, JOSVA, Gilli)"
6,+2,Annika - Du ik værd at græde for (w/ Sira Jovina),11,6,,74943,-3705.0,570761,1272,917532,Annika,Du ik værd at græde for (w/ Sira Jovina)
7,-1,APHACA - Et sted hvor vi de første,80,2,(x10),74107,-15427.0,619255,-2690,4823557,APHACA,Et sted hvor vi de første
8,-3,Omar - Hele Vejen (w/ Mumle),101,1,(x37),72152,-17581.0,581472,-2592,8552206,Omar,Hele Vejen (w/ Mumle)
9,+1,APHACA - Smelter Under Månen,272,3,(x3),68250,-8154.0,545272,-15206,10796906,APHACA,Smelter Under Månen
10,-3,Gilli - Tilbage,17,1,(x2),67825,-19180.0,658816,-12352,1570457,Gilli,Tilbage
11,+3,Anton Westerlin - Blodigt (w/ Annika),115,1,(x32),62087,-2951.0,410078,14805,8846723,Anton Westerlin,Blodigt (w/ Annika)
12,=,Tobias Rahim - TÆT PÅ (w/ Delara),10,8,,61993,-8243.0,484208,-13319,687837,Tobias Rahim,TÆT PÅ (w/ Delara)
13,-2,Gilli - Rene Hjerter,17,1,(x1),61494,-10182.0,543049,-2860,1470288,Gilli,Rene Hjerter
14,-1,Skinz - Åboulevarden,24,10,,60573,-7388.0,492707,2127,1104844,Skinz,Åboulevarden
15,=,Alex Warren - Ordinary,101,1,(x5),55911,-8589.0,459388,-1581,6291058,Alex Warren,Ordinary
16,=,Lamin - Kun Os,52,1,(x4),52488,-7929.0,410199,4851,3846083,Lamin,Kun Os
17,=,"Rune Rask - Go Masala (w/ Klamfyr, USSEL, Niklas)",17,16,,48381,-11081.0,388724,2568,762844,Rune Rask,"Go Masala (w/ Klamfyr, USSEL, Niklas)"
18,=,Gobs - igen & igen (w/ One Two),52,1,(x6),46383,-11346.0,386638,-1486,3892864,Gobs,igen & igen (w/ One Two)
19,+3,Mille - kendt mig en uge,59,6,,45983,-2533.0,349790,3966,2881778,Mille,kendt mig en uge
20,+3,Annika - Lad mig lande,11,8,,43962,-4494.0,397121,-17155,717644,Annika,Lad mig lande
21,-2,Benjamin Hav - Du ligner din mor (w/ Lukas Graham),143,1,(x19),41669,-13971.0,334205,-2208,9114485,Benjamin Hav,Du ligner din mor (w/ Lukas Graham)
22,-1,Ed Sheeran - Azizam,41,8,,41576,-8915.0,347989,-2033,2053769,Ed Sheeran,Azizam
23,+2,Artigeardit - Seaside,39,1,(x1),41552,-4510.0,356947,-4214,2611832,Artigeardit,Seaside
24,-4,"Anton Westerlin - Entré (w/ Lamin, ozzy)",73,1,(x14),40766,-11448.0,338164,1402,4606052,Anton Westerlin,"Entré (w/ Lamin, ozzy)"
