Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",84,1,(x22),28249,-4278.0,200729,-1134,1936628,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,+1,Rochy RD - Lean,40,2,(x2),25512,-299.0,174021,1141,511214,Rochy RD,Lean
3,-1,Bad Bunny - BAILE INoLVIDABLE,134,1,(x55),24778,-1455.0,172677,-2032,5408301,Bad Bunny,BAILE INoLVIDABLE
4,+1,Beéle - Mi Refe (w/ Ovy On The Drums),161,2,(x1),22191,-2444.0,156760,-532,3633391,Beéle,Mi Refe (w/ Ovy On The Drums)
5,-1,Beéle - sobelove,73,3,(x3),22171,-2545.0,164235,-173,1544554,Beéle,sobelove
6,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,2,(x21),22137,-2131.0,160182,-3793,4418749,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
7,=,Bad Bunny - DtMF,134,1,(x11),21267,-1729.0,145335,-152,4380755,Bad Bunny,DtMF
8,+1,Lil Naay - OTRO SISTEMA (w/ Huan62),89,2,(x5),20307,-350.0,146091,-1915,2050894,Lil Naay,OTRO SISTEMA (w/ Huan62)
9,-1,Jessy Angeles - Peligrosa (w/ Randy),37,8,,19420,-1242.0,133839,1155,626039,Jessy Angeles,Peligrosa (w/ Randy)
10,=,Yari M - Sin Ti,107,1,(x4),19368,-1241.0,134487,731,2691646,Yari M,Sin Ti
11,=,Chaki Bley - Una Chica Good,22,9,,18467,-1128.0,121784,1647,262261,Chaki Bley,Una Chica Good
12,+2,Jey One - Suave,47,12,,18177,301.0,112564,810,678968,Jey One,Suave
13,-1,Bad Bunny - NUEVAYoL,134,1,(x4),17262,-1558.0,119002,-2100,4290024,Bad Bunny,NUEVAYoL
14,-1,Bad Bunny - EoO,134,6,,16646,-1713.0,116887,-1375,3340612,Bad Bunny,EoO
15,=,Bad Bunny - KLOuFRENS,134,8,,16442,-1057.0,120259,-696,2935313,Bad Bunny,KLOuFRENS
16,+1,Luis Brown - MA BUENA,24,16,,16081,-1334.0,105666,3340,305507,Luis Brown,MA BUENA
17,+1,Bad Bunny - VOY A LLeVARTE PA PR,134,2,(x1),15849,-1415.0,111605,-1182,3514775,Bad Bunny,VOY A LLeVARTE PA PR
18,-2,Shelow Shaq - Ta De Pinga,6,16,,15751,-1738.0,76301,15751,76301,Shelow Shaq,Ta De Pinga
19,=,"Huan62 - L NAMA (w/ Lil Naay, Dowba Montana)",131,4,,15551,-894.0,112502,-1538,2597782,Huan62,"L NAMA (w/ Lil Naay, Dowba Montana)"
20,+5,"Huan62 - Glizzy Zaza (w/ Lil Naay, Piyao Vrt)",131,2,(x1),15383,-88.0,107735,-1382,2770839,Huan62,"Glizzy Zaza (w/ Lil Naay, Piyao Vrt)"
21,+3,Lil Naay - Pa Tripea (w/ Huan62),124,3,(x1),15230,-427.0,109011,-1635,2111495,Lil Naay,Pa Tripea (w/ Huan62)
22,+1,"Little Homie - Natural - Remix (w/ De La Rose, Huan62, Kris R.)",24,11,,14818,-934.0,109316,-1728,358048,Little Homie,"Natural - Remix (w/ De La Rose, Huan62, Kris R.)"
23,-1,"Lil Naay - 3.5 (w/ Huan62, Kookies)",46,8,,14699,-1088.0,112592,-1621,642330,Lil Naay,"3.5 (w/ Huan62, Kookies)"
24,-3,Young Miko - WASSUP,24,21,,14662,-1175.0,101630,2246,267472,Young Miko,WASSUP
25,+1,Lomiiel - PA QUE LO BAILES,78,7,,14571,-648.0,96603,-534,1133214,Lomiiel,PA QUE LO BAILES
26,-6,Beéle - Frente al Mar,234,10,,14398,-1532.0,101911,255,3041950,Beéle,Frente al Mar
27,=,Alleh - capaz (merengueton) (w/ Yorghaki),164,16,,12349,-2144.0,89758,-398,2308025,Alleh,capaz (merengueton) (w/ Yorghaki)
28,+1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),185,1,(x1),12230,-1674.0,89309,-865,3821198,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
29,+3,ROA - ME GUSTAS CC,137,28,,11835,-49.0,82453,447,1280290,ROA,ME GUSTAS CC
30,-2,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),301,20,,11785,-2509.0,88666,1094,2763069,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
31,-1,"Shadow Blow - De Regalo (w/ Lil Naay, 212MUSIC)",150,8,,11511,-974.0,86356,-318,2964489,Shadow Blow,"De Regalo (w/ Lil Naay, 212MUSIC)"
32,+1,Bad Bunny - WELTiTA (w/ Chuwi),134,6,,11266,-591.0,78981,-944,2724029,Bad Bunny,WELTiTA (w/ Chuwi)
33,-2,Danny Ocean - Imagínate (w/ Kapo),190,15,,10897,-1584.0,79783,-787,2759491,Danny Ocean,Imagínate (w/ Kapo)
34,+12,Lil Naay - Mami,209,12,,10730,221.0,74537,-1187,2794101,Lil Naay,Mami
35,+8,J Balvin - LA CANCIÓN (w/ Bad Bunny),2152,1,(x13),10600,-212.0,73500,-1364,15818695,J Balvin,LA CANCIÓN (w/ Bad Bunny)
36,+18,Lil Naay - Perfect,13,36,,10436,1028.0,64476,2992,105639,Lil Naay,Perfect
37,-3,Rauw Alejandro - Khé? (w/ Romeo Santos),185,1,(x11),10374,-1246.0,72319,314,3980989,Rauw Alejandro,Khé? (w/ Romeo Santos)
38,+6,KAROL G - Si Antes Te Hubiera Conocido,332,1,(x18),10356,-255.0,63542,1730,5553650,KAROL G,Si Antes Te Hubiera Conocido
39,-3,"ROA - ETA - RMX (w/ De La Rose, Luar La L, Yan Block, Omar Courtz)",166,24,,10286,-1059.0,74659,93,1925761,ROA,"ETA - RMX (w/ De La Rose, Luar La L, Yan Block, Omar Courtz)"
40,+7,Yailin la Mas Viral - Bing Bong (w/ Puyalo Pantera),194,1,(x31),10258,-104.0,66867,-369,4306855,Yailin la Mas Viral,Bing Bong (w/ Puyalo Pantera)
41,-2,ROA - FANTASÍA,89,39,,10244,-1037.0,71301,1151,765938,ROA,FANTASÍA
42,-4,"Huan62 - DE LA CALLE (w/ Lil Naay, Carlos Trvp, Little Homie)",114,16,,10234,-1083.0,75782,-1492,1643246,Huan62,"DE LA CALLE (w/ Lil Naay, Carlos Trvp, Little Homie)"
43,-6,"Keyviem - A 200 (w/ Carlos Trvp, Lil Naay, Little Homie)",156,7,,10076,-1263.0,72779,-1004,2880315,Keyviem,"A 200 (w/ Carlos Trvp, Lil Naay, Little Homie)"
44,+1,ROA - PPC (w/ Hades66),82,33,,9982,-573.0,72125,-476,858967,ROA,PPC (w/ Hades66)
