Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",87,1,(x16),112853,-19777.0,828048,-4675,9559644,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",80,1,(x64),108460,-16648.0,773944,-3141,13278776,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
3,=,Jombriel - XCLANA,14,3,(x13),80391,-10547.0,581093,-6236,1159948,Jombriel,XCLANA
4,=,Bad Bunny - BAILE INoLVIDABLE,134,1,(x37),70624,-9489.0,518108,-3550,14908641,Bad Bunny,BAILE INoLVIDABLE
5,+2,Beéle - Mi Refe (w/ Ovy On The Drums),153,3,(x1),54178,-8383.0,417752,-3924,9074328,Beéle,Mi Refe (w/ Ovy On The Drums)
6,=,Alleh - capaz (merengueton) (w/ Yorghaki),164,3,(x1),53360,-11945.0,403630,-1974,10312240,Alleh,capaz (merengueton) (w/ Yorghaki)
7,-2,Blessd - AMISTA (w/ Ovy On The Drums),24,5,,53122,-12469.0,413350,2442,1305384,Blessd,AMISTA (w/ Ovy On The Drums)
8,=,Bad Bunny - EoO,134,4,,52281,-7506.0,392120,-4306,10077564,Bad Bunny,EoO
9,+3,Bad Bunny - DtMF,134,1,(x16),49617,-4868.0,348310,474,12458023,Bad Bunny,DtMF
10,-1,Danny Ocean - Imagínate (w/ Kapo),191,5,,48107,-10048.0,376686,-3736,8746084,Danny Ocean,Imagínate (w/ Kapo)
11,-1,"Jombriel - Parte & Choke (w/ Alex Krack, Jøtta)",195,1,(x22),47382,-8797.0,352352,-5751,15132526,Jombriel,"Parte & Choke (w/ Alex Krack, Jøtta)"
12,-1,Danny Ocean - Priti (w/ Sech),54,10,,43951,-10690.0,343032,2096,1810999,Danny Ocean,Priti (w/ Sech)
13,+4,Danny Ocean - Me Rehúso,3081,1,(x4),43004,-719.0,292059,3906,37178026,Danny Ocean,Me Rehúso
14,-1,Feid - LUNA (w/ ATL Jacob),535,1,(x173),40897,-5961.0,294727,3893,39440859,Feid,LUNA (w/ ATL Jacob)
