Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",87.0,1.0,(x63),538783.0,-153996.0,4383409.0,9821.0,50604104.0,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Alleh - capaz (merengueton) (w/ Yorghaki),169.0,1.0,(x55),362462.0,-102416.0,2884252.0,24371.0,88782121.0,Alleh,capaz (merengueton) (w/ Yorghaki)
3,+1,"Delaossa - Still Luvin (w/ Quevedo, Bigla The Kid)",66.0,1.0,(x9),293449.0,-65085.0,2508319.0,2112.0,31733982.0,Delaossa,"Still Luvin (w/ Quevedo, Bigla The Kid)"
4,-1,Lucho RK - GUAYA (w/ Quevedo),10.0,3.0,(x5),291445.0,-76192.0,2611301.0,-28010.0,3777946.0,Lucho RK,GUAYA (w/ Quevedo)
5,=,JC Reyes - FLIPA (w/ Dei V),67.0,2.0,(x19),276060.0,-68965.0,2298725.0,-13765.0,27312977.0,JC Reyes,FLIPA (w/ Dei V)
6,=,Bad Bunny - BAILE INoLVIDABLE,134.0,2.0,(x22),274324.0,-66181.0,2399120.0,-63585.0,56436531.0,Bad Bunny,BAILE INoLVIDABLE
7,+5,Melody - Esa Diva,41.0,7.0,,348525.0,-25858.0,1473130.0,348525.0,4518301.0,Melody,Esa Diva
8,-1,"JC Reyes - NINFO (w/ De La Rose, MC Menor JP)",80.0,3.0,(x6),259064.0,-67319.0,2105311.0,13122.0,28596503.0,JC Reyes,"NINFO (w/ De La Rose, MC Menor JP)"
9,-1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134.0,2.0,(x2),254653.0,-51292.0,2162236.0,-45158.0,56711408.0,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
10,-1,Aitana - 6 DE FEBRERO,13.0,2.0,(x7),247184.0,-52015.0,2521565.0,-95274.0,5375673.0,Aitana,6 DE FEBRERO
11,-1,Beéle - Mi Refe (w/ Ovy On The Drums),160.0,3.0,(x2),219638.0,-60039.0,1822786.0,1046.0,53691064.0,Beéle,Mi Refe (w/ Ovy On The Drums)
12,+1,Omar Courtz - Comernos (w/ Bad Gyal),31.0,5.0,,210879.0,-56981.0,1911385.0,-20757.0,9047388.0,Omar Courtz,Comernos (w/ Bad Gyal)
13,+1,KAROL G - Si Antes Te Hubiera Conocido,332.0,1.0,(x87),209630.0,-48167.0,1579737.0,14092.0,154384433.0,KAROL G,Si Antes Te Hubiera Conocido
14,-3,JC Reyes - CELOSA (w/ David Marley),64.0,9.0,,209416.0,-63931.0,1745668.0,11649.0,12257097.0,JC Reyes,CELOSA (w/ David Marley)
15,+1,Bad Bunny - DtMF,134.0,1.0,(x21),205634.0,-35421.0,1656430.0,-34830.0,54040542.0,Bad Bunny,DtMF
16,-1,Bad Bunny - NUEVAYoL,134.0,1.0,(x7),198876.0,-55384.0,1713850.0,-51943.0,55391728.0,Bad Bunny,NUEVAYoL
17,+2,"Slayter - secuestro (w/ Yan Block, NTG)",31.0,17.0,,190318.0,-33652.0,1489738.0,38983.0,5120357.0,Slayter,"secuestro (w/ Yan Block, NTG)"
18,=,Bad Bunny - EoO,134.0,9.0,,187709.0,-45774.0,1636645.0,-37370.0,32801237.0,Bad Bunny,EoO
19,+1,Yan Block - 111,87.0,7.0,,185066.0,-36727.0,1549501.0,-3963.0,20426961.0,Yan Block,111
20,-3,Nicky Jam - Hiekka (w/ Beéle),17.0,14.0,,182952.0,-51687.0,1524438.0,63522.0,2592174.0,Nicky Jam,Hiekka (w/ Beéle)
21,=,Bad Bunny - VOY A LLeVARTE PA PR,134.0,2.0,(x1),182047.0,-31367.0,1523792.0,-40797.0,43114520.0,Bad Bunny,VOY A LLeVARTE PA PR
22,=,Pablo Chill-E - Resentia,30.0,19.0,,168645.0,-39310.0,1438310.0,1651.0,4566373.0,Pablo Chill-E,Resentia
23,+1,Quevedo - GRAN VÍA (w/ Aitana),179.0,1.0,(x21),163570.0,-32670.0,1311810.0,6273.0,57078669.0,Quevedo,GRAN VÍA (w/ Aitana)
24,-1,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",73.0,9.0,,162581.0,-36423.0,1313743.0,5139.0,10644453.0,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
25,+1,"Emilia - blackout 🧊 (w/ TINI, Nicki Nicole)",54.0,6.0,,161617.0,-30346.0,1345456.0,11389.0,12572336.0,Emilia,"blackout 🧊 (w/ TINI, Nicki Nicole)"
