Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,KAJ - Bara Bada Bastu,87,1,(x37),128684,-56809.0,807752,49391,9823915,KAJ,Bara Bada Bastu
2,+3,Tommy Cash - Espresso Macchiato,50,2,(x1),100448,22653.0,318719,89173,741185,Tommy Cash,Espresso Macchiato
3,+12,JJ - Wasted Love,8,3,(x1),98251,48867.0,225957,90979,233229,JJ,Wasted Love
4,-2,Erika Vikman - ICH KOMME,123,1,(x6),97113,-48624.0,553700,64968,6451279,Erika Vikman,ICH KOMME
5,-2,Ares - Onneks,25,1,(x19),70723,-15997.0,653343,-20952,2835655,Ares,Onneks
6,+19,Käärijä - #eurodab (w/ Baby Lasagna),3,6,,68410,30670.0,173033,68410,173033,Käärijä,#eurodab (w/ Baby Lasagna)
7,+13,Abor & Tynna - Baller,6,7,,67525,26302.0,168177,67525,168177,Abor & Tynna,Baller
8,-4,Sara Bee - Luuleks (w/ Ares),17,2,(x4),64883,-13677.0,577370,-4624,1401826,Sara Bee,Luuleks (w/ Ares)
9,-3,Korelon - Ylibuukattu (w/ Sliki),10,1,(x1),61449,-15118.0,564965,-29183,876659,Korelon,Ylibuukattu (w/ Sliki)
10,-3,DAVI - Yks mun ongelmist (w/ Jore & Zpoppa),24,3,(x1),51614,-9039.0,471698,-11162,1670342,DAVI,Yks mun ongelmist (w/ Jore & Zpoppa)
11,+6,VÆB - RÓA,6,11,,49065,1413.0,170253,49065,170253,VÆB,RÓA
12,+4,Kyle Alessandro - Lighter,8,12,,47746,-976.0,195484,39926,203304,Kyle Alessandro,Lighter
13,-5,Turisti - Liike on lääke,45,1,(x6),46667,-10768.0,414629,-8482,3583033,Turisti,Liike on lääke
14,-4,ELLIMEI - Mun ihminen,38,2,(x4),46540,-8388.0,413007,-8979,2788246,ELLIMEI,Mun ihminen
15,-6,Lauri Haav - Toisessa elämässä,39,1,(x14),45883,-10985.0,443181,-16157,4169866,Lauri Haav,Toisessa elämässä
16,+11,OLGA - NRO1 BÄMÄ,3,16,,45529,8766.0,135804,45529,135804,OLGA,NRO1 BÄMÄ
17,-5,Ares - Menestys on paras tapa kostaa,137,1,(x31),43031,-8349.0,376899,-5477,12036044,Ares,Menestys on paras tapa kostaa
18,-7,Etta - Tytöt tietää,10,3,(x1),41969,-10571.0,383407,-23809,634130,Etta,Tytöt tietää
19,-5,AikaPoliisi - Herkkukauppa (Bam Tsiki Tsiki),40,7,,41090,-8710.0,335577,470,1682073,AikaPoliisi,Herkkukauppa (Bam Tsiki Tsiki)
20,-2,MELO - KRUUNU (w/ ibe),3,6,,40473,-5950.0,174519,40473,174519,MELO,KRUUNU (w/ ibe)
21,-8,BESS - Kaistaa (w/ Käärijä),59,4,,39494,-11111.0,306973,4571,3215023,BESS,Kaistaa (w/ Käärijä)
22,-3,Isac Elliot - Vanhasta Uuteen,52,1,(x1),36009,-8211.0,316623,-5237,3288170,Isac Elliot,Vanhasta Uuteen
23,+20,Lucio Corsi - Volevo essere un duro,3,23,,33196,5264.0,76337,33196,76337,Lucio Corsi,Volevo essere un duro
24,-2,Jenni Vartiainen - Leima (w/ Turisti),59,1,(x6),31375,-9641.0,297529,-9279,4428706,Jenni Vartiainen,Leima (w/ Turisti)
25,-1,Turisti - Taikuri,242,1,(x41),31342,-6519.0,254413,-2054,16774699,Turisti,Taikuri
26,+2,"Jore & Zpoppa - MVP (w/ ibe, Elastinen)",81,2,(x19),30622,-5442.0,265392,-3713,5080640,Jore & Zpoppa,"MVP (w/ ibe, Elastinen)"
27,+7,Käärijä - Cha Cha Cha,782,1,(x45),30512,-244.0,135944,18769,32952361,Käärijä,Cha Cha Cha
28,-2,"Danitello - Jos se must on kii (w/ Ares, Elastinen)",3,8,,30447,-6719.0,144234,30447,144234,Danitello,"Jos se must on kii (w/ Ares, Elastinen)"
29,-8,JVG - Rehellisesti,109,1,(x5),30250,-10950.0,252968,-2522,6769090,JVG,Rehellisesti
30,-7,Behm - Kaiken arvoinen,38,2,(x1),30186,-8033.0,263631,-2966,1961455,Behm,Kaiken arvoinen
31,-2,Haloo Helsinki! - Gardenia,59,6,,28779,-7041.0,242004,-2146,2532468,Haloo Helsinki!,Gardenia
32,-1,emma & matilda - Sisko,59,3,(x7),28452,-5669.0,253325,-4410,3493492,emma & matilda,Sisko
33,-3,Claude - C'est La Vie,6,30,,27889,-6289.0,122154,27889,122154,Claude,C'est La Vie
34,-2,Ares - T-paita (w/ Bizi),116,2,(x7),26839,-7186.0,244348,-4774,6539366,Ares,T-paita (w/ Bizi)
35,=,Averagekidluke - Mitä meist jää,81,3,(x6),25323,-5300.0,229524,-3095,4223615,Averagekidluke,Mitä meist jää
36,=,SHRTY - Parasta aikaa (w/ Sliki),3,15,,25149,-3989.0,116749,25149,116749,SHRTY,Parasta aikaa (w/ Sliki)
37,+4,DOG HUSTLERS - Olen Suomalainen (w/ Kari Tapio),3,28,,24837,-3405.0,95936,24837,95936,DOG HUSTLERS,Olen Suomalainen (w/ Kari Tapio)
38,+23,Laura Thorn - La poupée monte le son,3,38,,24744,2486.0,62170,24744,62170,Laura Thorn,La poupée monte le son
39,+10,Zoë Më - Voyage,5,39,,24722,-1599.0,82301,24722,82301,Zoë Më,Voyage
40,+32,Yuval Raphael - New Day Will Rise,3,40,,24542,5415.0,54491,24542,54491,Yuval Raphael,New Day Will Rise
41,-8,Mirella - Timanttei,501,1,(x48),24212,-8569.0,205887,-3154,32547523,Mirella,Timanttei
42,+2,Alex Warren - Ordinary,101,27,,24108,-3677.0,198110,-1396,2141219,Alex Warren,Ordinary
43,-4,Turisti - Diana,95,1,(x10),24059,-4651.0,237812,-9410,5558132,Turisti,Diana
44,-6,Louane - maman,4,38,,23448,-5583.0,75851,23448,75851,Louane,maman
45,-3,Melody - Esa Diva,6,42,,22933,-5054.0,101630,22933,101630,Melody,Esa Diva
