Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Hamza - KYKY2BONDY,17,1,(x8),715571,-124435.0,5048907,337894,7997073,Hamza,KYKY2BONDY
2,+1,KeBlack - Melrose Place (w/ Guy2Bezbar),45,1,(x3),391726,-99673.0,2864675,70355,13371852,KeBlack,Melrose Place (w/ Guy2Bezbar)
3,-1,Jul - Mimi,24,1,(x2),380852,-111455.0,3066039,8910,8499566,Jul,Mimi
4,=,Werenoi - Piano (w/ GIMS),17,4,,372729,-108499.0,2492034,117812,5352401,Werenoi,Piano (w/ GIMS)
5,=,GIMS - NINAO,87,1,(x48),363476,-86284.0,2715366,-2387,39219770,GIMS,NINAO
6,+1,Werenoi - Pétunias,227,6,,336352,-53914.0,1436278,227880,38695852,Werenoi,Pétunias
7,-1,Werenoi - Poney,38,4,,318929,-79108.0,1621447,165642,9696911,Werenoi,Poney
8,=,Werenoi - Chemin d'or,781,8,,312696,-52349.0,1196217,219652,82962606,Werenoi,Chemin d'or
9,+2,KeBlack - Mood,81,2,(x7),290660,-61677.0,2290452,12046,28519646,KeBlack,Mood
10,-1,GIMS - CIEL,203,1,(x45),283900,-74611.0,2125601,-10485,70194698,GIMS,CIEL
11,-1,Werenoi - Laboratoire,801,7,,279271,-77717.0,1162896,180471,120391584,Werenoi,Laboratoire
12,+4,Siaka - Los Angeles,33,11,,274883,-33476.0,1723543,117990,3329704,Siaka,Los Angeles
13,=,Jul - Phénoménal,38,1,(x6),265013,-68413.0,2170884,-5456,12443513,Jul,Phénoménal
14,=,L2B - Pélican,94,2,(x5),262891,-58834.0,2015780,20839,28989770,L2B,Pélican
15,=,DJ Kawest - Chambre 04 (w/ Attachingboy),95,2,(x1),255276,-55821.0,1964192,20037,27576760,DJ Kawest,Chambre 04 (w/ Attachingboy)
16,-4,"Werenoi - Triple V (w/ Damso, Ninho)",38,1,(x7),252391,-94612.0,1507367,99192,10947522,Werenoi,"Triple V (w/ Damso, Ninho)"
17,=,Nono La Grinta - Paris,46,12,,245877,-38356.0,1739859,68090,7313042,Nono La Grinta,Paris
18,+4,Aya Nakamura - Baddies (w/ Joé Dwèt Filé),4,8,,226981,-16276.0,906644,226981,906644,Aya Nakamura,Baddies (w/ Joé Dwèt Filé)
19,+1,L2B - Tout Pour L'équipe,36,14,,225639,-39389.0,1547491,72246,5714253,L2B,Tout Pour L'équipe
20,-2,GIMS - SPIDER (w/ DYSTINCT),374,1,(x23),223448,-50693.0,1543282,23013,128104033,GIMS,SPIDER (w/ DYSTINCT)
21,-2,Charlotte Cardin - Feel Good,127,6,,220097,-45693.0,1683292,-2904,27146978,Charlotte Cardin,Feel Good
22,-1,Werenoi - Tu connais,603,7,,202775,-49468.0,853672,130271,84972446,Werenoi,Tu connais
23,=,Alex Warren - Ordinary,66,12,,202296,-37818.0,1599364,9647,10338190,Alex Warren,Ordinary
24,=,SDM - CARTIER SANTOS,234,1,(x38),193645,-41170.0,1456715,26372,76825137,SDM,CARTIER SANTOS
25,=,GIMS - SOIS PAS TIMIDE,304,1,(x53),191609,-39868.0,1364283,-3431,116308199,GIMS,SOIS PAS TIMIDE
26,=,Jul - Bwo,130,16,,182930,-45987.0,1384331,12459,11407540,Jul,Bwo
27,+18,Booba - Dolce Camara (w/ SDM),465,2,(x3),174558,-9831.0,1179055,31512,72143210,Booba,Dolce Camara (w/ SDM)
28,+2,Josas - Pichichi,51,13,,173486,-34978.0,1343548,12761,9429742,Josas,Pichichi
29,=,WizTheMc - Show Me Love (w/ bees & honey),81,15,,173121,-35750.0,1265551,13886,11602085,WizTheMc,Show Me Love (w/ bees & honey)
30,+1,Theodora - PAY! (w/ Guy2Bezbar),24,17,,172729,-32887.0,1330075,44330,3379839,Theodora,PAY! (w/ Guy2Bezbar)
31,+1,Jul - Sous la lune,254,2,(x3),172202,-33266.0,1266234,13493,45141305,Jul,Sous la lune
32,-4,Lola Young - Messy,155,7,,171263,-40417.0,1332332,-8553,30148736,Lola Young,Messy
33,+1,Gazo - NANANI NANANA,171,1,(x46),169967,-30694.0,1253158,18358,62497060,Gazo,NANANI NANANA
34,+1,Ninho - Vrais,180,14,,169661,-30060.0,1185277,22594,23193842,Ninho,Vrais
35,-2,Bad Bunny - DtMF,130,1,(x4),164805,-35976.0,1297136,-5394,27821249,Bad Bunny,DtMF
36,+18,Louane - maman,142,36,,164478,9669.0,735839,98484,3278512,Louane,maman
37,=,Rim'K - Run (w/ SDM),129,5,,162987,-34699.0,1286098,27974,27593276,Rim'K,Run (w/ SDM)
38,-11,GIMS - TOUCHÉ (w/ KeBlack),38,9,,162949,-51565.0,1298009,21146,6739693,GIMS,TOUCHÉ (w/ KeBlack)
39,+7,La Mano 1.9 - Sexy Woman,108,9,,159940,-19830.0,1120144,29018,17049613,La Mano 1.9,Sexy Woman
40,-4,Doechii - Anxiety,74,7,,158890,-39389.0,1263130,-12578,15606564,Doechii,Anxiety
41,+3,1D1R - Balade (w/ Vacra),30,22,,156592,-28490.0,1259103,4804,4074116,1D1R,Balade (w/ Vacra)
42,-3,ROSÉ - APT. (w/ Bruno Mars),213,2,(x2),155719,-38025.0,1116363,-3284,51926005,ROSÉ,APT. (w/ Bruno Mars)
43,=,Anyme023 - Shamballa (w/ Shaydee's),59,14,,155612,-29723.0,1162457,21568,9251040,Anyme023,Shamballa (w/ Shaydee's)
44,+7,HMZ - Saison (w/ Werenoi),3,44,,153166,-9791.0,431494,153166,431494,HMZ,Saison (w/ Werenoi)
45,-4,TKS 2G - Celibataire Polygame,55,13,,151356,-36577.0,1129809,24800,8311997,TKS 2G,Celibataire Polygame
46,-4,Gambi - LOCO LOCO,3,15,,151307,-35386.0,604744,151307,604744,Gambi,LOCO LOCO
47,-9,"Werenoi - Jalouse (w/ SDM, Vacra)",38,8,,149059,-45134.0,828299,67436,5754286,Werenoi,"Jalouse (w/ SDM, Vacra)"
48,-8,Joé Dwèt Filé - 4 Kampé,206,5,,147951,-43044.0,1158088,17329,45300852,Joé Dwèt Filé,4 Kampé
49,-1,Werenoi - Pyramide (w/ Damso),435,1,(x12),147336,-25850.0,455808,147336,55481915,Werenoi,Pyramide (w/ Damso)
50,-1,VEN1 - Hakayet,393,4,,145792,-25206.0,915116,45112,67568406,VEN1,Hakayet
51,-1,KAROL G - Si Antes Te Hubiera Conocido,325,15,,135708,-31737.0,1001529,12425,47509217,KAROL G,Si Antes Te Hubiera Conocido
52,=,Werenoi - Maudit (w/ Hamza),416,7,,135243,-24165.0,684288,74728,48164283,Werenoi,Maudit (w/ Hamza)
53,-6,KeBlack - Aucune attache,420,4,,129471,-48849.0,962167,10564,78747635,KeBlack,Aucune attache
54,+11,Ninho - La vie qu'on mène,2250,2,(x1),128086,-9129.0,953940,-7094,235944772,Ninho,La vie qu'on mène
55,+2,"Tiakola - MANON B (w/ Ryflo, Oskoow)",262,1,(x4),126981,-24740.0,873332,13171,50548264,Tiakola,"MANON B (w/ Ryflo, Oskoow)"
56,+10,Hamza - Murder,334,19,,125713,-10804.0,848517,30154,25665456,Hamza,Murder
57,-2,Jul - J'oublie tout,684,21,,124787,-29534.0,971669,-2753,44906898,Jul,J'oublie tout
58,-2,Dr. Yaro - Minimum ça,256,4,,123673,-30289.0,935194,6032,55306311,Dr. Yaro,Minimum ça
59,-1,Damso - Alpha (w/ Kalash),185,1,(x7),120689,-27355.0,942319,6094,49198152,Damso,Alpha (w/ Kalash)
60,-7,Werenoi - Dispense,31,14,,119511,-38199.0,337961,119511,4068177,Werenoi,Dispense
61,+6,Ninho - Putana,1541,3,(x1),119116,-16468.0,855843,-6371,121324610,Ninho,Putana
62,-3,Ed Sheeran - Azizam,37,58,,117432,-30508.0,846061,21864,3701915,Ed Sheeran,Azizam
63,-3,"No Limit - BOSS (w/ DYSTINCT, Werenoi, DJ Milane)",37,11,,115821,-32092.0,532447,55592,4623092,No Limit,"BOSS (w/ DYSTINCT, Werenoi, DJ Milane)"
64,=,Helena - Mauvais garçon,180,17,,115243,-22036.0,920564,-12551,26811541,Helena,Mauvais garçon
65,-4,Werenoi - Mauvaise,520,18,,114548,-29964.0,523622,114548,44214572,Werenoi,Mauvaise
66,-4,David Guetta - Beautiful People (w/ Sia),60,49,,113554,-29417.0,877737,7482,6017685,David Guetta,Beautiful People (w/ Sia)
67,-4,Teddy Swims - Bad Dreams,190,19,,111276,-29163.0,850576,8307,24756945,Teddy Swims,Bad Dreams
68,+5,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,5,,110683,-17937.0,829275,-3660,59563459,Lady Gaga,Die With A Smile (w/ Bruno Mars)
69,+1,Jul - Tu la love,383,32,,110451,-20662.0,815809,6015,29507530,Jul,Tu la love
70,+2,Ninho - Un Poco,456,6,,110362,-18365.0,847755,-10084,33731524,Ninho,Un Poco
71,-2,La Fouine - Etat des lieux - Part 1 (w/ Ninho),38,14,,110113,-22519.0,933347,-6680,6211182,La Fouine,Etat des lieux - Part 1 (w/ Ninho)
72,+6,Hamza - Mi Amor,64,26,,109067,-15754.0,807899,7317,7263949,Hamza,Mi Amor
73,+3,Werenoi - All eyes on me,591,49,,107117,-19826.0,296504,107117,49045789,Werenoi,All eyes on me
74,+3,Damiano David - Born With a Broken Heart,157,18,,106969,-18590.0,752417,14175,18732587,Damiano David,Born With a Broken Heart
75,+4,Karmen - ALICANTE (w/ PLK),23,39,,106889,-17515.0,935029,-6630,2816001,Karmen,ALICANTE (w/ PLK)
76,+12,Benson Boone - Beautiful Things,486,1,(x28),106862,-11131.0,762305,640,100335383,Benson Boone,Beautiful Things
77,-3,Bouss - Ca parle mal,264,3,(x22),106545,-21989.0,804315,12067,63063767,Bouss,Ca parle mal
