Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,TOQUEL - KAKO (w/ ObieDaz),4,1,(x3),193872,7553.0,692450,193872,692450,TOQUEL,KAKO (w/ ObieDaz)
2,+2,Klavdia - Asteromata,108,2,(x1),169611,48547.0,550181,146306,3431951,Klavdia,Asteromata
3,=,APON - Provlimata,10,1,(x1),154285,-5668.0,1039134,25141,1366995,APON,Provlimata
4,-2,SNIK - SOSA,18,1,(x13),121289,-44446.0,1251378,-47945,4185417,SNIK,SOSA
5,=,"Ivan Greko - EMMONI IDEA (w/ Sicario, Oge)",62,1,(x40),106293,-13977.0,782678,6178,10568692,Ivan Greko,"EMMONI IDEA (w/ Sicario, Oge)"
6,=,Saske - 5 AM,14,3,(x3),98600,-16795.0,766362,31189,1218201,Saske,5 AM
7,=,Sicario - FOTIA (w/ Beyond),127,1,(x21),96613,-10773.0,719508,476,15529910,Sicario,FOTIA (w/ Beyond)
8,+57,JJ - Wasted Love,3,8,,80823,52058.0,136190,80823,136190,JJ,Wasted Love
9,=,RICTA - I POLI MAS (w/ LEX),4,4,,77279,3750.0,310648,77279,310648,RICTA,I POLI MAS (w/ LEX)
10,+5,DAIMA - ATHINA (w/ Stanley),3,10,,67569,4519.0,210867,67569,210867,DAIMA,ATHINA (w/ Stanley)
11,-3,"Negros Tou Moria - Kapos Allios (w/ Bloody Hawk, ODYDOZE)",45,4,,67239,-14375.0,593179,-9300,3239787,Negros Tou Moria,"Kapos Allios (w/ Bloody Hawk, ODYDOZE)"
12,-2,"ZiZZi - XANA (w/ Arab, BeTaf Beats)",38,6,,60297,-9861.0,486197,3290,2726099,ZiZZi,"XANA (w/ Arab, BeTaf Beats)"
13,+1,Sicario - AUTOS,210,1,(x19),58424,-4724.0,418009,3085,15254042,Sicario,AUTOS
14,-3,Marina Satti - BLOUZAKI,24,8,,58069,-11719.0,474994,-9554,1644623,Marina Satti,BLOUZAKI
15,+54,Tommy Cash - Espresso Macchiato,5,15,,53322,25412.0,132727,53322,132727,Tommy Cash,Espresso Macchiato
16,-3,DAIMA - SIN PLIN (w/ Stanley),31,9,,51098,-12282.0,421424,-752,1674332,DAIMA,SIN PLIN (w/ Stanley)
17,+1,YungKapa - SPORT,52,14,,50430,-4939.0,383501,6398,1928522,YungKapa,SPORT
18,-2,DAIMA - VARKARIS (w/ Stanley),45,6,,50286,-11023.0,408203,3736,2896085,DAIMA,VARKARIS (w/ Stanley)
19,-7,Light - NO DIDDY (w/ Thug Slime),18,4,,49988,-19527.0,484352,-22437,1740258,Light,NO DIDDY (w/ Thug Slime)
20,-3,Ria Ellinidou - Kati Xereis,60,6,,49597,-6672.0,337833,-986,3486855,Ria Ellinidou,Kati Xereis
21,+83,Abor & Tynna - Baller,3,21,,47489,26239.0,88211,47489,88211,Abor & Tynna,Baller
22,=,SIDARTA - FOS STO DROMO,10,10,,46577,-5453.0,375077,-14240,522770,SIDARTA,FOS STO DROMO
23,-4,Light - TONY MONTANA II,18,2,(x7),45832,-9156.0,435699,-14729,2245758,Light,TONY MONTANA II
24,+1,TOQUEL - MCMG (w/ FLY LO),53,1,(x2),45007,-2206.0,330674,-4043,5358627,TOQUEL,MCMG (w/ FLY LO)
25,-4,Light - CONCERTO (w/ RACK),18,7,,44535,-8001.0,387836,-4070,1319943,Light,CONCERTO (w/ RACK)
26,-3,Marina Satti - ELA ELA (w/ Saske),52,5,,44360,-4848.0,358697,-2938,3157203,Marina Satti,ELA ELA (w/ Saske)
27,+2,Trannos - Gin & Bacardi,69,4,,43349,-955.0,319206,-3757,3859578,Trannos,Gin & Bacardi
28,-4,RACK - GRISELDA (w/ Sin Laurent),95,1,(x28),42888,-4615.0,322422,-3865,9857384,RACK,GRISELDA (w/ Sin Laurent)
29,-9,Fy - Money Dance (w/ BLVD Studio),47,2,(x14),42335,-10323.0,318877,-12277,4440222,Fy,Money Dance (w/ BLVD Studio)
30,+14,XRS - MYSTIKO (w/ Night Grind),3,21,,40664,4394.0,129460,40664,129460,XRS,MYSTIKO (w/ Night Grind)
31,+5,APON - Xiliometra,249,2,(x18),40035,-1222.0,299323,-5043,16615624,APON,Xiliometra
32,-6,Marina Satti - LOLA,24,13,,39733,-7383.0,327211,-8627,1355044,Marina Satti,LOLA
33,-6,"Lil Koni - SOS 2 (w/ Kidd, Echo)",20,6,,39618,-6404.0,327666,4638,903513,Lil Koni,"SOS 2 (w/ Kidd, Echo)"
34,+5,LEX - Alitiki Agapi (w/ Dof Twogee),179,1,(x1),39440,30.0,309190,152,11868538,LEX,Alitiki Agapi (w/ Dof Twogee)
35,-7,DAIMA - KAROTSAKI (w/ Stanley),3,28,,39311,-5604.0,131999,39311,131999,DAIMA,KAROTSAKI (w/ Stanley)
36,-3,"TOQUEL - ILEGAL (w/ FLY LO, Beyond)",172,1,(x1),39127,-3589.0,285807,-799,14552919,TOQUEL,"ILEGAL (w/ FLY LO, Beyond)"
37,+3,"TOQUEL - MOU ZITAS (w/ FLY LO, Beyond)",172,3,(x1),38955,24.0,271565,1483,11807339,TOQUEL,"MOU ZITAS (w/ FLY LO, Beyond)"
38,+5,APON - Kathreftis,59,4,,38794,2281.0,277022,285,3104136,APON,Kathreftis
39,-8,Light - POLO,18,2,(x1),38115,-5055.0,386047,-35908,1626070,Light,POLO
40,+1,APON - Kaigomai,10,40,,37991,-592.0,243459,18704,303262,APON,Kaigomai
41,-11,Trannos - Ximeromata (w/ 2nd Roof),59,10,,37978,-5585.0,289144,-5655,2729219,Trannos,Ximeromata (w/ 2nd Roof)
42,-7,Sicario - ISOS,529,3,(x3),37538,-4208.0,259340,4884,23065269,Sicario,ISOS
43,-6,"Saske - Gia Sena (w/ Grandbois, Th Mark)",144,2,(x5),37322,-3189.0,310447,-5385,10276942,Saske,"Gia Sena (w/ Grandbois, Th Mark)"
44,-10,"Dani Gambino - Files Kai Filoi (w/ Tsaki, Mpelafon)",4,11,,37297,-4826.0,198091,37297,198091,Dani Gambino,"Files Kai Filoi (w/ Tsaki, Mpelafon)"
45,+41,"Klavdia - Nyxta Mou Megali (w/ Oge, ARCADE)",126,45,,36664,12420.0,125722,24713,2248150,Klavdia,"Nyxta Mou Megali (w/ Oge, ARCADE)"
46,-14,"RICTA - GELATO (w/ Dani Gambino, SLVG)",4,11,,35499,-7270.0,175093,35499,175093,RICTA,"GELATO (w/ Dani Gambino, SLVG)"
