Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Neton Vega - Morena (w/ Peso Pluma),94,1,(x34),74120,-4193.0,577880,2359,6697987,Neton Vega,Morena (w/ Peso Pluma)
2,+1,Fuerza Regida - Marlboro Rojo,17,2,(x2),70678,-6094.0,462772,31492,715132,Fuerza Regida,Marlboro Rojo
3,-2,Tito Double P - TATTOO,80,1,(x14),70193,-8275.0,527613,4243,6997349,Tito Double P,TATTOO
4,=,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),47,4,,57791,-12187.0,450879,5273,2305106,Los Dareyes De La Sierra,Vita Fer (w/ Tito Double P)
5,=,Xavi - En Privado (w/ Manuel Turizo),100,1,(x21),55559,-10654.0,446023,-1629,7756166,Xavi,En Privado (w/ Manuel Turizo)
6,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),148,6,,54925,-8074.0,397569,6246,5796258,Fuerza Regida,COQUETA (w/ Grupo Frontera)
7,=,Neton Vega - M&M,93,3,(x3),54475,-8061.0,438242,-4357,5505533,Neton Vega,M&M
8,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",84,6,,49331,-10246.0,389568,144,4227982,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
9,+2,Clave Especial - TU TU TU (w/ Edgardo Nuñez),50,3,(x2),47686,-5974.0,424508,-10323,2228355,Clave Especial,TU TU TU (w/ Edgardo Nuñez)
10,=,Clave Especial - COMO CAPO (w/ Fuerza Regida),83,4,,47626,-6855.0,383991,-6978,3519328,Clave Especial,COMO CAPO (w/ Fuerza Regida)
11,+11,Fuerza Regida - ANSIEDAD,17,11,,47286,-173.0,307611,16489,542256,Fuerza Regida,ANSIEDAD
12,+4,Fuerza Regida - Por Esos Ojos,96,4,,46880,-2715.0,369147,-915,6198918,Fuerza Regida,Por Esos Ojos
