Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",85,1,(x42),26794,-3813.0,192571,-1329,2210018,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,+1,Fuerza Regida - COQUETA (w/ Grupo Frontera),131,2,(x1),23755,731.0,135563,6820,1263215,Fuerza Regida,COQUETA (w/ Grupo Frontera)
3,-1,Bad Bunny - EoO,134,1,(x8),21009,-2061.0,147304,-176,4258658,Bad Bunny,EoO
4,+1,Fuerza Regida - Marlboro Rojo,14,4,,20545,1518.0,106767,11859,149676,Fuerza Regida,Marlboro Rojo
5,-1,Bad Bunny - BAILE INoLVIDABLE,134,1,(x33),20292,-2111.0,146813,-815,4248440,Bad Bunny,BAILE INoLVIDABLE
6,+5,Fuerza Regida - Por Esos Ojos,96,6,,20204,2379.0,117830,5033,1567404,Fuerza Regida,Por Esos Ojos
7,+1,Fuerza Regida - ME JALO (w/ Grupo Frontera),144,4,,19743,1273.0,115370,4291,2225524,Fuerza Regida,ME JALO (w/ Grupo Frontera)
8,-1,Neton Vega - Morena (w/ Peso Pluma),93,3,(x1),18734,185.0,130313,1425,1389831,Neton Vega,Morena (w/ Peso Pluma)
9,=,Jin - Don’t Say You Love Me,3,5,,17758,-503.0,54817,17758,54817,Jin,Don’t Say You Love Me
10,+3,Clave Especial - COMO CAPO (w/ Fuerza Regida),80,7,,17578,711.0,109251,1900,862544,Clave Especial,COMO CAPO (w/ Fuerza Regida)
11,-5,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,1,(x1),17005,-1755.0,120518,-657,3781326,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
12,=,Tito Double P - TATTOO,80,6,,16461,-538.0,109223,1551,1356609,Tito Double P,TATTOO
13,-3,Bad Bunny - DtMF,134,1,(x41),16370,-1579.0,114677,150,4299175,Bad Bunny,DtMF
14,+6,Oscar Maydon - Tu Boda (w/ Fuerza Regida),231,1,(x33),15327,657.0,89102,4663,4469926,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
