Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Dzsúdló - SÖTÉT,4,1,(x2),63730,-6269.0,277915,63730,277915,Dzsúdló,SÖTÉT
2,-1,DESH - Talpra cigányok,17,1,(x11),61102,-17907.0,542197,3091,1266716,DESH,Talpra cigányok
3,=,Beton.Hofi - BE VAGYOK ZÁRVA,14,1,(x4),57850,-10671.0,496891,4685,1034441,Beton.Hofi,BE VAGYOK ZÁRVA
4,=,DESH - Vinnipu,5,3,(x2),38196,-6679.0,232019,38196,232019,DESH,Vinnipu
5,=,"DESH - PANNONIA (w/ Young Fly, Azahriah)",297,1,(x123),35617,-7048.0,274438,859,15279019,DESH,"PANNONIA (w/ Young Fly, Azahriah)"
6,=,Dzsúdló - díva (w/ DESH),280,3,(x7),31478,-7719.0,235112,2123,8029015,Dzsúdló,díva (w/ DESH)
7,=,DESH - SUV (w/ Young Fly),294,1,(x19),30254,-5294.0,260137,245,12377736,DESH,SUV (w/ Young Fly)
8,=,Hien - Túl szép,21,6,,25556,-6826.0,213684,1691,460905,Hien,Túl szép
9,=,"DESH - BAKPAKK (w/ Young Fly, Azahriah)",312,1,(x22),23811,-4362.0,172017,2481,11841301,DESH,"BAKPAKK (w/ Young Fly, Azahriah)"
10,=,DESH - Egy éjszaka,6,3,(x1),23029,-5107.0,100587,23029,170444,DESH,Egy éjszaka
11,=,Alex Warren - Ordinary,101,3,(x1),20846,-2693.0,175807,-326,1943501,Alex Warren,Ordinary
12,=,DESH - MOKKA (w/ Young Fly),303,1,(x17),19248,-3307.0,147014,1764,11123536,DESH,MOKKA (w/ Young Fly)
13,+3,Beton.Hofi - MEGGYFÁN (w/ ANUBII$),436,4,,18662,-3070.0,156343,-1749,6466284,Beton.Hofi,MEGGYFÁN (w/ ANUBII$)
14,=,"KKevin - BANDANA (w/ DESH, Young Fly)",291,1,(x1),18045,-4047.0,131705,3189,8481156,KKevin,"BANDANA (w/ DESH, Young Fly)"
15,+4,WizTheMc - Show Me Love (w/ bees & honey),101,1,(x1),17403,-2994.0,148855,-1959,2195093,WizTheMc,Show Me Love (w/ bees & honey)
