Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Fourtwnty - Mangu (w/ Charita Utami),91,1,(x22),3025377,-39471.0,21169060,245874,87562113,Fourtwnty,Mangu (w/ Charita Utami)
2,=,Raim Laode - Lesung Pipi,43,2,(x26),1496952,18236.0,10734888,-59663,57432519,Raim Laode,Lesung Pipi
3,=,NIKI - You'll Be in My Heart - Spotify Singles,76,1,(x24),1304874,32218.0,9097305,77877,79405242,NIKI,You'll Be in My Heart - Spotify Singles
4,=,.Feast - Nina,266,1,(x25),1095138,48807.0,7298876,38649,212396005,.Feast,Nina
5,+1,For Revenge - Serana,1100,1,(x20),1004984,126040.0,6364826,127956,483220731,For Revenge,Serana
6,-1,Raim Laode - Komang,827,1,(x64),972075,55324.0,6517818,-24035,453157769,Raim Laode,Komang
7,=,Fourtwnty - Hitam Putih,1855,6,,855048,943.0,5987755,103014,131649994,Fourtwnty,Hitam Putih
8,=,Sheila On 7 - Bila Kau Tak Disampingku,69,5,,845215,28714.0,5831109,98572,29297594,Sheila On 7,Bila Kau Tak Disampingku
9,+2,Faris Adam - Stecu Stecu,46,2,(x5),761095,24889.0,5410096,-83114,36470376,Faris Adam,Stecu Stecu
10,-1,Hindia - Rumah Ke Rumah,1997,6,,741950,-22427.0,5027783,-1614,439413159,Hindia,Rumah Ke Rumah
11,-1,The Lantis - Bunga Maaf,163,2,(x12),726156,-10809.0,4617878,134168,119634939,The Lantis,Bunga Maaf
12,+2,Nadhif Basalamah - bergema sampai selamanya,61,12,,701133,65699.0,4120949,213553,24456451,Nadhif Basalamah,bergema sampai selamanya
13,=,Yovie Widianto - Tanpa Cinta (w/ Tiara Andini),22,10,,682617,41652.0,4628097,119454,10395291,Yovie Widianto,Tanpa Cinta (w/ Tiara Andini)
14,-2,Juan Reza - PICA PICA,52,11,,679131,16395.0,4470066,25161,23277971,Juan Reza,PICA PICA
15,+6,Nadin Amizah - Bertaut,1816,1,(x40),649885,75158.0,4105685,35077,478195195,Nadin Amizah,Bertaut
16,+2,Feby Putri - Runtuh (w/ Fiersa Besari),1317,1,(x4),640893,40840.0,4370826,27701,550052335,Feby Putri,Runtuh (w/ Fiersa Besari)
17,-2,Pamungkas - Monolog,1864,11,,620107,-12038.0,4127333,61528,228786646,Pamungkas,Monolog
18,+9,yung kai - blue,183,2,(x2),616974,83577.0,3796148,115478,124859292,yung kai,blue
19,-3,For Revenge - Jakarta Hari Ini (w/ Stereo Wall),740,7,,613247,-6735.0,4228091,23961,226087925,For Revenge,Jakarta Hari Ini (w/ Stereo Wall)
20,+2,Last Child - Duka,1408,9,,611882,52902.0,4110138,-7261,474439002,Last Child,Duka
21,-2,Hindia - Cincin,678,8,,584835,1086.0,3659050,102201,216091612,Hindia,Cincin
22,-5,Batas Senja - Nanti Kita Seperti Ini,745,3,(x25),579653,-24452.0,3836615,71554,302746250,Batas Senja,Nanti Kita Seperti Ini
23,-3,Batas Senja - Kita Usahakan Lagi,13,19,,578519,3368.0,3724716,188159,5571461,Batas Senja,Kita Usahakan Lagi
24,+1,Andmesh - Anugerah Terindah,176,1,(x46),577469,42520.0,3797510,23353,145962946,Andmesh,Anugerah Terindah
25,+1,MikkyZia - Aku Dah Lupa (w/ F4dli),68,1,(x6),548271,14532.0,3585483,55111,45425703,MikkyZia,Aku Dah Lupa (w/ F4dli)
26,+5,Vierra - Seandainya,1542,12,,547983,35228.0,3620271,78409,349983918,Vierra,Seandainya
27,+1,"Tenxi - Garam & Madu (Sakit Dadaku) (w/ Jemsii, Naykilla)",136,1,(x33),541826,8961.0,3733822,-24984,122177070,Tenxi,"Garam & Madu (Sakit Dadaku) (w/ Jemsii, Naykilla)"
28,+4,Billie Eilish - BIRDS OF A FEATHER,351,3,(x4),534492,21823.0,3667225,14411,215499640,Billie Eilish,BIRDS OF A FEATHER
29,=,Sheila On 7 - Dan...,2836,7,,534324,14926.0,3694262,7351,199488725,Sheila On 7,Dan...
30,+6,Suara Kayu - Kembali Pulang (w/ Feby Putri),829,8,,533873,46328.0,3513797,15422,298334543,Suara Kayu,Kembali Pulang (w/ Feby Putri)
31,-8,Hindia - semua lagu cinta terdengar sama,69,15,,517282,-34020.0,3661563,-13540,29842962,Hindia,semua lagu cinta terdengar sama
32,+5,Lyodra - Pesan Terakhir,1399,3,(x14),510788,32394.0,3444767,19722,448127350,Lyodra,Pesan Terakhir
33,+5,Virgoun - Selamat (Selamat Tinggal) (w/ Audy),2125,6,,499835,23374.0,3397746,58774,435703288,Virgoun,Selamat (Selamat Tinggal) (w/ Audy)
34,=,Juicy Luicy - Lantas,1567,2,(x1),497206,-11089.0,3450704,-45006,444202643,Juicy Luicy,Lantas
35,-11,Fourtwnty - Aku Tenang,1281,24,,496155,-45039.0,3340473,98792,51242691,Fourtwnty,Aku Tenang
36,-6,Hindia - everything u are,76,23,,495838,-21129.0,3550118,23228,23588030,Hindia,everything u are
37,-2,Anggi Marito - Tak Segampang Itu,865,1,(x98),493468,2142.0,3523105,-64137,548446019,Anggi Marito,Tak Segampang Itu
38,+2,Andra & The Backbone - Sempurna,2849,13,,492969,24781.0,3291406,4507,351697841,Andra & The Backbone,Sempurna
39,-6,For Revenge - Penyangkalan,277,19,,492189,-19543.0,3598872,-16800,91904186,For Revenge,Penyangkalan
40,+4,Bernadya - Kata Mereka Ini Berlebihan,429,3,(x10),472708,28628.0,3359744,47699,235947223,Bernadya,Kata Mereka Ini Berlebihan
41,=,Gigi Perez - Sailor Song,107,22,,467431,12256.0,3273560,-24165,37765669,Gigi Perez,Sailor Song
42,+5,Bernadya - Satu Bulan,412,1,(x72),466252,35563.0,3134970,29792,307130289,Bernadya,Satu Bulan
43,+2,"Prince Poetiray - Selalu Ada di Nadimu (Original Soundtrack From “JUMBO"") (w/ Quinn Salman)",41,7,,465058,22925.0,3350883,-115619,23795978,Prince Poetiray,"Selalu Ada di Nadimu (Original Soundtrack From “JUMBO"") (w/ Quinn Salman)"
44,+2,Billie Eilish - WILDFLOWER,214,18,,460634,22770.0,3140024,28272,83687931,Billie Eilish,WILDFLOWER
45,+3,Hindia - Evaluasi,1273,1,(x40),460329,33640.0,2956419,65999,365936643,Hindia,Evaluasi
46,+6,Rony Parulian - Tak Ada Ujungnya,172,4,,457175,42968.0,3057359,31949,96790299,Rony Parulian,Tak Ada Ujungnya
47,-5,"Bunga Citra Lestari - Selalu Ada di Nadimu (Original Soundtrack From “JUMBO"")",38,10,,451803,332.0,3855540,-97610,15793464,Bunga Citra Lestari,"Selalu Ada di Nadimu (Original Soundtrack From “JUMBO"")"
48,+28,Nyoman Paul - Tunggu Apa Lagi,232,6,,448926,120074.0,2277660,133865,102069256,Nyoman Paul,Tunggu Apa Lagi
49,+5,Tulus - Monokrom,3078,12,,445456,44675.0,2948347,957,436766757,Tulus,Monokrom
50,+13,Dudy Oris - Aku Yang Jatuh Cinta,367,1,(x23),433622,54724.0,2707601,17297,247916089,Dudy Oris,Aku Yang Jatuh Cinta
51,+13,Nadhif Basalamah - penjaga hati,593,1,(x151),431477,55443.0,2575278,100108,351132352,Nadhif Basalamah,penjaga hati
52,+6,Kahitna - Soulmate,545,9,,424136,29704.0,2778529,48478,71014898,Kahitna,Soulmate
53,-4,Payung Teduh - Untuk Perempuan Yang Sedang Di Pelukan,3334,21,,421879,-1787.0,2851094,48523,271816999,Payung Teduh,Untuk Perempuan Yang Sedang Di Pelukan
54,-11,Halstage - L,1130,7,,420202,-26360.0,2638965,4373,325644473,Halstage,L
55,+1,The 1975 - About You,897,23,,416574,18496.0,2799198,18115,197323907,The 1975,About You
56,-6,NDX A.K.A. - Tresno Tekan Mati New Version - Remastered 2023,146,8,,415154,-4285.0,2693199,8686,68311936,NDX A.K.A.,Tresno Tekan Mati New Version - Remastered 2023
57,=,Juicy Luicy - Tampar,1098,7,,413421,16481.0,2884254,-27307,307553531,Juicy Luicy,Tampar
58,-7,Nidji - Rahasia Hati,340,29,,411189,-8128.0,2733475,75754,115639581,Nidji,Rahasia Hati
59,-20,"Fourtwnty - Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",1043,6,,410692,-62946.0,3302058,-7232,56723322,Fourtwnty,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")"
60,-1,Lady Gaga - Die With A Smile (w/ Bruno Mars),272,1,(x11),409032,21156.0,2840029,-6744,227856210,Lady Gaga,Die With A Smile (w/ Bruno Mars)
61,+5,Nadin Amizah - Sorai,1341,35,,402476,32207.0,2570556,67449,191637203,Nadin Amizah,Sorai
62,-9,NaFF - Kau Masih Kekasihku,110,25,,392602,-16885.0,2744294,30681,33438503,NaFF,Kau Masih Kekasihku
63,-8,Yovie & Nuno - Tanpa Cinta,944,31,,391994,-8294.0,2599289,47005,185784359,Yovie & Nuno,Tanpa Cinta
64,+3,Aziz Hedra - Somebody's Pleasure (Extended Version),156,13,,391251,27204.0,2690163,8368,55208489,Aziz Hedra,Somebody's Pleasure (Extended Version)
65,+4,Rio Clappy - Bunga Abadi,312,6,,390925,36186.0,2562706,-46058,185742227,Rio Clappy,Bunga Abadi
66,-1,".Feast - o,Tuan",126,38,,384853,14189.0,2598707,41742,38102128,.Feast,"o,Tuan"
67,-5,Sal Priadi - Kita usahakan rumah itu,108,49,,380265,646.0,2464228,82305,29095641,Sal Priadi,Kita usahakan rumah itu
68,+6,NIKI - Backburner,378,17,,379990,44758.0,2533200,18233,78932876,NIKI,Backburner
69,+1,.Feast - Tarot,135,69,,373112,20354.0,2374332,62657,30473229,.Feast,Tarot
70,-10,Adrian Khalif - Sialan (w/ Juicy Luicy),426,1,(x5),369669,-17412.0,2525051,23578,254105134,Adrian Khalif,Sialan (w/ Juicy Luicy)
71,+4,Hindia - Secukupnya,2068,1,(x26),362368,30476.0,2302336,54240,329617528,Hindia,Secukupnya
72,=,Denny Caknan - Sinarengan (w/ Bella Bonita),65,45,,355481,16641.0,2421614,-25823,21336430,Denny Caknan,Sinarengan (w/ Bella Bonita)
73,-12,Budi Doremi - Tak Kan Hilang,926,1,(x5),352387,-29574.0,2411975,43427,275694607,Budi Doremi,Tak Kan Hilang
74,-1,Virgoun - Surat Cinta Untuk Starla,976,56,,343369,7039.0,2288026,34031,147249464,Virgoun,Surat Cinta Untuk Starla
75,+6,One Direction - Night Changes,1603,10,,339968,34862.0,2227382,-6310,328723128,One Direction,Night Changes
76,+1,Sheila On 7 - Hari Bersamanya,341,70,,339017,19781.0,2177099,11436,49658617,Sheila On 7,Hari Bersamanya
77,+1,The Script - The Man Who Can't Be Moved,881,35,,331714,22368.0,2274487,17439,30452228,The Script,The Man Who Can't Be Moved
78,-10,"Bernadya - Untungnya, Hidup Harus Tetap Berjalan",294,2,(x3),330652,-29247.0,2346010,17959,205243978,Bernadya,"Untungnya, Hidup Harus Tetap Berjalan"
79,-8,Mahalini - Bawa Dia Kembali,452,4,,330403,-11413.0,2233542,9900,194831282,Mahalini,Bawa Dia Kembali
80,+3,Sheila On 7 - Kita,103,61,,326185,24544.0,2200462,36817,12248894,Sheila On 7,Kita
