Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Yuval Raphael - New Day Will Rise,70,1,(x2),104142,67297.0,286711,85756,1548337,Yuval Raphael,New Day Will Rise
2,-1,רון חיון - אחת ממיליון,62,1,(x5),47892,8059.0,334944,-6102,1750993,רון חיון,אחת ממיליון
3,+2,Itay Levi - נחלת בנימין,65,3,(x8),44034,10797.0,290544,1916,1697077,Itay Levi,נחלת בנימין
4,-1,"STILLA - רשימת קניות (w/ Ness, Odeya)",55,1,(x42),43874,9196.0,320573,-5175,3213297,STILLA,"רשימת קניות (w/ Ness, Odeya)"
5,-1,רואי אדם - מטורפת (w/ Zion Baruch),51,2,(x4),42361,8160.0,291134,-1898,1571468,רואי אדם,מטורפת (w/ Zion Baruch)
6,=,DUDA - לא להמציא,57,5,,38206,7294.0,258103,4267,1277393,DUDA,לא להמציא
7,=,Odeya - חולמת,76,1,(x8),34827,7273.0,243020,-2907,3024814,Odeya,חולמת
8,+1,Alex Warren - Ordinary,63,7,,33711,10567.0,214853,6651,1064401,Alex Warren,Ordinary
9,-1,תמר ריילי - בחיבק,105,1,(x14),31907,8580.0,212217,-113,3787291,תמר ריילי,בחיבק
10,+75,Tommy Cash - Espresso Macchiato,3,10,,31242,23461.0,46342,31242,46342,Tommy Cash,Espresso Macchiato
11,-1,Odeya - פרפרים,76,3,(x12),28420,7105.0,190120,846,2393196,Odeya,פרפרים
12,+1,Osher Cohen - גשם,40,12,,28397,10273.0,160711,6566,747243,Osher Cohen,גשם
13,+40,Eden Golan - Hurricane,246,1,(x8),27134,16425.0,82956,27134,6639884,Eden Golan,Hurricane
14,-3,Agam Buhbut - אם זה זה – זה זה,42,9,,25323,6130.0,175494,-1146,665211,Agam Buhbut,אם זה זה – זה זה
15,+7,STILLA - מגדלים (w/ Ness),309,1,(x26),25251,9582.0,151410,3701,11916351,STILLA,מגדלים (w/ Ness)
16,+2,Osher Cohen - מאחל לך טוב,102,1,(x1),25144,7785.0,164799,2495,3484381,Osher Cohen,מאחל לך טוב
17,-5,Omer Adam - אהובתי כבר לא רואה אותי,190,1,(x78),25134,6470.0,177848,1174,9331381,Omer Adam,אהובתי כבר לא רואה אותי
18,NEW,JJ - Wasted Love,1,18,,23404,,23404,23404,23404,JJ,Wasted Love
19,=,Peer Tasi - מה יהיה מחר,358,6,,23080,6324.0,138996,3332,8633016,Peer Tasi,מה יהיה מחר
20,-6,Itay Levi - התקדמתי ממך (w/ ששון איפרם שאולוב),174,9,,22906,4838.0,141311,2841,4305966,Itay Levi,התקדמתי ממך (w/ ששון איפרם שאולוב)
21,+3,עידו מלכה - פסיכופט,186,7,,22539,7027.0,137466,3168,3704372,עידו מלכה,פסיכופט
22,+4,Odeya - את לא יודעת כמה שאני אוהב אותך,186,2,(x7),22068,7286.0,146318,-23,5411776,Odeya,את לא יודעת כמה שאני אוהב אותך
23,=,Eyal Golan - החדר מסתובב,60,3,(x1),21846,6327.0,151088,1046,1581147,Eyal Golan,החדר מסתובב
24,-8,Ness - באמפרים (w/ STILLA),356,1,(x26),21794,4253.0,140864,4219,12761822,Ness,באמפרים (w/ STILLA)
25,-10,WizTheMc - Show Me Love (w/ bees & honey),65,9,,21750,3955.0,157791,-2498,1265611,WizTheMc,Show Me Love (w/ bees & honey)
26,-5,ששון איפרם שאולוב - תמיד אוהב אותי,242,1,(x51),21653,5435.0,144948,-1173,10898424,ששון איפרם שאולוב,תמיד אוהב אותי
27,-10,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,2,(x13),21349,3940.0,151823,-57,9572428,Lady Gaga,Die With A Smile (w/ Bruno Mars)
28,-8,Osher Cohen - אין אותי (w/ Noa Kirel),302,1,(x38),20029,3767.0,134333,1836,11181067,Osher Cohen,אין אותי (w/ Noa Kirel)
29,+16,יאיר אלייצור - טאטע תטהר - גרסה אקוסטית (w/ Ben Zur),124,5,,19841,8600.0,105322,5642,2948500,יאיר אלייצור,טאטע תטהר - גרסה אקוסטית (w/ Ben Zur)
30,+138,Abor & Tynna - Baller,2,30,,19772,14279.0,25265,19772,25265,Abor & Tynna,Baller
31,-6,Omer Adam - תהום,190,2,(x3),19376,3942.0,139540,82,6940700,Omer Adam,תהום
32,-4,Omer Adam - לילות וקללות,424,2,(x12),19199,4769.0,121632,-139,11178735,Omer Adam,לילות וקללות
33,+3,Omer Adam - טקילה,190,2,(x7),18538,5569.0,121234,288,6878723,Omer Adam,טקילה
