Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Luchè - Ginevra (w/ Geolier),3,1,(x3),399242,-91749.0,1458645,399242,1458645,Luchè,Ginevra (w/ Geolier)
2,=,Sfera Ebbasta - NEON (w/ Shiva),38,1,(x26),374069,-115030.0,3130015,-16459,22563361,Sfera Ebbasta,NEON (w/ Shiva)
3,=,BLANCO - Piangere a 90,11,1,(x7),355768,-115009.0,3315942,-78375,5113278,BLANCO,Piangere a 90
4,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",48,3,(x6),282156,-103082.0,2343562,1180,9674461,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
5,+1,Olly - Balorda nostalgia,96,1,(x52),255999,-56395.0,2103706,-29209,67623217,Olly,Balorda nostalgia
6,+1,Alfa - a me mi piace (w/ Manu Chao),10,6,,231861,-66768.0,1656118,23780,2199445,Alfa,a me mi piace (w/ Manu Chao)
7,-2,Artie 5ive - SOGNO AMERICANO,52,1,(x5),230093,-87027.0,1957983,-5201,17244704,Artie 5ive,SOGNO AMERICANO
8,=,"Luchè - Miami Vice (w/ Sfera Ebbasta, Simba La Rue)",3,4,,204187,-86871.0,909861,204187,909861,Luchè,"Miami Vice (w/ Sfera Ebbasta, Simba La Rue)"
9,+1,Achille Lauro - Incoscienti Giovani,96,2,(x15),195973,-47342.0,1558175,-16157,43809126,Achille Lauro,Incoscienti Giovani
10,-1,Achille Lauro - AMOR,31,5,,192972,-71756.0,1748129,-12903,7145212,Achille Lauro,AMOR
11,=,Sfera Ebbasta - VVS CARTIER (w/ Shiva),38,5,,179202,-57839.0,1556122,-22943,9499883,Sfera Ebbasta,VVS CARTIER (w/ Shiva)
12,+1,Bad Bunny - DtMF,131,1,(x15),168091,-47285.0,1344158,-20357,33312998,Bad Bunny,DtMF
13,+1,Luchè - Nessuna,3,9,,160756,-40210.0,638305,160756,638305,Luchè,Nessuna
14,+1,Cesare Cremonini - Ora che non ho più te,237,1,(x7),158918,-37540.0,1191053,-1257,59920667,Cesare Cremonini,Ora che non ho più te
15,-3,Sfera Ebbasta - NON METTERCI BECCO (w/ Shiva),39,1,(x2),158021,-59544.0,1374334,-12341,14289460,Sfera Ebbasta,NON METTERCI BECCO (w/ Shiva)
16,=,Alex Warren - Ordinary,60,10,,157368,-37327.0,1301475,-587,7804369,Alex Warren,Ordinary
17,+2,Pinguini Tattici Nucleari - Bottiglie Vuote (w/ Max Pezzali),38,17,,147914,-38175.0,1119680,18242,5114516,Pinguini Tattici Nucleari,Bottiglie Vuote (w/ Max Pezzali)
18,+16,Lucio Corsi - Volevo essere un duro,96,2,(x4),147676,-6334.0,829615,60039,34470155,Lucio Corsi,Volevo essere un duro
19,+1,Giorgia - LA CURA PER ME,96,2,(x8),146968,-34350.0,1166418,-21995,41094875,Giorgia,LA CURA PER ME
20,-2,Guè - Oh Mamma Mia (w/ Rose Villain),129,1,(x3),144085,-42263.0,1154554,-6680,23628449,Guè,Oh Mamma Mia (w/ Rose Villain)
21,+3,"Olly - Per due come noi (w/ Angelina Mango, Juli)",255,1,(x15),140780,-31608.0,1111981,-7205,70524911,Olly,"Per due come noi (w/ Angelina Mango, Juli)"
22,+14,Pinguini Tattici Nucleari - Islanda,185,1,(x13),140482,-8480.0,973163,10300,44981168,Pinguini Tattici Nucleari,Islanda
23,+3,Lazza - BUIO DAVANTI,241,3,(x8),139184,-26491.0,1065921,6443,51303420,Lazza,BUIO DAVANTI
24,+8,Olly - Scarabocchi (w/ Juli),206,3,(x4),136671,-22267.0,1076808,57,50624327,Olly,Scarabocchi (w/ Juli)
25,-8,Salmo - ON FIRE (w/ Low Kidd),21,6,,134536,-59285.0,1519297,-74306,3952338,Salmo,ON FIRE (w/ Low Kidd)
26,-3,Alleh - capaz (merengueton) (w/ Yorghaki),127,19,,129001,-43449.0,1059449,-6657,12309198,Alleh,capaz (merengueton) (w/ Yorghaki)
27,+2,Bresh - Umore marea,10,21,,127868,-33436.0,1065136,-14768,1584813,Bresh,Umore marea
28,+3,Rose Villain - fuorilegge,96,5,,127082,-33689.0,1053613,-22581,31793966,Rose Villain,fuorilegge
29,-4,Bad Bunny - NUEVAYoL,133,2,(x6),126617,-44084.0,1074340,-25143,23028070,Bad Bunny,NUEVAYoL
30,-2,KAROL G - Si Antes Te Hubiera Conocido,326,4,,126328,-37453.0,972989,2016,58446893,KAROL G,Si Antes Te Hubiera Conocido
31,-9,Salmo - SINCERO,10,4,,125882,-48768.0,1296558,-69739,2098037,Salmo,SINCERO
32,-5,Artie 5ive - FW/SS25 (Freestyle),52,4,,124330,-40921.0,1130767,-4591,11811543,Artie 5ive,FW/SS25 (Freestyle)
33,+16,Artie 5ive - INTRO (La Bella Vita),45,9,,122964,-9260.0,729536,65785,4017752,Artie 5ive,INTRO (La Bella Vita)
34,-1,Annalisa - Maschio,11,30,,121671,-35928.0,978639,10897,1529912,Annalisa,Maschio
35,=,Bresh - La tana del granchio,96,6,,120936,-30803.0,1031887,-20549,31194747,Bresh,La tana del granchio
36,-15,"Luchè - Anno Fantastico (w/ Shiva, Tony Boy)",59,2,(x1),119523,-59436.0,927223,32155,10296933,Luchè,"Anno Fantastico (w/ Shiva, Tony Boy)"
37,+4,Luchè - Autostima,25,25,,116570,-24271.0,667351,116570,2072728,Luchè,Autostima
38,-1,Marracash - LEI,157,1,(x14),115556,-33325.0,954778,-9055,31748647,Marracash,LEI
39,-9,Luchè - Un milione di mani (w/ Rose Villain),3,13,,113885,-47318.0,514894,113885,514894,Luchè,Un milione di mani (w/ Rose Villain)
40,+5,Olly - Devastante (w/ Juli),437,8,,113192,-19806.0,907904,1645,91952690,Olly,Devastante (w/ Juli)
41,-1,Gaia - CHIAMO IO CHIAMI TU,96,6,,110805,-32232.0,916985,-26526,23752253,Gaia,CHIAMO IO CHIAMI TU
42,-4,Salmo - CARTINE CORTE,10,13,,109651,-34983.0,1131548,-44888,1775654,Salmo,CARTINE CORTE
43,=,Ultimo - BELLA DAVVERO,31,8,,108316,-25799.0,940462,-12089,5152884,Ultimo,BELLA DAVVERO
44,+20,Gabry Ponte - Tutta L'Italia - Sanremo 2025,96,30,,104223,-7556.0,593808,45410,10345995,Gabry Ponte,Tutta L'Italia - Sanremo 2025
45,+5,Fedez - BATTITO,96,1,(x1),102337,-27128.0,869627,-16255,43255945,Fedez,BATTITO
46,+10,Coma_Cose - CUORICINI,96,7,,102180,-17088.0,749904,-18563,27523912,Coma_Cose,CUORICINI
47,+4,The Kolors - TU CON CHI FAI L'AMORE,96,7,,99672,-29082.0,808569,-18520,23760366,The Kolors,TU CON CHI FAI L'AMORE
48,-6,Sfera Ebbasta - SEI PERSA (w/ Shiva),38,3,(x4),99248,-36435.0,889467,-9856,9538314,Sfera Ebbasta,SEI PERSA (w/ Shiva)
49,-5,Fedez - SCELTE STUPIDE (w/ CLARA),17,13,,98969,-34155.0,865912,-7348,2095069,Fedez,SCELTE STUPIDE (w/ CLARA)
50,NEW,JJ - Wasted Love,1,50,,97782,,97782,97782,97782,JJ,Wasted Love
51,+20,Ghali - Chill,3,27,,97129,-7639.0,372407,97129,372407,Ghali,Chill
