Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jimin - Who,304,1,(x304),131473,-4065.0,956825,-33428,58925216,Jimin,Who
2,=,Jung Kook - Seven (w/ Latto),675,1,(x114),47913,2921.0,316085,4903,49478505,Jung Kook,Seven (w/ Latto)
3,=,Jimin - Be Mine,304,2,(x64),35897,1600.0,245036,-1112,16423016,Jimin,Be Mine
4,+1,Jin - Don’t Say You Love Me,3,4,,33329,2234.0,94036,33329,94036,Jin,Don’t Say You Love Me
5,-1,MEOVV - HANDS UP,21,3,(x2),33236,989.0,235203,3001,544683,MEOVV,HANDS UP
6,+1,V - Winter Ahead (w/ Park Hyo Shin),171,2,(x1),31160,2382.0,205489,80,6632429,V,Winter Ahead (w/ Park Hyo Shin)
7,-1,Jimin - Like Crazy,786,1,(x268),29588,-261.0,209691,-3768,47148415,Jimin,Like Crazy
8,+3,10CM - To Reach You,46,8,,28612,2104.0,188936,2712,706952,10CM,To Reach You
9,-1,WOODZ - Drowning,229,8,,28184,309.0,193501,872,4174085,WOODZ,Drowning
10,-1,"BOYNEXTDOOR - IF I SAY, I LOVE YOU",133,5,,26880,-457.0,187750,6913,3786147,BOYNEXTDOOR,"IF I SAY, I LOVE YOU"
11,+3,LE SSERAFIM - HOT,66,2,(x6),26034,773.0,185970,-1378,2464951,LE SSERAFIM,HOT
12,-2,Jimin - Smeraldo Garden Marching Band (w/ Loco),325,2,(x21),25552,-1304.0,182513,-3100,12177356,Jimin,Smeraldo Garden Marching Band (w/ Loco)
13,=,aespa - Whiplash,210,3,(x21),25320,-406.0,178878,692,8452980,aespa,Whiplash
14,+13,Jin - Running Wild,185,2,(x7),25241,4905.0,198848,-1238,6908246,Jin,Running Wild
15,+3,Jimin - Closer Than This,514,2,(x6),25080,1110.0,168530,-1027,18253021,Jimin,Closer Than This
16,+3,BOYNEXTDOOR - I Feel Good,6,5,,24990,1437.0,164628,24990,164628,BOYNEXTDOOR,I Feel Good
17,-2,JENNIE - like JENNIE,74,2,(x16),24735,-483.0,193895,-4297,3148643,JENNIE,like JENNIE
18,-2,Lim Young Woong - Heavenly Ever After,35,9,,24684,229.0,175272,285,868209,Lim Young Woong,Heavenly Ever After
19,-2,Jimin - Rebirth (Intro),304,5,,24624,523.0,165711,-1096,8476123,Jimin,Rebirth (Intro)
20,-8,Jung Kook - 3D (w/ Jack Harlow),598,2,(x31),23836,-2299.0,164583,1354,22439118,Jung Kook,3D (w/ Jack Harlow)
21,+3,BOYNEXTDOOR - 123-78,6,14,,23195,2046.0,143235,23195,143235,BOYNEXTDOOR,123-78
22,-2,Jimin - Slow Dance (w/ Sofia Carson),304,5,,22774,-717.0,161646,-2570,8571106,Jimin,Slow Dance (w/ Sofia Carson)
23,=,Kendrick Lamar - luther,177,3,(x13),22099,329.0,155867,-1267,5829547,Kendrick Lamar,luther
24,-2,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,5,,21800,-298.0,152683,-681,6999703,Lady Gaga,Die With A Smile (w/ Bruno Mars)
25,+1,Jin - Nothing Without Your Love,3,25,,21535,1026.0,63274,21535,63274,Jin,Nothing Without Your Love
26,+2,Hearts2Hearts - The Chase,84,6,,21492,1631.0,146752,751,2322781,Hearts2Hearts,The Chase
27,-2,Lim Young Woong - Grain of Sand,714,7,,21328,391.0,149005,639,14845110,Lim Young Woong,Grain of Sand
28,-7,Jung Kook - Standing Next to You,562,3,(x2),20786,-2077.0,149755,550,18668456,Jung Kook,Standing Next to You
29,+3,Jin - With the Clouds,3,29,,20735,1032.0,60445,20735,60445,Jin,With the Clouds
30,=,Jin - Loser (w/ YENA),3,29,,20611,817.0,61093,20611,61093,Jin,Loser (w/ YENA)
31,+3,Jin - Rope It,3,31,,20222,951.0,59238,20222,59238,Jin,Rope It
32,-3,Lim Young Woong - Home,378,12,,20205,406.0,140363,502,6980903,Lim Young Woong,Home
33,-2,Lim Young Woong - Warmth,378,11,,20178,472.0,140010,520,7031245,Lim Young Woong,Warmth
34,-1,Lim Young Woong - London Boy,915,5,,20138,498.0,140358,665,16328325,Lim Young Woong,London Boy
35,+4,Jin - Background,3,35,,19694,881.0,57661,19694,57661,Jin,Background
36,+1,Lim Young Woong - Do or Die,588,6,,19330,349.0,134752,443,13002431,Lim Young Woong,Do or Die
37,+5,"Jin - To Me, Today",3,37,,19168,837.0,56162,19168,56162,Jin,"To Me, Today"
38,-3,KATSEYE - Gnarly,18,16,,19008,-94.0,150484,-2449,344353,KATSEYE,Gnarly
39,+1,yung kai - blue,148,21,,18636,99.0,119843,199,2414919,yung kai,blue
40,-4,ROSÉ - Messy (From F1® The Movie) (w/ F1 The Album),10,16,,18372,-706.0,153336,-5326,218103,ROSÉ,Messy (From F1® The Movie) (w/ F1 The Album)
41,=,Jimin - Interlude : Showtime,304,8,,18235,-227.0,126899,-1752,6850526,Jimin,Interlude : Showtime
42,+2,aespa - Supernova,371,1,(x7),17656,792.0,118601,-369,9794658,aespa,Supernova
43,-5,G-DRAGON - CROOKED,200,21,,17613,-1231.0,116664,1391,3631585,G-DRAGON,CROOKED
44,+2,ROSÉ - toxic till the end,165,2,(x15),17194,440.0,119990,-981,5091865,ROSÉ,toxic till the end
45,-2,ILLIT - Magnetic,420,1,(x11),17188,-163.0,111910,103,11711301,ILLIT,Magnetic
46,-1,DAY6 - HAPPY,283,4,,17171,324.0,116711,-1280,6216041,DAY6,HAPPY
47,+4,"Car, the garden - Closely Far Away",253,30,,17155,1135.0,104628,1866,2982342,"Car, the garden",Closely Far Away
48,=,Lim Young Woong - Polaroid,915,10,,16821,132.0,115849,1006,14107317,Lim Young Woong,Polaroid
49,-2,ROSÉ - APT. (w/ Bruno Mars),213,2,(x34),16634,-89.0,111253,348,9702080,ROSÉ,APT. (w/ Bruno Mars)
50,=,PLAVE - Dash,105,18,,16250,83.0,119258,-883,1988164,PLAVE,Dash
51,-2,"G-DRAGON - Untitled, 2014 - KR Ver.",218,21,,15972,-215.0,104445,-156,3440595,G-DRAGON,"Untitled, 2014 - KR Ver."
52,+2,fromis_9 - Supersonic,280,10,,15880,482.0,105973,-633,5233472,fromis_9,Supersonic
53,=,Lim Young Woong - If We Ever Meet Again,1113,3,(x3),15810,169.0,108532,1039,14838257,Lim Young Woong,If We Ever Meet Again
54,-2,데이먼스 이어 Damons year - yours,934,33,,15765,39.0,104355,1431,5796740,데이먼스 이어 Damons year,yours
55,=,d4vd - Here With Me,849,30,,15381,373.0,97825,-529,6285705,d4vd,Here With Me
56,+13,DAY6 - Time of Our Life -Japanese ver.- - Japanese ver.,892,25,,14681,2078.0,92117,1362,7773900,DAY6,Time of Our Life -Japanese ver.- - Japanese ver.
