Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Abor & Tynna - Baller,10,1,(x2),59073,28521.0,142408,56789,149467,Abor & Tynna,Baller
2,=,Katarsis - Tavo akys,108,1,(x16),28860,1267.0,138863,25084,759100,Katarsis,Tavo akys
3,+4,Lucio Corsi - Volevo essere un duro,5,3,(x1),27140,15210.0,67251,27140,67251,Lucio Corsi,Volevo essere un duro
4,+4,JJ - Wasted Love,7,4,,26098,16047.0,58013,26098,58013,JJ,Wasted Love
5,-2,KAJ - Bara Bada Bastu,19,3,(x4),20648,4996.0,81850,18372,108975,KAJ,Bara Bada Bastu
6,-2,Tommy Cash - Espresso Macchiato,68,4,,19860,4902.0,73431,17354,240089,Tommy Cash,Espresso Macchiato
7,-1,Kyle Alessandro - Lighter,7,6,,17737,5244.0,64322,17737,64322,Kyle Alessandro,Lighter
8,+7,Tautumeitas - Bur man laimi,5,8,,15747,7728.0,37308,15747,37308,Tautumeitas,Bur man laimi
9,+4,NAPA - Deslocado,5,9,,14743,5749.0,45483,14743,45483,NAPA,Deslocado
10,+2,Claude - C'est La Vie,7,10,,12513,3313.0,52486,12513,52486,Claude,C'est La Vie
11,+27,Abor & Tynna - Baller - nowifi Remix (w/ nowifi),3,11,,11686,6579.0,21405,11686,21405,Abor & Tynna,Baller - nowifi Remix (w/ nowifi)
12,-3,Katarsis - Vasarą galvoj minoras,845,2,(x1),11280,1269.0,54473,8327,2170608,Katarsis,Vasarą galvoj minoras
13,+4,Ziferblat - Bird of Pray - Eurovision 2025,5,13,,11262,3434.0,37581,11262,37581,Ziferblat,Bird of Pray - Eurovision 2025
14,+15,Zoë Më - Voyage,5,14,,11172,5084.0,31630,11172,31630,Zoë Më,Voyage
15,-4,Katarsis - Balta Meilė,5,9,,10936,1166.0,46859,10936,46859,Katarsis,Balta Meilė
16,+6,Erika Vikman - ICH KOMME,5,16,,10655,3895.0,29846,10655,29846,Erika Vikman,ICH KOMME
17,-12,Jessica Shy - Vis Vien,59,1,(x51),9431,-3974.0,88811,-2953,1028406,Jessica Shy,Vis Vien
18,-8,Solo Ansamblis - Meilės Mašina,94,1,(x3),8271,-1518.0,70220,-716,945517,Solo Ansamblis,Meilės Mašina
19,+26,Shkodra Elektronike - Zjerm,5,19,,8003,3374.0,23872,8003,23872,Shkodra Elektronike,Zjerm
20,+53,Yuval Raphael - New Day Will Rise,3,20,,7962,4546.0,14993,7962,14993,Yuval Raphael,New Day Will Rise
21,+13,Katarsis - Praradau tave,13,21,,7728,2274.0,26871,7728,44816,Katarsis,Praradau tave
22,-8,Free Finga - Vienas,422,1,(x29),7662,-1209.0,63687,-616,3370449,Free Finga,Vienas
23,+4,VÆB - RÓA,5,23,,7495,1077.0,27122,7495,27122,VÆB,RÓA
24,-3,sombr - back to friends,78,5,,6834,3.0,55512,-590,434997,sombr,back to friends
25,+22,Louane - maman,4,25,,6808,2327.0,17613,6808,17613,Louane,maman
26,+4,Go-Jo - Milkshake Man,6,25,,6716,686.0,29123,6716,29123,Go-Jo,Milkshake Man
27,-8,bielskis - MILIJONAS NAKTŲ (w/ Tautvydas Burauskas),24,3,(x2),6681,-948.0,63149,-1600,151558,bielskis,MILIJONAS NAKTŲ (w/ Tautvydas Burauskas)
28,+65,Klavdia - Asteromata,3,28,,6415,3487.0,12370,6415,12370,Klavdia,Asteromata
29,-1,Gabry Ponte - Tutta L'Italia - Sanremo 2025,5,28,,6292,133.0,27314,6292,27314,Gabry Ponte,Tutta L'Italia - Sanremo 2025
30,-14,Jessica Shy - Tarp Geltonų Rūtų,353,2,(x23),6283,-1594.0,48834,-325,2969379,Jessica Shy,Tarp Geltonų Rūtų
31,-5,Ravyn Lenae - Love Me Not,88,5,,6025,-503.0,51574,-1001,487810,Ravyn Lenae,Love Me Not
32,-1,sombr - undressed,58,10,,5838,-106.0,50007,-497,274880,sombr,undressed
