Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"ZAKLOOW - Amnésie (w/ Tagne, Shaw)",24,1,(x21),34927,-1286.0,256274,-1459,832924,ZAKLOOW,"Amnésie (w/ Tagne, Shaw)"
2,=,Hamza - KYKY2BONDY,17,2,(x4),28989,-1910.0,179907,13277,275902,Hamza,KYKY2BONDY
3,=,ElGrandeToto - BOUHALI,172,1,(x74),25817,-1190.0,179882,-885,7294685,ElGrandeToto,BOUHALI
4,=,ElGrandeToto - DIPLOMATICO,209,1,(x32),25220,-128.0,167135,552,9365407,ElGrandeToto,DIPLOMATICO
5,=,Shaw - WALLAHI,129,3,(x2),23258,-1351.0,164843,-320,1370524,Shaw,WALLAHI
6,+3,Mounim Slimani - Jedi ou Jedek,95,2,(x1),22901,1071.0,140236,88,1956394,Mounim Slimani,Jedi ou Jedek
7,-1,Stormy - PIRATE,129,1,(x26),22208,-1413.0,155094,-14,4194546,Stormy,PIRATE
8,-1,ElGrandeToto - BLUE LOVE,521,1,(x45),21844,-1017.0,144437,2024,14908139,ElGrandeToto,BLUE LOVE
9,-1,ElGrandeToto - STALINE,234,1,(x13),21367,-1284.0,152822,-247,7476034,ElGrandeToto,STALINE
10,+1,Figoshin - Lalla w Mali,283,1,(x4),20625,135.0,131471,2757,7253315,Figoshin,Lalla w Mali
11,-1,Vacra - Totopika (w/ ElGrandeToto),94,2,(x9),20610,-863.0,149940,-1976,1993937,Vacra,Totopika (w/ ElGrandeToto)
12,=,Benny Adam - Mok ya mok (w/ Khadija El Warzazia),51,1,(x17),19200,-1261.0,134699,-4301,1308417,Benny Adam,Mok ya mok (w/ Khadija El Warzazia)
13,+2,Stormy - Mizane (w/ Inkonnu),1450,4,,19019,-347.0,129297,1280,8527395,Stormy,Mizane (w/ Inkonnu)
14,-1,"Baby Gang - Rassi (w/ ElGrandeToto, Chahid)",45,1,(x4),18658,-1386.0,141155,-1880,1179389,Baby Gang,"Rassi (w/ ElGrandeToto, Chahid)"
15,+1,Draganov - 3DABI,669,1,(x80),18126,218.0,114806,1903,16106457,Draganov,3DABI
16,-2,La Fouine - Désert (w/ ElGrandeToto),178,3,(x1),18100,-1540.0,126380,424,5090222,La Fouine,Désert (w/ ElGrandeToto)
17,+1,Tawsen - Dawini (w/ Ayoub Anbaoui),339,1,(x17),17184,244.0,105233,1703,7987416,Tawsen,Dawini (w/ Ayoub Anbaoui)
18,+1,Stormy - MOON,460,11,,16865,718.0,110473,852,3906152,Stormy,MOON
19,-2,DYSTINCT - RS6 (w/ Morad),10,17,,16155,-1671.0,95484,5487,128413,DYSTINCT,RS6 (w/ Morad)
20,+2,Werenoi - Poney,38,17,,15764,932.0,69961,7548,427929,Werenoi,Poney
21,-1,"Shaw - BABOUR LOU7 (w/ Hassa1, NAYRA)",59,14,,15473,-633.0,110475,-1159,703516,Shaw,"BABOUR LOU7 (w/ Hassa1, NAYRA)"
22,-1,GIMS - NINAO,84,2,(x8),14498,-436.0,94749,-569,1439940,GIMS,NINAO
23,+1,Lazaro - Mahboul Ana,302,1,(x64),14000,-25.0,83341,89,8116730,Lazaro,Mahboul Ana
24,+8,Werenoi - Chemin d'or,164,24,,13308,1634.0,29062,13308,583345,Werenoi,Chemin d'or
25,=,ElGrandeToto - RAZONES (w/ Morad),543,4,,12670,-1067.0,94748,-1001,7774026,ElGrandeToto,RAZONES (w/ Morad)
26,+4,Valerieblud - Doberwoman (w/ Furelise),95,14,,12295,338.0,84070,92,1113113,Valerieblud,Doberwoman (w/ Furelise)
27,-4,Dizzy DROS - Yasuke,18,2,(x1),12205,-2352.0,100068,-799,327449,Dizzy DROS,Yasuke
28,+24,V - Winter Ahead (w/ Park Hyo Shin),171,1,(x15),12131,2725.0,87144,-4770,5279963,V,Winter Ahead (w/ Park Hyo Shin)
29,-2,1D1R - Balade (w/ Vacra),29,24,,12058,-747.0,87121,67,299594,1D1R,Balade (w/ Vacra)
30,-4,Jul - Mimi,18,26,,11856,-1108.0,81238,1051,173212,Jul,Mimi
31,-3,Draganov - A9RASS,24,2,(x1),11541,-1126.0,91968,-1379,418877,Draganov,A9RASS
32,+1,STOOR - Melina (w/ LFERDA),2,32,,11462,9.0,22915,11462,22915,STOOR,Melina (w/ LFERDA)
33,-4,Shaw - FACE TO FACE,77,24,,11438,-889.0,81985,329,557539,Shaw,FACE TO FACE
34,=,LFERDA - Ma Jolie,766,7,,11352,-89.0,71792,289,5114992,LFERDA,Ma Jolie
35,=,Anys - Si tu savais (w/ Stormy),1710,1,(x1),11075,-156.0,74815,-392,9639744,Anys,Si tu savais (w/ Stormy)
36,+2,Niro - Qui sait ? (w/ ElGrandeToto),829,1,(x49),10933,131.0,71622,944,12656040,Niro,Qui sait ? (w/ ElGrandeToto)
37,+2,Inkonnu - 7ali Ya 7ali,1345,1,(x7),10924,231.0,72322,82,8195351,Inkonnu,7ali Ya 7ali
38,-7,Cheb Momo - Atiteha l'amour عطيتها,50,31,,10878,-903.0,70653,203,385545,Cheb Momo,Atiteha l'amour عطيتها
39,-2,Stormy - POPO,474,1,(x77),10762,-131.0,69134,681,11543659,Stormy,POPO
40,-4,"Delarue - Obligación (w/ Morad, ElGrandeToto)",346,1,(x3),10662,-566.0,76668,-21,7053282,Delarue,"Obligación (w/ Morad, ElGrandeToto)"
41,=,Stormy - MARADONA,466,2,(x34),9961,-356.0,67364,459,8389186,Stormy,MARADONA
42,-2,DYSTINCT - YA BABA (w/ French Montana),31,22,,9799,-839.0,73682,-1646,367700,DYSTINCT,YA BABA (w/ French Montana)
43,-1,Morad - Ojos Sin Ver (w/ ElGrandeToto),739,1,(x25),9794,-414.0,69026,120,7893344,Morad,Ojos Sin Ver (w/ ElGrandeToto)
44,-1,Stormy - TWINS,130,10,,9720,-340.0,69702,-415,1419597,Stormy,TWINS
45,-1,Figoshin - 3oud Ned,278,19,,9592,-257.0,67937,-1049,2719140,Figoshin,3oud Ned
46,-1,Stormy - SO HIGH,465,10,,9287,-321.0,64863,-234,3672153,Stormy,SO HIGH
47,+6,Douaa Lahyaoui - Badadi,303,3,(x18),9207,46.0,56444,423,4881856,Douaa Lahyaoui,Badadi
48,+3,Lazaro - Allo Doctor,31,48,,9200,-216.0,56087,1268,237818,Lazaro,Allo Doctor
49,+1,ElGrandeToto - COLTELLINO (w/ Baby Gang),200,2,(x6),9103,-338.0,63628,341,3667736,ElGrandeToto,COLTELLINO (w/ Baby Gang)
50,-3,LFERDA - San Siro,389,2,(x1),9101,-400.0,59850,348,4833019,LFERDA,San Siro
51,-2,ElGrandeToto - DELLALI (w/ Hamza),558,1,(x33),9079,-409.0,62001,308,12107757,ElGrandeToto,DELLALI (w/ Hamza)
52,-6,Werenoi - Piano (w/ GIMS),17,44,,9032,-500.0,54778,2277,127968,Werenoi,Piano (w/ GIMS)
53,+5,Duke - Ghali (w/ Kawtar),184,16,,8733,204.0,53711,786,2243373,Duke,Ghali (w/ Kawtar)
54,-6,KALIL - TABOUT,183,20,,8691,-802.0,58760,173,2002984,KALIL,TABOUT
55,+2,Jul - Sous la lune,202,13,,8690,-9.0,54093,1576,1918237,Jul,Sous la lune
56,+13,Nouamane Belaiachi - Bla Bla,331,6,,8550,582.0,48133,1128,4221371,Nouamane Belaiachi,Bla Bla
57,+7,Abdou Gambetta - Hala Rani Fiha (w/ Raouf Samourai),100,43,,8543,159.0,54429,-603,592834,Abdou Gambetta,Hala Rani Fiha (w/ Raouf Samourai)
58,+15,Billie Eilish - WILDFLOWER,294,28,,8268,385.0,53877,432,2148489,Billie Eilish,WILDFLOWER
59,-5,ElGrandeToto - BGHAWNI,543,2,(x1),8250,-854.0,57738,181,7727294,ElGrandeToto,BGHAWNI
60,+14,Inkonnu - Zahri,1562,1,(x2),8240,531.0,54019,89,8452740,Inkonnu,Zahri
61,-6,ElGrandeToto - HACHICH/TOSEINA,172,2,(x1),8156,-696.0,59727,262,3231238,ElGrandeToto,HACHICH/TOSEINA
62,+10,Duke - Walidia,29,44,,8147,242.0,54349,-1047,234027,Duke,Walidia
63,-7,GIMS - SPIDER (w/ DYSTINCT),374,1,(x1),8088,-684.0,49768,796,5255960,GIMS,SPIDER (w/ DYSTINCT)
64,+3,ElGrandeToto - Mghayer,1592,1,(x53),7946,-43.0,55175,1028,13975862,ElGrandeToto,Mghayer
65,-6,Lbenj - HWASI,404,1,(x49),7895,-584.0,57308,-2967,8062046,Lbenj,HWASI
66,=,HMZ - Maradona (w/ ElGrandeToto),3,23,,7730,-438.0,29015,7730,29015,HMZ,Maradona (w/ ElGrandeToto)
67,-7,Pause - L’Bayda Mon Amour,186,2,(x1),7684,-787.0,54442,852,3897041,Pause,L’Bayda Mon Amour
68,-7,Asma Nour - Batmana Ansak بتمنى أنساك,85,47,,7653,-777.0,59481,-1030,419804,Asma Nour,Batmana Ansak بتمنى أنساك
69,-7,Don Miguelo - Y Que Fue?,43,59,,7617,-810.0,48752,1801,195200,Don Miguelo,Y Que Fue?
70,+13,Shaw - 6AM,173,57,,7560,383.0,49670,198,941900,Shaw,6AM
71,+4,ElGrandeToto - MAGHRIBI,543,1,(x6),7536,-1.0,49871,734,9876623,ElGrandeToto,MAGHRIBI
72,+8,Snor - Dawk Lya,1110,2,(x27),7522,189.0,50759,-342,16700972,Snor,Dawk Lya
73,-8,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",298,27,,7460,-916.0,53104,-394,2277891,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
74,-4,Stormy - KA3I,130,5,,7451,-506.0,52853,1152,1826585,Stormy,KA3I
75,-12,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",346,4,,7355,-1072.0,50394,11,4620984,Adam Port,"Move (w/ Stryv, Keinemusik, Orso, Malachiii)"
76,-5,Demi Portion - Casablanca (w/ ElGrandeToto),700,2,(x5),7352,-603.0,53268,-430,5129655,Demi Portion,Casablanca (w/ ElGrandeToto)
77,+5,Draganov - WILI,827,1,(x12),7262,27.0,47956,406,9579684,Draganov,WILI
78,-2,Billie Eilish - BIRDS OF A FEATHER,367,43,,7246,-167.0,48723,188,2639530,Billie Eilish,BIRDS OF A FEATHER
79,+2,Pause - 112,186,1,(x5),7188,-84.0,48581,606,3618656,Pause,112
80,+11,Raste - Ah Bon (w/ Furelise),1035,29,,7128,352.0,45498,743,3806059,Raste,Ah Bon (w/ Furelise)
81,+11,Cheb Hichem TGV - Nti T9alchi وانا نخلص كلشي,141,64,,7092,325.0,42461,1120,716516,Cheb Hichem TGV,Nti T9alchi وانا نخلص كلشي
82,-14,"Werenoi - Triple V (w/ Damso, Ninho)",37,18,,7041,-932.0,37209,2879,289137,Werenoi,"Triple V (w/ Damso, Ninho)"
83,+12,Werenoi - Pétunias,3,83,,7021,361.0,13681,7021,16531,Werenoi,Pétunias
84,+46,Jimin - Who,277,1,(x15),6915,1272.0,12558,6915,5707232,Jimin,Who
85,-6,Lbenj - RWINI (w/ Mounim Slimani),17,73,,6899,-448.0,42485,2633,89521,Lbenj,RWINI (w/ Mounim Slimani)
86,-2,Manal - MAHBOULA,360,2,(x1),6837,-186.0,42795,311,4524283,Manal,MAHBOULA
87,-2,ElGrandeToto - Comforter (w/ Ayra Starr),964,2,(x9),6806,-193.0,44159,597,8173879,ElGrandeToto,Comforter (w/ Ayra Starr)
88,=,Josas - Pichichi,46,65,,6653,-211.0,46363,114,277547,Josas,Pichichi
89,-2,ElGrandeToto - Corazon (w/ Joé Dwèt Filé),440,4,,6513,-392.0,42539,284,5507732,ElGrandeToto,Corazon (w/ Joé Dwèt Filé)
90,-1,WizTheMc - Show Me Love (w/ bees & honey),70,56,,6512,-281.0,45275,-551,425305,WizTheMc,Show Me Love (w/ bees & honey)
91,+20,Tchubi - OFF MY MIND REWORK (ALIVE SESSION) (w/ Lina Guessoussi),107,14,,6501,390.0,43731,-166,900533,Tchubi,OFF MY MIND REWORK (ALIVE SESSION) (w/ Lina Guessoussi)
92,-14,L'morphine - Sucré Salé,1247,2,(x1),6455,-904.0,45542,-800,7033846,L'morphine,Sucré Salé
93,+74,V - Love Me Again,599,2,(x1),6422,1442.0,49322,-3177,8632718,V,Love Me Again
94,+24,Mocci - Matghletech,332,18,,6385,503.0,37788,-48,2955448,Mocci,Matghletech
95,+7,Shaw - PETASSA LA VIE (w/ Kira7),33,86,,6376,-106.0,43291,228,174645,Shaw,PETASSA LA VIE (w/ Kira7)
96,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),270,14,,6345,-285.0,42305,-47,2929810,Lady Gaga,Die With A Smile (w/ Bruno Mars)
97,-11,ElGrandeToto - Santa Fe,1291,8,,6286,-631.0,45745,309,5962981,ElGrandeToto,Santa Fe
98,+1,Omar Montes - Zendaya (w/ Zouhair Bahaoui),43,22,,6248,-335.0,42314,-975,354301,Omar Montes,Zendaya (w/ Zouhair Bahaoui)
99,+17,ElGrandeToto - FERNANDEL (w/ Oli),172,8,,6130,128.0,41320,445,2137852,ElGrandeToto,FERNANDEL (w/ Oli)
100,+12,GIMS - SOIS PAS TIMIDE,304,6,,6130,25.0,38179,406,3182741,GIMS,SOIS PAS TIMIDE
101,+7,7liwa - Douwi Douwi,350,1,(x19),6097,-95.0,42012,206,5077131,7liwa,Douwi Douwi
102,+17,Chella - My Darling,10,102,,6096,244.0,37467,1477,51328,Chella,My Darling
103,-26,Stormy - Badi 7efyan,568,2,(x2),6093,-1286.0,43226,-879,4178308,Stormy,Badi 7efyan
104,-10,Bo9al - Gharam,93,23,,6074,-604.0,45571,83,708300,Bo9al,Gharam
105,+10,Hind Ziadi - Boom Boom,292,22,,6067,19.0,37563,-579,2303016,Hind Ziadi,Boom Boom
106,-9,Fetah - Go,92,4,,6063,-539.0,52000,-1919,909652,Fetah,Go
107,+42,Cheba Warda - انا بغيت لعروبي درته صاحبي,80,51,,6051,758.0,35139,-105,410121,Cheba Warda,انا بغيت لعروبي درته صاحبي
108,-10,Shaw - AKHI,42,94,,5999,-592.0,41370,-77,225556,Shaw,AKHI
109,-2,7-Toun - Lmouje,366,24,,5994,-247.0,35425,-9,2893533,7-Toun,Lmouje
110,+18,Werenoi - Laboratoire,46,110,,5977,292.0,11662,5977,148924,Werenoi,Laboratoire
111,-6,Maes - MAGIE,67,104,,5967,-453.0,36593,1566,293678,Maes,MAGIE
112,-22,Stormy - Docteur - Spotify Singles (w/ Kartman),247,10,,5947,-840.0,44565,509,1655406,Stormy,Docteur - Spotify Singles (w/ Kartman)
113,+11,Raste - Still Alive,748,6,,5928,205.0,37524,1223,7205401,Raste,Still Alive
114,-21,L'morphine - We9tna,325,1,(x9),5921,-800.0,44749,-629,4501316,L'morphine,We9tna
115,-9,Furelise - Paprika,114,18,,5901,-490.0,38777,304,742258,Furelise,Paprika
116,+4,Bilel Tacchini - شوفو لامور مادار فيا,513,11,,5870,50.0,36503,-119,6471841,Bilel Tacchini,شوفو لامور مادار فيا
117,-17,"Stormy - Médaille d'or (w/ Tagne, Smallx)",1103,2,(x2),5856,-714.0,35790,622,4672121,Stormy,"Médaille d'or (w/ Tagne, Smallx)"
118,+16,Duke - Mimti,505,7,,5755,187.0,36928,-535,5792314,Duke,Mimti
