Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Fuerza Regida - Marlboro Rojo,17,1,(x5),1687051,-302086.0,11711452,549707,18470342,Fuerza Regida,Marlboro Rojo
2,+1,Neton Vega - Morena (w/ Peso Pluma),94,1,(x35),1330093,-84935.0,10135599,-5321,137290284,Neton Vega,Morena (w/ Peso Pluma)
3,-1,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),49,1,(x3),1266731,-260086.0,10035418,-20162,59840978,Los Dareyes De La Sierra,Vita Fer (w/ Tito Double P)
4,=,Esau Ortiz - Triple Lavada,48,3,(x4),1119794,-214670.0,8445023,2346,54511912,Esau Ortiz,Triple Lavada
5,+2,Fuerza Regida - TU SANCHO,17,5,,1107710,-95477.0,6712746,536182,11007852,Fuerza Regida,TU SANCHO
6,-1,Oscar Maydon - Amigos? No. (w/ Neton Vega),73,5,,1084856,-148934.0,7759515,124918,76868649,Oscar Maydon,Amigos? No. (w/ Neton Vega)
7,+1,Tito Double P - TATTOO,80,1,(x19),1061216,-106096.0,7408835,101822,112405619,Tito Double P,TATTOO
8,-2,Clave Especial - COMO CAPO (w/ Fuerza Regida),86,4,,948202,-281030.0,8176027,-174339,81145363,Clave Especial,COMO CAPO (w/ Fuerza Regida)
9,=,Fuerza Regida - Por Esos Ojos,96,1,(x1),931648,-198689.0,8645593,-244628,126309499,Fuerza Regida,Por Esos Ojos
10,+3,Fuerza Regida - ANSIEDAD,17,10,,901340,-114303.0,6270860,262144,10952468,Fuerza Regida,ANSIEDAD
11,+1,Neton Vega - M&M,94,3,(x2),900351,-128508.0,6850815,-71337,106594924,Neton Vega,M&M
12,-2,Clave Especial - TU TU TU (w/ Edgardo Nuñez),60,4,,884687,-227649.0,8257017,-224757,51398733,Clave Especial,TU TU TU (w/ Edgardo Nuñez)
13,+2,Alemán - Te Quería Ver (w/ Neton Vega),108,1,(x23),880801,-105900.0,6940928,23549,167179281,Alemán,Te Quería Ver (w/ Neton Vega)
14,+2,Neton Vega - Chiquita (w/ Tito Double P),94,13,,861813,-101475.0,6078988,100595,68465315,Neton Vega,Chiquita (w/ Tito Double P)
15,-4,"Chuyin - Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)",135,5,,841265,-188844.0,6848726,-138725,132640199,Chuyin,"Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)"
16,-2,Gabito Ballesteros - 7 Dias (w/ Tito Double P),108,1,(x8),828254,-177958.0,6220487,66255,158542533,Gabito Ballesteros,7 Dias (w/ Tito Double P)
17,=,Neton Vega - Loco,148,1,(x14),794926,-106201.0,5996821,8548,209748078,Neton Vega,Loco
18,+2,Ian Cordova - Linda Mujer,14,18,,730561,-87030.0,4837141,322495,6996716,Ian Cordova,Linda Mujer
19,+2,Marcos Villalobos - La Pantera (w/ Alan Arrieta),37,19,,699127,-78361.0,5110764,95165,16398842,Marcos Villalobos,La Pantera (w/ Alan Arrieta)
20,+18,Tito Double P - CHAMPAGNE,3,20,,694825,56806.0,1974105,694825,1974105,Tito Double P,CHAMPAGNE
21,-2,Fuerza Regida - ME JALO (w/ Grupo Frontera),150,5,,694180,-157983.0,5478003,-100767,162354537,Fuerza Regida,ME JALO (w/ Grupo Frontera)
22,-4,Fuerza Regida - COQUETA (w/ Grupo Frontera),150,11,,681947,-205521.0,5377279,-78064,80609152,Fuerza Regida,COQUETA (w/ Grupo Frontera)
23,+6,Tito Double P - DOS DÍAS (w/ Peso Pluma),269,2,(x13),663435,-65582.0,4628103,43582,340000430,Tito Double P,DOS DÍAS (w/ Peso Pluma)
24,+1,Tito Double P - ROSONES,164,1,(x28),651283,-103841.0,4588412,69641,228703649,Tito Double P,ROSONES
25,+1,Calle 24 - SUIZA,21,17,,638869,-111478.0,5090386,-20725,11824209,Calle 24,SUIZA
26,+5,Grupo Marca Registrada - El Mayor de los Ranas (En Vivo) (w/ Victor Valverde),78,16,,638702,-75239.0,4599536,-40344,50717229,Grupo Marca Registrada,El Mayor de los Ranas (En Vivo) (w/ Victor Valverde)
27,-3,Bad Bunny - BAILE INoLVIDABLE,134,4,,638215,-124053.0,5202568,45860,124280483,Bad Bunny,BAILE INoLVIDABLE
28,-5,Bad Bunny - DtMF,134,1,(x22),636097,-128108.0,5270044,39766,166348675,Bad Bunny,DtMF
29,-1,Oscar Maydon - Tu Boda (w/ Fuerza Regida),234,1,(x59),635006,-100518.0,4643837,36465,367275166,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
30,-8,Tito Double P - NADIE,178,2,(x19),634259,-142225.0,4654440,49674,229697260,Tito Double P,NADIE
31,-4,Gabito Ballesteros - CLEOPATRA,17,18,,630264,-106708.0,5168743,-36381,11110327,Gabito Ballesteros,CLEOPATRA
32,-2,Peso Pluma - HOLLYWOOD (w/ Estevan Plazola),332,14,,620534,-95185.0,4526351,27296,207462630,Peso Pluma,HOLLYWOOD (w/ Estevan Plazola)
33,+3,Eden Muñoz - Lejos Estamos Mejor,10,33,,608990,-50093.0,3774279,249430,5125221,Eden Muñoz,Lejos Estamos Mejor
