Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Fourtwnty - Mangu (w/ Charita Utami),31,1,(x8),159152,545.0,1031080,65011,1858875,Fourtwnty,Mangu (w/ Charita Utami)
2,+1,yung kai - blue,200,1,(x1),84137,4554.0,524355,9337,17578978,yung kai,blue
3,-1,JENNIE - like JENNIE,74,1,(x54),83877,-4840.0,620455,-4557,7804449,JENNIE,like JENNIE
4,+1,Billie Eilish - BIRDS OF A FEATHER,367,1,(x60),69884,-3075.0,500465,-6200,37588481,Billie Eilish,BIRDS OF A FEATHER
5,-1,"Tenxi - Garam & Madu (Sakit Dadaku) (w/ Jemsii, Naykilla)",136,1,(x51),69504,-4141.0,481669,-7938,14827168,Tenxi,"Garam & Madu (Sakit Dadaku) (w/ Jemsii, Naykilla)"
6,=,Nadeera - Bukan Lagi Kita,118,1,(x3),67331,-1729.0,511318,-16535,8687198,Nadeera,Bukan Lagi Kita
7,+1,Billie Eilish - WILDFLOWER,367,4,,66650,698.0,456618,1439,22471501,Billie Eilish,WILDFLOWER
8,-1,NIKI - You'll Be in My Heart - Spotify Singles,62,6,,63328,-3113.0,449894,7221,2678255,NIKI,You'll Be in My Heart - Spotify Singles
9,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,1,(x91),62477,-1696.0,428306,-386,39140714,Lady Gaga,Die With A Smile (w/ Bruno Mars)
10,+2,sombr - back to friends,55,10,,61869,3237.0,387533,12844,1963857,sombr,back to friends
11,=,Nadhif Basalamah - bergema sampai selamanya,78,11,,61736,2868.0,396511,8838,3254401,Nadhif Basalamah,bergema sampai selamanya
12,-2,MikkyZia - Aku Dah Lupa (w/ F4dli),68,3,(x4),60719,-1662.0,408229,-23,4665169,MikkyZia,Aku Dah Lupa (w/ F4dli)
13,+2,Yovie Widianto - Tanpa Cinta (w/ Tiara Andini),18,12,,53110,-80.0,369174,7947,731734,Yovie Widianto,Tanpa Cinta (w/ Tiara Andini)
14,+2,Imran Ajmain - Seribu Tahun Lagi,73,12,,52796,-346.0,375183,-339,3028895,Imran Ajmain,Seribu Tahun Lagi
15,-2,Ara Johari - Menjaga Jodoh Orang Lain,134,5,,52523,-3378.0,407836,-12836,8830955,Ara Johari,Menjaga Jodoh Orang Lain
16,-2,ROSÉ - Messy (From F1® The Movie) (w/ F1 The Album),10,6,,50560,-4797.0,400376,-3528,558620,ROSÉ,Messy (From F1® The Movie) (w/ F1 The Album)
17,=,The Lantis - Bunga Maaf,169,4,,47655,-4960.0,317048,3803,11999848,The Lantis,Bunga Maaf
18,+1,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",696,1,(x9),47386,-657.0,331740,-2002,38558069,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
19,-1,Kendrick Lamar - luther,177,1,(x2),46976,-2862.0,339781,-2150,12486422,Kendrick Lamar,luther
20,=,Insomniacks - Reminisensi,379,3,(x9),43351,-1598.0,309752,-5047,15405203,Insomniacks,Reminisensi
21,+1,NAKI - Masa (w/ Fahimi),117,10,,41157,-1526.0,290061,-1095,5367963,NAKI,Masa (w/ Fahimi)
22,-1,Jin - Don’t Say You Love Me,3,14,,40646,-3359.0,138274,40646,138274,Jin,Don’t Say You Love Me
23,=,Faris Adam - Stecu Stecu,35,21,,39945,-1727.0,280350,-2488,1208847,Faris Adam,Stecu Stecu
24,=,ROSÉ - APT. (w/ Bruno Mars),213,1,(x54),39016,-2313.0,271276,-3542,24966981,ROSÉ,APT. (w/ Bruno Mars)
25,+2,d4vd - Here With Me,957,2,(x11),38660,-371.0,254783,-3771,34815097,d4vd,Here With Me
26,-1,KATSEYE - Gnarly,17,18,,38383,-2674.0,282774,227,615717,KATSEYE,Gnarly
27,+1,Ariana Grande - supernatural,53,19,,38324,-632.0,265406,3758,1273754,Ariana Grande,supernatural
28,-2,LBI利比 - 跳楼机,104,6,,37035,-3168.0,276247,-2923,5643290,LBI利比,跳楼机
29,+1,Noh Salleh - Rahsia Tuhan,224,5,,36394,-1457.0,266608,-7529,13014821,Noh Salleh,Rahsia Tuhan
30,+2,Gracie Abrams - That’s So True,208,5,,36340,193.0,251751,-2753,11718899,Gracie Abrams,That’s So True
31,-2,The Marías - No One Noticed,204,23,,35806,-2429.0,247115,912,5924410,The Marías,No One Noticed
32,+2,Insomniacks - Sempurna,969,5,,35678,-323.0,239327,-1839,24678136,Insomniacks,Sempurna
33,-2,Raim Laode - Komang,680,11,,35175,-1519.0,239369,-1306,17716833,Raim Laode,Komang
34,+1,Ariana Grande - we can't be friends (wait for your love),437,1,(x32),35136,-649.0,251276,-3620,30160517,Ariana Grande,we can't be friends (wait for your love)
35,+6,Fourtwnty - Hitam Putih,13,35,,34561,2543.0,223133,9776,340393,Fourtwnty,Hitam Putih
36,+3,One Direction - Night Changes,2181,4,,34097,1067.0,229882,-2658,41358202,One Direction,Night Changes
37,=,Raim Laode - Lesung Pipi,38,28,,33631,-472.0,246507,176,1008899,Raim Laode,Lesung Pipi
38,+14,Hyper Act - Hanya Aku,555,9,,33584,4596.0,196989,2101,14669356,Hyper Act,Hanya Aku
39,-6,Anggi Marito - Tak Segampang Itu,796,1,(x50),33072,-2988.0,234889,-5018,41735575,Anggi Marito,Tak Segampang Itu
40,+15,"Naykilla - Kasih Aba Aba (w/ Tenxi, Jemsii)",5,40,,32434,4795.0,119349,32434,119349,Naykilla,"Kasih Aba Aba (w/ Tenxi, Jemsii)"
41,+1,Feby Putri - Runtuh (w/ Fiersa Besari),1197,28,,31404,-451.0,213977,-479,24477624,Feby Putri,Runtuh (w/ Fiersa Besari)
42,+9,Nadhif Basalamah - penjaga hati,584,1,(x96),31121,2056.0,191527,2589,33239429,Nadhif Basalamah,penjaga hati
43,-7,Ernie Zakri - Masing Masing (w/ Ade Govinda),408,2,(x21),30830,-4136.0,244225,-12849,24882691,Ernie Zakri,Masing Masing (w/ Ade Govinda)
44,+5,James Arthur - Car's Outside,861,6,,30733,1561.0,210175,715,28956503,James Arthur,Car's Outside
45,-7,Jin - Running Wild,182,5,,30235,-3650.0,274456,-9761,8964032,Jin,Running Wild
46,+4,Arctic Monkeys - I Wanna Be Yours,1043,8,,29974,855.0,200645,-128,35906318,Arctic Monkeys,I Wanna Be Yours
47,-7,lucidrari - lowkey (w/ Heil Nuan),58,19,,29970,-2665.0,217085,-154,2004373,lucidrari,lowkey (w/ Heil Nuan)
48,-5,Ariana Grande - twilight zone,52,12,,29535,-1441.0,226094,-476,2108226,Ariana Grande,twilight zone
49,-5,MEOVV - HANDS UP,20,37,,29060,-1413.0,212244,2669,528407,MEOVV,HANDS UP
