Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Davido - With You (w/ Omah Lay),32,1,(x29),303427,-45235.0,2494658,-80097,16194719,Davido,With You (w/ Omah Lay)
2,+1,Gaise Baba - No Turning Back II (w/ Lawrence Oyor),3,2,(x2),214742,5676.0,728323,214742,728323,Gaise Baba,No Turning Back II (w/ Lawrence Oyor)
3,-1,FOLA - lost (w/ Kizz Daniel),25,2,(x8),202101,-30342.0,1602827,-14431,5310227,FOLA,lost (w/ Kizz Daniel)
4,=,Shallipopi - Laho II (w/ Burna Boy),25,3,(x15),160557,-18194.0,1258017,-22305,5357973,Shallipopi,Laho II (w/ Burna Boy)
5,=,Zlatan - Get Better (w/ FOLA),59,4,,137637,-21377.0,1060338,-6011,8806674,Zlatan,Get Better (w/ FOLA)
6,=,Kunmie - Arike,91,1,(x22),133426,-24349.0,1005861,-19763,20815235,Kunmie,Arike
7,=,Olamide - Kai! (w/ Wizkid),21,1,(x1),132168,-10348.0,1058538,-37821,5043662,Olamide,Kai! (w/ Wizkid)
8,=,Chella - My Darling,53,1,(x9),124882,-17022.0,884411,-5630,9720831,Chella,My Darling
9,=,Faceless - Venus (w/ Serøtonin),171,3,(x2),121397,-17358.0,858744,-1156,22166191,Faceless,Venus (w/ Serøtonin)
10,=,ODUMODUBLVCK - PITY THIS BOY (w/ Victony),101,1,(x12),119056,-16641.0,940531,-8736,20786761,ODUMODUBLVCK,PITY THIS BOY (w/ Victony)
11,+1,Barry Jhay - See Me See God (SMSG),38,11,,110178,-10261.0,797600,359,3646984,Barry Jhay,See Me See God (SMSG)
12,+3,Shallipopi - Laho,84,1,(x8),110012,-6241.0,770381,-16141,18673583,Shallipopi,Laho
13,+1,Ayra Starr - Gimme Dat (w/ Wizkid),24,1,(x1),105750,-10615.0,843576,-26435,4903653,Ayra Starr,Gimme Dat (w/ Wizkid)
14,-3,Fido - Joy Is Coming,152,1,(x40),105500,-17686.0,750378,-4147,30386156,Fido,Joy Is Coming
15,-2,"Davido - Funds (w/ ODUMODUBLVCK, Chike)",165,1,(x22),102430,-17181.0,764131,-1923,30440326,Davido,"Funds (w/ ODUMODUBLVCK, Chike)"
16,=,Seyi Vibez - MARIO KART,88,2,(x1),100783,-10299.0,725066,4520,10696542,Seyi Vibez,MARIO KART
17,=,Rema - Bout U,39,1,(x2),97092,-9866.0,737354,-8239,5877606,Rema,Bout U
18,+1,ODUMODUBLVCK - LEGOLAS,48,5,,91489,-5878.0,665591,5100,5076393,ODUMODUBLVCK,LEGOLAS
