Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),120,1,(x3),16777,-1686.0,99479,6107,775335,Fuerza Regida,COQUETA (w/ Grupo Frontera)
2,+8,Jimin - Who,304,1,(x196),15420,3845.0,110388,-180,6588945,Jimin,Who
3,+2,Fuerza Regida - Marlboro Rojo,14,3,(x1),15103,994.0,76691,9588,104025,Fuerza Regida,Marlboro Rojo
4,-2,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",84,1,(x28),14663,-1552.0,111889,-1337,1226551,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
5,-1,Fuerza Regida - Por Esos Ojos,95,3,(x1),14319,-1057.0,89002,4843,919479,Fuerza Regida,Por Esos Ojos
6,-3,Fuerza Regida - ME JALO (w/ Grupo Frontera),143,3,(x1),13373,-2176.0,87954,3418,1383365,Fuerza Regida,ME JALO (w/ Grupo Frontera)
7,+2,Clave Especial - COMO CAPO (w/ Fuerza Regida),80,6,,11941,-1099.0,79464,1971,542449,Clave Especial,COMO CAPO (w/ Fuerza Regida)
8,=,Bad Bunny - EoO,134,3,(x18),11605,-1465.0,89572,-651,1976656,Bad Bunny,EoO
9,-2,Bad Bunny - BAILE INoLVIDABLE,134,2,(x42),11598,-1711.0,93159,-809,2335393,Bad Bunny,BAILE INoLVIDABLE
10,-4,Oscar Maydon - Tu Boda (w/ Fuerza Regida),227,1,(x4),11443,-2055.0,73195,3962,2902611,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
11,+3,Fuerza Regida - ROSONES (w/ Jorsshh),154,11,,10126,557.0,58709,4084,858198,Fuerza Regida,ROSONES (w/ Jorsshh)
12,=,Neton Vega - Morena (w/ Peso Pluma),91,5,,10115,-49.0,71017,1179,697226,Neton Vega,Morena (w/ Peso Pluma)
13,-2,Bad Bunny - DtMF,134,1,(x48),9641,-1102.0,72487,-33,2450073,Bad Bunny,DtMF
14,+4,"Chuyin - Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)",107,14,,9271,-69.0,57367,2948,607679,Chuyin,"Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)"
15,+6,Tito Double P - TATTOO,80,10,,8723,-258.0,60129,1118,690624,Tito Double P,TATTOO
16,=,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),45,16,,8578,-881.0,62038,832,291359,Los Dareyes De La Sierra,Vita Fer (w/ Tito Double P)
17,-2,Xavi - En Privado (w/ Manuel Turizo),92,3,(x1),8447,-1082.0,63809,-469,872583,Xavi,En Privado (w/ Manuel Turizo)
18,-5,Fuerza Regida - TÚ NAME,441,13,,8315,-1753.0,52429,3561,1905889,Fuerza Regida,TÚ NAME
19,+4,Clave Especial - TU TU TU (w/ Edgardo Nuñez),42,10,,8304,-279.0,63647,-331,271444,Clave Especial,TU TU TU (w/ Edgardo Nuñez)
20,=,Tito Double P - ROSONES,162,8,,8296,-784.0,53453,1711,1592668,Tito Double P,ROSONES
21,-2,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,3,(x1),8235,-882.0,65074,-368,1678279,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
22,=,Beéle - Mi Refe (w/ Ovy On The Drums),144,5,,8210,-688.0,62022,-241,1354970,Beéle,Mi Refe (w/ Ovy On The Drums)
23,-6,JENNIE - like JENNIE,73,5,,8210,-1191.0,60614,-397,509393,JENNIE,like JENNIE
24,+6,Fuerza Regida - ANSIEDAD,11,24,,8169,477.0,43910,4086,58592,Fuerza Regida,ANSIEDAD
25,-1,Young Miko - WASSUP,22,22,,8025,-401.0,56502,1508,131867,Young Miko,WASSUP
26,-1,Neton Vega - M&M,86,14,,7665,-569.0,55025,29,565230,Neton Vega,M&M
27,=,J Balvin - LA CANCIÓN (w/ Bad Bunny),2125,1,(x9),7475,-693.0,60653,-1021,10870944,J Balvin,LA CANCIÓN (w/ Bad Bunny)
28,+21,Fuerza Regida - TU SANCHO,8,28,,7320,898.0,34890,4810,37400,Fuerza Regida,TU SANCHO
29,-3,Bad Bunny - NUEVAYoL,134,1,(x3),7179,-1015.0,57370,-739,1855750,Bad Bunny,NUEVAYoL
30,+2,Bad Bunny - KLOuFRENS,134,11,,7154,-344.0,57942,-233,1231719,Bad Bunny,KLOuFRENS
31,=,Tito Double P - DOS DÍAS (w/ Peso Pluma),257,15,,7152,-373.0,47854,1037,1805574,Tito Double P,DOS DÍAS (w/ Peso Pluma)
32,-4,Peso Pluma - HOLLYWOOD (w/ Estevan Plazola),271,25,,6991,-903.0,50057,642,1548005,Peso Pluma,HOLLYWOOD (w/ Estevan Plazola)
33,+2,Alemán - Te Quería Ver (w/ Neton Vega),100,5,,6978,-122.0,50487,529,807263,Alemán,Te Quería Ver (w/ Neton Vega)
34,-5,Bad Bunny - VOY A LLeVARTE PA PR,134,2,(x1),6832,-991.0,54615,-357,1506569,Bad Bunny,VOY A LLeVARTE PA PR
35,-1,Feid - LUNA (w/ ATL Jacob),532,1,(x22),6489,-896.0,47317,539,6177990,Feid,LUNA (w/ ATL Jacob)
36,+6,Tito Double P - EL LOKERON,256,3,(x4),6389,-305.0,44154,920,2258235,Tito Double P,EL LOKERON
37,=,Plan B - Es un Secreto,1349,1,(x37),6242,-791.0,49245,-143,8928235,Plan B,Es un Secreto
38,+8,KAROL G - Si Antes Te Hubiera Conocido,332,1,(x4),6223,-346.0,43674,561,3394637,KAROL G,Si Antes Te Hubiera Conocido
39,+11,Neton Vega - Chiquita (w/ Tito Double P),55,39,,6211,-211.0,40117,1588,242788,Neton Vega,Chiquita (w/ Tito Double P)
40,-2,Tito Double P - NADIE,178,10,,6174,-840.0,43074,827,1409810,Tito Double P,NADIE
41,-2,Beéle - sobelove,73,10,,6086,-862.0,49732,-248,588214,Beéle,sobelove
42,+1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),185,3,(x1),5830,-788.0,47510,-232,1755749,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
43,-10,Fuerza Regida - NEL,288,11,,5811,-1594.0,38117,2208,1438690,Fuerza Regida,NEL
44,-4,Don Miguelo - Y Que Fue?,23,6,,5712,-1037.0,46920,-4644,130007,Don Miguelo,Y Que Fue?
45,+20,Julión Álvarez y su Norteño Banda - Rey Sin Reina,250,7,,5659,600.0,34359,151,1613617,Julión Álvarez y su Norteño Banda,Rey Sin Reina
46,+6,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",73,8,,5578,-757.0,43592,150,515206,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
