Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Claude - C'est La Vie,81,1,(x3),241029,-72800.0,1583420,108536,12179615,Claude,C'est La Vie
2,=,"Lustrum U.V.S.V./N.V.V.S.U. - Lotje (w/ Jopke van Dobbenburgh, Roeland Beelen)",38,1,(x32),200169,-81762.0,1764812,-43755,11338161,Lustrum U.V.S.V./N.V.V.S.U.,"Lotje (w/ Jopke van Dobbenburgh, Roeland Beelen)"
3,+1,Alex Warren - Ordinary,101,1,(x4),195944,-38419.0,1626888,-9712,22202609,Alex Warren,Ordinary
4,-1,Samuel Welten - Echte Liefde Is Te Koop,59,1,(x21),169990,-79522.0,1463568,-41770,17226057,Samuel Welten,Echte Liefde Is Te Koop
5,+18,Tommy Cash - Espresso Macchiato,5,5,,165592,55378.0,462223,165592,462223,Tommy Cash,Espresso Macchiato
6,-1,Pommelien Thijs - Atlas,59,3,(x10),154929,-40641.0,1334573,-19529,12636518,Pommelien Thijs,Atlas
7,+13,KAJ - Bara Bada Bastu,6,7,,149612,27397.0,544236,149612,544236,KAJ,Bara Bada Bastu
8,-1,Froukje - Hart In Brand (w/ S10),26,5,,134350,-39990.0,1243384,-18955,4014667,Froukje,Hart In Brand (w/ S10)
9,+79,JJ - Wasted Love,3,9,,130832,82873.0,213091,130832,213091,JJ,Wasted Love
10,-4,Idaly - SINGLE (w/ Milolaathetlukken),17,3,(x2),130720,-54203.0,1355790,-45688,3430658,Idaly,SINGLE (w/ Milolaathetlukken)
11,-2,"Bizzey - Beneden (w/ Ronnie Flex, Russo)",17,7,,117864,-45296.0,1155682,-22281,2689308,Bizzey,"Beneden (w/ Ronnie Flex, Russo)"
12,-2,Zoë Livay - Ik Zing (w/ Snelle),59,5,,115577,-36894.0,1064167,-22057,8069576,Zoë Livay,Ik Zing (w/ Snelle)
13,-5,FLEMMING - 100% (w/ Mart Hoogkamer),87,3,(x1),114523,-49634.0,953410,-23552,12749319,FLEMMING,100% (w/ Mart Hoogkamer)
14,+5,Jonna Fraser - Don Julio Daddy (w/ Lil Kleine),3,10,,107610,-15264.0,394053,107610,394053,Jonna Fraser,Don Julio Daddy (w/ Lil Kleine)
15,-2,WizTheMc - Show Me Love (w/ bees & honey),84,8,,107567,-31503.0,933842,-20941,10455045,WizTheMc,Show Me Love (w/ bees & honey)
16,-4,Antoon - Beetje Van Mij,101,1,(x26),102664,-37677.0,961554,-24784,19795052,Antoon,Beetje Van Mij
17,-3,Ed Sheeran - Azizam,41,13,,102323,-32927.0,874192,-8864,4537543,Ed Sheeran,Azizam
