Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,101,1,(x60),44939,386.0,330592,-3000,3776888,Alex Warren,Ordinary
2,=,sombr - undressed,57,2,(x16),31279,4340.0,224689,-332,1210226,sombr,undressed
3,+1,sombr - back to friends,64,3,(x4),28274,4021.0,193717,1277,1246996,sombr,back to friends
4,-1,Ravyn Lenae - Love Me Not,88,2,(x1),27682,1810.0,196134,186,1649557,Ravyn Lenae,Love Me Not
5,+1,Billie Eilish - BIRDS OF A FEATHER,368,1,(x33),23053,-978.0,172987,-1306,15018354,Billie Eilish,BIRDS OF A FEATHER
6,-1,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,1,(x108),23002,-1030.0,170902,-1355,12520642,Lady Gaga,Die With A Smile (w/ Bruno Mars)
7,+3,Kendrick Lamar - luther,178,1,(x46),21615,-1380.0,166930,-1683,6761019,Kendrick Lamar,luther
8,=,ROSÉ - APT. (w/ Bruno Mars),213,1,(x16),21431,-2010.0,157753,-1853,8378322,ROSÉ,APT. (w/ Bruno Mars)
9,+2,Teddy Swims - Lose Control,635,2,(x4),21103,-1197.0,155738,-1102,19081119,Teddy Swims,Lose Control
10,+3,Benson Boone - Beautiful Things,486,1,(x24),20966,-285.0,147849,-1506,16577533,Benson Boone,Beautiful Things
11,-4,Chrystal - The Days - NOTION Remix (w/ NOTION),168,1,(x20),19709,-3818.0,164254,-3204,5372396,Chrystal,The Days - NOTION Remix (w/ NOTION)
12,-3,Fleetwood Mac - Dreams - 2004 Remaster,2836,2,(x1),19499,-3519.0,148169,-1648,42678977,Fleetwood Mac,Dreams - 2004 Remaster
13,-1,Drake - NOKIA,94,3,(x1),18849,-3088.0,155071,-2907,2254327,Drake,NOKIA
14,+2,Gracie Abrams - That’s So True,213,1,(x9),18672,-194.0,135558,-1378,7322207,Gracie Abrams,That’s So True
15,+6,Gigi Perez - Sailor Song,295,3,(x4),18394,1169.0,130679,-817,7675646,Gigi Perez,Sailor Song
16,+2,The Goo Goo Dolls - Iris,1199,15,,18311,220.0,132601,-1027,13613557,The Goo Goo Dolls,Iris
17,-3,Chappell Roan - Pink Pony Club,321,9,,17832,-1336.0,129285,-1048,5184769,Chappell Roan,Pink Pony Club
18,-3,Lola Young - Messy,175,3,(x5),17146,-1845.0,133082,-2487,5246588,Lola Young,Messy
