Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",87,1,(x66),25541,-3799.0,183344,52,2326481,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Beéle - Mi Refe (w/ Ovy On The Drums),164,1,(x3),16242,-3102.0,122261,-761,3439635,Beéle,Mi Refe (w/ Ovy On The Drums)
3,=,Beéle - sobelove,73,2,(x22),14934,-3856.0,124879,-1862,1437064,Beéle,sobelove
4,=,Bad Bunny - BAILE INoLVIDABLE,134,1,(x34),14185,-1850.0,105367,-710,3438384,Bad Bunny,BAILE INoLVIDABLE
5,=,Danny Ocean - Imagínate (w/ Kapo),192,1,(x3),12324,-2892.0,93705,-384,3592294,Danny Ocean,Imagínate (w/ Kapo)
6,=,Nicky Jam - Hiekka (w/ Beéle),17,5,,12227,-2801.0,91851,2225,159290,Nicky Jam,Hiekka (w/ Beéle)
7,=,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),304,4,,11671,-3214.0,87771,1372,4269991,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
8,+1,"BARBEL - Si Te Vas (w/ Yemil, Focking Rafita, BCA, Sech, Jorkan, Tachi, Valentino GRM, Eiby, Kaih, Justin Quiles)",31,4,,11653,-2438.0,96773,-2864,495985,BARBEL,"Si Te Vas (w/ Yemil, Focking Rafita, BCA, Sech, Jorkan, Tachi, Valentino GRM, Eiby, Kaih, Justin Quiles)"
9,-1,Alleh - capaz (merengueton) (w/ Yorghaki),168,6,,11481,-2716.0,84978,131,2351385,Alleh,capaz (merengueton) (w/ Yorghaki)
10,+3,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,3,(x1),10984,-1453.0,83060,-922,2649269,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
11,+4,Bad Bunny - DtMF,134,1,(x20),10852,-958.0,75920,209,3044602,Bad Bunny,DtMF
12,+2,"Valentino GRM - SI TE PEGO - Remix (w/ JEYSON, Yemil, Akim, Don Pablo Mures, SMILE BEATS)",83,2,(x6),10576,-1652.0,74516,-155,1299054,Valentino GRM,"SI TE PEGO - Remix (w/ JEYSON, Yemil, Akim, Don Pablo Mures, SMILE BEATS)"
13,-3,Danny Ocean - Priti (w/ Sech),59,7,,10547,-3033.0,87707,-1038,679248,Danny Ocean,Priti (w/ Sech)
14,-3,Miguel Bueno - Solcito (w/ Juan Duque),66,4,,10539,-2054.0,84656,-345,965890,Miguel Bueno,Solcito (w/ Juan Duque)
15,-3,Beéle - Frente al Mar,234,4,,10217,-2296.0,78653,-92,3212257,Beéle,Frente al Mar
16,+1,"Don Pablo Mures - Benjamin (w/ Yemil, The Boys C)",75,11,,9759,-1546.0,70925,-173,827476,Don Pablo Mures,"Benjamin (w/ Yemil, The Boys C)"
17,+1,Bad Bunny - EoO,134,6,,9511,-1174.0,68893,-260,2111852,Bad Bunny,EoO
18,+3,Bad Bunny - KLOuFRENS,134,8,,9359,-1220.0,72375,-165,1954776,Bad Bunny,KLOuFRENS
