Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Afusic - Pal Pal (w/ AliSoomroMusic),80,1,(x55),113423,-17026.0,859307,-12855,8693015,Afusic,Pal Pal (w/ AliSoomroMusic)
2,=,Maanu - Jhol (w/ Annural Khalid),338,1,(x53),82456,-11781.0,572941,1015,21377095,Maanu,Jhol (w/ Annural Khalid)
3,=,"Bayaan - Maand (w/ Hasan Raheem, Rovalio)",156,1,(x1),66961,-10958.0,513715,4297,9438273,Bayaan,"Maand (w/ Hasan Raheem, Rovalio)"
4,=,Shubh - Supreme,31,3,(x6),65400,-8697.0,514330,-2311,1772807,Shubh,Supreme
5,=,Anuv Jain - Afsos (w/ AP Dhillon),109,1,(x45),61824,-7499.0,451456,-275,9784479,Anuv Jain,Afsos (w/ AP Dhillon)
6,+1,Kushagra - Finding Her (w/ Bharath),65,6,,61323,-4746.0,434340,3947,2737780,Kushagra,Finding Her (w/ Bharath)
7,-1,"Afusic - Pal Pal (w/ Talwiinder, AliSoomroMusic)",38,3,(x2),57299,-11605.0,480486,-12830,2431379,Afusic,"Pal Pal (w/ Talwiinder, AliSoomroMusic)"
8,=,"Guru Randhawa - Qatal (w/ Sanjoy, Gill Machhrai)",24,6,,57072,-7884.0,428836,3661,930018,Guru Randhawa,"Qatal (w/ Sanjoy, Gill Machhrai)"
9,+1,AP Dhillon - STFU (w/ Shinda Kahlon),17,9,,49208,-2528.0,306785,19922,481368,AP Dhillon,STFU (w/ Shinda Kahlon)
10,-1,"Ali & Shjr - Heer (w/ Haider Ali, Ali Raza)",105,5,,45932,-6121.0,343056,502,3682266,Ali & Shjr,"Heer (w/ Haider Ali, Ali Raza)"
11,=,Anuv Jain - Jo Tum Mere Ho,288,1,(x85),43723,-6526.0,308006,1321,16817280,Anuv Jain,Jo Tum Mere Ho
12,+1,"Talwiinder - Haseen (w/ NDS, Rippy Grewal)",84,9,,43414,-4512.0,339308,-897,1578600,Talwiinder,"Haseen (w/ NDS, Rippy Grewal)"
13,-1,Faheem Abdullah - Ishq (w/ Rauhan Malik),359,3,(x77),42035,-6451.0,300953,2698,12748913,Faheem Abdullah,Ishq (w/ Rauhan Malik)
14,+3,"Sachet-Parampara - Raanjhan (From ""Do Patti"") (w/ Parampara Tandon, Kausar Munir)",208,4,,32061,-3791.0,234082,356,6804420,Sachet-Parampara,"Raanjhan (From ""Do Patti"") (w/ Parampara Tandon, Kausar Munir)"
15,=,Talha Anjum - Departure Lane (w/ Umair),172,1,(x32),30997,-5363.0,246341,-3940,7040055,Talha Anjum,Departure Lane (w/ Umair)
16,=,Shubh - Aura,122,4,,30836,-5121.0,233889,-2326,4341898,Shubh,Aura
17,-3,Karan Aujla - Wavy,185,1,(x19),30403,-7951.0,245904,-5103,8658768,Karan Aujla,Wavy
