Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Sentino - CASABLANCA (w/ BNP),18,1,(x13),240333,-55594.0,2123836,-6039,4952740,Sentino,CASABLANCA (w/ BNP)
2,+3,Mata - To tylko wiosna (w/ Maryla Rodowicz),3,2,(x1),197581,2685.0,621771,197581,621771,Mata,To tylko wiosna (w/ Maryla Rodowicz)
3,-1,Sobel - CAŁE LATO (w/ francis),24,2,(x1),176129,-45294.0,1594832,2446,4547020,Sobel,CAŁE LATO (w/ francis)
4,+53,Abor & Tynna - Baller,3,4,,174197,112603.0,295923,174197,295923,Abor & Tynna,Baller
5,-2,Żabson - LOLA,21,3,(x1),170270,-40639.0,1477059,7446,3096120,Żabson,LOLA
6,-2,"Sobel - CHA CHA (w/ SHDØW, francis)",25,1,(x12),163167,-46245.0,1624415,-33989,6512625,Sobel,"CHA CHA (w/ SHDØW, francis)"
7,+25,Tommy Cash - Espresso Macchiato,5,7,,133950,58779.0,390535,133950,390535,Tommy Cash,Espresso Macchiato
8,+4,Justyna Steczkowska - GAJA - Eurovision Edit,16,8,,125422,14553.0,542014,125422,958242,Justyna Steczkowska,GAJA - Eurovision Edit
9,+24,KAJ - Bara Bada Bastu,5,9,,123220,48485.0,397421,123220,397421,KAJ,Bara Bada Bastu
10,+118,JJ - Wasted Love,3,10,,121766,79451.0,201419,121766,201419,JJ,Wasted Love
11,-5,Pezet - Dom Nad Wodą (w/ Auer),279,1,(x51),118262,-41937.0,1038378,-7534,35672231,Pezet,Dom Nad Wodą (w/ Auer)
12,-5,Sobel - Z TYŁU GŁOWY (w/ francis),66,2,(x8),117183,-27849.0,1100902,-5704,10177859,Sobel,Z TYŁU GŁOWY (w/ francis)
13,-4,"Sobel - KOCHASZ? (w/ francis, Deemz)",144,1,(x11),105775,-26183.0,946818,-14209,30488469,Sobel,"KOCHASZ? (w/ francis, Deemz)"
14,-4,Alex Warren - Ordinary,79,8,,98381,-27893.0,892629,-7954,6573554,Alex Warren,Ordinary
15,+52,Kyle Alessandro - Lighter,5,15,,94750,38913.0,305374,94750,305374,Kyle Alessandro,Lighter
