Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+3,V - Winter Ahead (w/ Park Hyo Shin),166,1,(x5),63434,38242.0,273679,27746,4372844,V,Winter Ahead (w/ Park Hyo Shin)
2,-1,Jimin - Who,304,1,(x83),35731,-6244.0,272535,-4303,12095257,Jimin,Who
3,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",81,1,(x8),26511,-10824.0,229338,-5858,2049215,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
4,-1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,2,(x11),19591,-5913.0,161676,-3895,4225415,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
5,=,Bad Bunny - BAILE INoLVIDABLE,134,2,(x7),19082,-5745.0,160618,-3805,4283887,Bad Bunny,BAILE INoLVIDABLE
6,=,La T y La M - Amor de Vago (w/ Malandro),207,1,(x17),18231,-5920.0,150137,-3920,5532517,La T y La M,Amor de Vago (w/ Malandro)
7,+2,Fuerza Regida - COQUETA (w/ Grupo Frontera),57,7,,17682,-3775.0,126444,2407,555351,Fuerza Regida,COQUETA (w/ Grupo Frontera)
8,=,Lalo Y Los Descalzos - Te Quiero Asi,233,3,(x7),17674,-4850.0,144451,-6472,4752324,Lalo Y Los Descalzos,Te Quiero Asi
9,+1,Bad Bunny - DtMF,134,1,(x39),16319,-4788.0,134823,-2811,5067356,Bad Bunny,DtMF
10,-3,Alleh - capaz (merengueton) (w/ Yorghaki),136,7,,15417,-7179.0,136361,-3251,2389256,Alleh,capaz (merengueton) (w/ Yorghaki)
11,=,Bad Bunny - KLOuFRENS,134,7,,15321,-4071.0,130796,-3039,2800517,Bad Bunny,KLOuFRENS
12,=,Lalo Y Los Descalzos - Siempre Me Buscabas,587,2,(x1),15247,-3289.0,118940,-4639,7345124,Lalo Y Los Descalzos,Siempre Me Buscabas
13,+2,Fuerza Regida - ME JALO (w/ Grupo Frontera),81,13,,14208,-2817.0,110113,-937,1009283,Fuerza Regida,ME JALO (w/ Grupo Frontera)
14,-1,Bad Bunny - EoO,134,12,,13005,-4298.0,109108,-2437,2460676,Bad Bunny,EoO
15,+5,Yan Block - Yo sé (w/ TORRRES),161,15,,12889,-2726.0,96917,-42,1546776,Yan Block,Yo sé (w/ TORRRES)
16,-2,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",73,7,,12800,-4339.0,106916,-1276,977114,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
17,+6,Jin - Don’t Say You Love Me,3,1,(x1),12155,-2881.0,99096,12155,99096,Jin,Don’t Say You Love Me
18,-1,Xavi - En Privado (w/ Manuel Turizo),70,17,,12056,-3900.0,99745,-1671,763430,Xavi,En Privado (w/ Manuel Turizo)
19,-3,Beéle - Mi Refe (w/ Ovy On The Drums),138,10,,11887,-4779.0,108146,-2945,2066408,Beéle,Mi Refe (w/ Ovy On The Drums)
20,+2,Bad Bunny - VOY A LLeVARTE PA PR,134,6,,11778,-3653.0,98689,-2143,2902659,Bad Bunny,VOY A LLeVARTE PA PR
