Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,shadowraze - showdown,36,1,(x35),128269,2490.0,965737,-23144,8641801,shadowraze,showdown
2,=,shadowraze - astral step,161,1,(x42),97105,1868.0,726359,-14140,16696311,shadowraze,astral step
3,=,WENARO - Лёд (w/ LXNER),224,3,(x12),64849,1954.0,462569,-5248,12997793,WENARO,Лёд (w/ LXNER)
4,=,"shadowraze - adaptive strike (w/ LXNER, quiizzzmeow)",57,1,(x1),60642,1141.0,443422,-7207,5606004,shadowraze,"adaptive strike (w/ LXNER, quiizzzmeow)"
5,=,fem.love - Фотографирую закат,367,3,(x13),52246,919.0,382018,-6421,17030288,fem.love,Фотографирую закат
6,=,shadowraze - shadowfiend,189,5,,50606,1327.0,378071,-7353,8498675,shadowraze,shadowfiend
7,=,rizza - плачь (w/ Sqwore),187,7,,48251,1132.0,333703,-2043,9806012,rizza,плачь (w/ Sqwore)
8,=,shadowraze - juggernaut (Prod. by PLVSTIC),237,7,,46779,1539.0,345949,-6245,8905821,shadowraze,juggernaut (Prod. by PLVSTIC)
9,+1,Шайни - Yeyo!,56,8,,44979,1348.0,312007,-2499,3229990,Шайни,Yeyo!
10,-1,FACE - ЛАБИРИНТ,132,8,,44734,154.0,325170,-5121,3653346,FACE,ЛАБИРИНТ
11,+4,zxcursed - Never Enough,26,7,,40724,2171.0,283394,-906,1220740,zxcursed,Never Enough
12,-1,shadowraze - psiblades (w/ babyswishh1),186,9,,40594,721.0,301176,-5890,7068435,shadowraze,psiblades (w/ babyswishh1)
13,=,"uniqe - ТОЛПЫ КРИЧАТ (w/ nkeeei, ARTEM SHILOVETS)",192,1,(x6),39841,746.0,282155,-1459,11784082,uniqe,"ТОЛПЫ КРИЧАТ (w/ nkeeei, ARTEM SHILOVETS)"
14,=,quiizzzmeow - Aomine Daiki,186,1,(x3),39304,539.0,289467,-5255,9365405,quiizzzmeow,Aomine Daiki
15,-3,Big Baby Tape - 99 Problems (w/ kizaru),169,1,(x42),39016,-242.0,286916,-6073,19180082,Big Baby Tape,99 Problems (w/ kizaru)
16,+2,shadowraze - 1000-7 (w/ GENJUTSU),240,11,,38768,1136.0,286442,-4976,7616921,shadowraze,1000-7 (w/ GENJUTSU)
17,-1,GAYAZOV$ BROTHER$ - МАЛИНОВАЯ ЛАДА,113,2,(x22),38657,177.0,295396,-8440,8278117,GAYAZOV$ BROTHER$,МАЛИНОВАЯ ЛАДА
18,-1,Big Baby Tape - Bandana (w/ kizaru),169,1,(x8),37690,-387.0,279480,-4851,16674985,Big Baby Tape,Bandana (w/ kizaru)
19,+1,Big Baby Tape - Million (w/ kizaru),169,2,(x37),35064,-564.0,260836,-5302,16731726,Big Baby Tape,Million (w/ kizaru)
20,-1,FACE - Домино,107,12,,34789,-1169.0,247799,1534,2539050,FACE,Домино
21,=,INSTASAMKA - SHAKE,14,8,,33936,-453.0,259677,-9868,609367,INSTASAMKA,SHAKE
22,=,Miyagi & Andy Panda - Marmalade (w/ Mav-d),140,3,(x1),33901,-334.0,246812,-2172,9785409,Miyagi & Andy Panda,Marmalade (w/ Mav-d)
23,=,DVRST - Close Eyes,301,7,,32543,387.0,241683,-4685,14577046,DVRST,Close Eyes
24,+1,163ONMYNECK - ВЫКЛЮЧАТЕЛЬ,49,18,,31566,1078.0,216199,-1138,2087024,163ONMYNECK,ВЫКЛЮЧАТЕЛЬ
25,+1,Alyona Shvets - первое свидание,210,8,,31545,1165.0,228447,-5109,5917008,Alyona Shvets,первое свидание
26,-2,163ONMYNECK - ЖМУРКИ,49,9,,30260,-518.0,221952,-3393,2308675,163ONMYNECK,ЖМУРКИ
27,+2,zxcursed - bankai,7,12,,29499,588.0,249679,29499,249679,zxcursed,bankai
28,-1,MORGENSHTERN - 12,23,4,,29464,20.0,227214,-10857,1152315,MORGENSHTERN,12
29,-1,pyrokinesis - Днями-ночами (w/ MUKKA),631,19,,28662,-708.0,247217,-10634,13415307,pyrokinesis,Днями-ночами (w/ MUKKA)
30,+1,Mr.Kitty - After Dark,533,30,,28513,14.0,206627,-2016,11081432,Mr.Kitty,After Dark
31,-1,GONE.Fludd - TRAXXXMANIA,182,1,(x13),28365,-379.0,211671,-4157,11366882,GONE.Fludd,TRAXXXMANIA
32,=,Дора - Барбисайз (w/ Мэйби Бэйби),115,2,(x4),28328,-114.0,211565,-3005,6908130,Дора,Барбисайз (w/ Мэйби Бэйби)
33,=,Big Baby Tape - ВЛЮБИЛАСЬ (w/ Молодой Платон),112,2,(x1),27827,2.0,202779,-3706,5796911,Big Baby Tape,ВЛЮБИЛАСЬ (w/ Молодой Платон)
34,=,"Imagine Dragons - Enemy (w/ JID, Arcane, League of Legends)",63,21,,27762,90.0,201969,-3592,2673803,Imagine Dragons,"Enemy (w/ JID, Arcane, League of Legends)"
35,=,kizaru - Dezhavyu,632,1,(x5),26748,-457.0,194079,-2320,23641852,kizaru,Dezhavyu
36,+2,Elley Duhé - MIDDLE OF THE NIGHT,165,27,,26540,1303.0,192093,-2477,6218277,Elley Duhé,MIDDLE OF THE NIGHT
37,+2,fem.love - 1000-7,280,9,,25982,774.0,187129,-2416,10669878,fem.love,1000-7
38,+2,JojoHF - Первый раз - remix nevroz (w/ nevroz),140,30,,25785,724.0,170917,692,4106569,JojoHF,Первый раз - remix nevroz (w/ nevroz)
39,-2,Антон Токарев - Седьмой лепесток,74,9,,25779,-376.0,189588,-3550,3284232,Антон Токарев,Седьмой лепесток
40,-4,remember. - Кожура,108,1,(x9),25477,-749.0,188649,-3692,6182327,remember.,Кожура
41,+2,ROCKET - Инкассатор,630,40,,24475,376.0,174715,-1950,11263426,ROCKET,Инкассатор
42,-1,"OG Buda - Вина (w/ MAYOT, 17 SEVENTEEN)",113,1,(x6),23853,-715.0,175964,-2787,6145439,OG Buda,"Вина (w/ MAYOT, 17 SEVENTEEN)"
43,-1,Poshlaya Molly - Дом Периньон (w/ Eldzhey),203,2,(x8),23643,-728.0,173200,-3084,10699187,Poshlaya Molly,Дом Периньон (w/ Eldzhey)
