Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,KAJ - Bara Bada Bastu,87,1,(x73),299201,-92860.0,1634234,147408,22179828,KAJ,Bara Bada Bastu
2,+3,Tommy Cash - Espresso Macchiato,6,2,(x1),238804,103725.0,569225,238804,569225,Tommy Cash,Espresso Macchiato
3,-1,Tjuvjakt - Tusen spänn (w/ Fanny Avonne),10,1,(x4),212078,-20305.0,1568417,125435,1805113,Tjuvjakt,Tusen spänn (w/ Fanny Avonne)
4,+12,JJ - Wasted Love,3,4,,174260,103994.0,280971,174260,280971,JJ,Wasted Love
5,-2,Ida-Lova - Svagare än jag,37,1,(x5),147093,-31210.0,1265788,11953,4360335,Ida-Lova,Svagare än jag
6,+5,VÆB - RÓA,5,6,,117695,28513.0,325485,117695,325485,VÆB,RÓA
7,-3,"ADAAM - Håller Mig Själv (w/ Greekazo, ROMANOS)",24,1,(x3),115764,-25819.0,1002883,-1837,3335732,ADAAM,"Håller Mig Själv (w/ Greekazo, ROMANOS)"
8,=,Humlan Djojj - Djurens vaggvisa (w/ Josefine Götestam),1330,1,(x1),101006,7888.0,681050,-403,84678205,Humlan Djojj,Djurens vaggvisa (w/ Josefine Götestam)
9,-2,Alex Warren - Ordinary,101,3,(x13),92133,-13469.0,726344,-1456,8732724,Alex Warren,Ordinary
10,-4,Niklas Strömstedt - Om,36,4,,90728,-17841.0,786263,2463,2419182,Niklas Strömstedt,Om
11,+29,Abor & Tynna - Baller,3,11,,88451,40255.0,166099,88451,166099,Abor & Tynna,Baller
12,+36,Lucio Corsi - Volevo essere un duro,2,12,,80708,35856.0,125560,80708,125560,Lucio Corsi,Volevo essere un duro
13,+4,Kyle Alessandro - Lighter,5,13,,76464,6850.0,246067,76464,246067,Kyle Alessandro,Lighter
14,-5,Søte og Rare Gutter - Bender,80,3,(x2),72802,-17158.0,583994,9743,6776784,Søte og Rare Gutter,Bender
15,-5,Golfklubb - Ekko (w/ Olivia Lobato),10,7,,71964,-17459.0,647849,-2,888549,Golfklubb,Ekko (w/ Olivia Lobato)
