Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Separ - Body to body (w/ French Montana, Peter Pann)",51,1,(x10),26424,-4722.0,235326,-3233,2232255,Separ,"Body to body (w/ French Montana, Peter Pann)"
2,=,Sara Rikas - Talk2me (w/ Yzomandias),33,1,(x17),25691,-4176.0,237401,-5548,1159786,Sara Rikas,Talk2me (w/ Yzomandias)
3,=,Sara Rikas - Ups and downs,25,3,(x12),24688,-4019.0,223668,-3700,711073,Sara Rikas,Ups and downs
4,=,"Separ - AENE (w/ DMS, SMART)",51,1,(x23),23051,-4189.0,196490,-2866,2194857,Separ,"AENE (w/ DMS, SMART)"
5,=,Sara Rikas - Cigarety (w/ Matej Turcer),25,3,(x2),20250,-1935.0,184629,-4424,640835,Sara Rikas,Cigarety (w/ Matej Turcer)
6,+1,Sara Rikas - Tempo za 2 (w/ Raphael),26,6,,19689,-263.0,167386,1445,559134,Sara Rikas,Tempo za 2 (w/ Raphael)
7,-1,Separ - Nehaj tak (w/ SpecialBeatz),51,3,(x5),18184,-3543.0,166505,-2637,1655559,Separ,Nehaj tak (w/ SpecialBeatz)
8,=,Separ - Swagsucks,51,2,(x3),14982,-3234.0,136117,-1391,1695038,Separ,Swagsucks
9,=,Sara Rikas - Iné Plemená (w/ Viktor Sheen),158,6,,14369,-2140.0,134413,-3078,1824193,Sara Rikas,Iné Plemená (w/ Viktor Sheen)
10,=,Separ - Tras tou (w/ Sawsane),51,4,,13808,-1507.0,115567,-893,1388091,Separ,Tras tou (w/ Sawsane)
11,=,Alex Warren - Ordinary,101,4,,13315,-1482.0,111306,-144,1040745,Alex Warren,Ordinary
12,=,Sara Rikas - Stále som,26,8,,12545,-1448.0,115113,-2494,475828,Sara Rikas,Stále som
13,=,Calin - Pistacie (w/ Sofian Medjmedj),161,1,(x95),10702,-1718.0,95948,-2006,3601003,Calin,Pistacie (w/ Sofian Medjmedj)
14,+3,"Yzomandias - Svoboda (w/ P T K, Sara Rikas)",178,14,,10275,-118.0,82018,173,1230347,Yzomandias,"Svoboda (w/ P T K, Sara Rikas)"
15,+7,Slavíček - Až po uši,8,15,,9700,963.0,54327,6104,57923,Slavíček,Až po uši
16,-1,Separ - Skip skip (w/ SpecialBeatz),50,2,(x1),9578,-1188.0,86428,-947,1248847,Separ,Skip skip (w/ SpecialBeatz)
