Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,V - Winter Ahead (w/ Park Hyo Shin),171,1,(x165),228043,-21985.0,1796258,1349,37501991,V,Winter Ahead (w/ Park Hyo Shin)
2,+2,Jimin - Who,304,1,(x24),85015,18433.0,582295,3920,29517111,Jimin,Who
3,-1,LBI利比 - 跳楼机,111,2,(x91),72077,-5441.0,561371,-11402,10313764,LBI利比,跳楼机
4,-1,JENNIE - like JENNIE,73,3,(x50),64448,-3089.0,490122,-2915,6196627,JENNIE,like JENNIE
5,=,ROSÉ - Messy (From F1® The Movie) (w/ F1 The Album),11,3,(x1),53087,-4853.0,472469,-14484,688655,ROSÉ,Messy (From F1® The Movie) (w/ F1 The Album)
6,+1,Jin - Don’t Say You Love Me,3,6,,51119,4478.0,148218,51119,148218,Jin,Don’t Say You Love Me
7,-1,V - Slow Dancing,536,4,,50541,-1118.0,385103,1238,18456369,V,Slow Dancing
8,=,MEOVV - HANDS UP,20,7,,44667,-1444.0,346934,206,800647,MEOVV,HANDS UP
9,=,Silence Wang - 像晴天像雨天（电视剧《难哄》心动曲）,87,4,,41654,-3122.0,348048,-11484,5584550,Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）
10,=,頑童Mj116 - OGS,19,10,,41080,-1965.0,270741,8005,564813,頑童Mj116,OGS
11,=,ROSÉ - APT. (w/ Bruno Mars),213,1,(x26),39593,-1707.0,269423,-3599,21845278,ROSÉ,APT. (w/ Bruno Mars)
12,=,Stefanie Sun - 我懷念的,1070,12,,37081,-2380.0,255679,267,9352170,Stefanie Sun,我懷念的
13,=,aespa - Whiplash,210,4,,35928,-1792.0,260687,814,11443651,aespa,Whiplash
14,=,Crowd Lu - 愚人節快樂,48,4,,35702,-249.0,274710,-666,2572329,Crowd Lu,愚人節快樂
15,+6,Amazing Show - 愛情的大壞蛋,229,11,,35029,2637.0,218717,6061,7178212,Amazing Show,愛情的大壞蛋
16,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),276,3,(x15),32941,-1424.0,250043,-2627,13829699,Lady Gaga,Die With A Smile (w/ Bruno Mars)
17,+1,Jin - Running Wild,185,1,(x1),32831,-951.0,295717,-9098,14052460,Jin,Running Wild
18,+4,頑童Mj116 - 兄弟們要進城,32,9,,32566,305.0,211126,9526,863144,頑童Mj116,兄弟們要進城
19,-2,Kendrick Lamar - luther,177,4,,32482,-1782.0,251688,-4416,8299116,Kendrick Lamar,luther
20,-1,yung kai - blue,138,13,,31562,-2062.0,233087,-698,3964403,yung kai,blue
21,+9,Bestards - 離開的一路上,563,1,(x6),31116,2107.0,216406,1852,26915889,Bestards,離開的一路上
22,+2,"G-DRAGON - HOME SWEET HOME (w/ TAEYANG, DAESUNG)",178,2,(x1),31087,-494.0,228728,884,10516047,G-DRAGON,"HOME SWEET HOME (w/ TAEYANG, DAESUNG)"
23,=,ROSÉ - toxic till the end,165,2,(x1),30940,-1036.0,231008,-3029,10533636,ROSÉ,toxic till the end
24,+1,BABYMONSTER - DRIP,199,4,,30105,5.0,207089,-881,10267661,BABYMONSTER,DRIP
25,+47,王ADEN - 23/17 (w/ 高爾宣 OSN),3,25,,29746,11313.0,73479,29746,73479,王ADEN,23/17 (w/ 高爾宣 OSN)
26,-11,頑童Mj116 - NONO,4,11,,29650,-4736.0,128546,29650,128546,頑童Mj116,NONO
27,-7,颜人中 - 有些,1417,10,,29581,-2923.0,238436,-6132,31342789,颜人中,有些
28,-2,Billie Eilish - BIRDS OF A FEATHER,367,3,(x2),28805,-1136.0,223184,-4194,15217761,Billie Eilish,BIRDS OF A FEATHER
29,+4,LE SSERAFIM - HOT,66,5,,28503,764.0,204367,2225,2833636,LE SSERAFIM,HOT
30,+7,Firdhaus - 在加納共和國離婚 (w/ DIOR 大穎),492,1,(x3),28481,1959.0,192706,879,19670906,Firdhaus,在加納共和國離婚 (w/ DIOR 大穎)
31,+1,David Tao - 愛我還是他,463,10,,28407,-162.0,219028,-1418,9445197,David Tao,愛我還是他
32,-1,V - Love Me Again,647,1,(x106),28252,-628.0,220514,-731,41565965,V,Love Me Again
33,-5,en - 跳楼机,66,8,,27291,-1834.0,227215,-6339,2308887,en,跳楼机
34,-7,Mayday - 任性 (電視劇《難哄》主題曲),140,13,,27200,-2171.0,220363,-2940,4315866,Mayday,任性 (電視劇《難哄》主題曲)
35,-1,Patrick Brasca - 隔著螢幕想念你,10,28,,26594,-432.0,194833,2782,262446,Patrick Brasca,隔著螢幕想念你
36,-7,Khalil Fong - 特別的人,84,4,,26558,-2495.0,197211,-1131,3359375,Khalil Fong,特別的人
37,-2,aespa - Supernova,371,1,(x3),26048,-658.0,188106,-3208,15823626,aespa,Supernova
38,-2,JENNIE - Handlebars (w/ Dua Lipa),74,3,(x1),25904,-790.0,207929,-1613,3465325,JENNIE,Handlebars (w/ Dua Lipa)
39,-1,Khalil Fong - 愛愛愛,95,3,(x6),24689,-519.0,179654,-878,3402926,Khalil Fong,愛愛愛
40,+2,Jin - Nothing Without Your Love,3,40,,24393,-120.0,73595,24393,73595,Jin,Nothing Without Your Love
41,+21,Amazing Show - 偷偷愛,149,41,,23954,3497.0,139394,6445,2535032,Amazing Show,偷偷愛
42,-2,KATSEYE - Gnarly,14,37,,23618,-1414.0,180231,1334,334270,KATSEYE,Gnarly
43,-2,Jay Chou - 擱淺,1357,9,,23550,-1448.0,172459,-2713,28461489,Jay Chou,擱淺
44,-5,Bestards - 不是因為天氣晴朗才愛你,2023,4,,23368,-1756.0,166033,3438,50417166,Bestards,不是因為天氣晴朗才愛你
45,+11,BOYNEXTDOOR - I Feel Good,6,24,,23162,875.0,166523,23162,166523,BOYNEXTDOOR,I Feel Good
46,-1,Jung Kook - Seven (w/ Latto),675,1,(x162),23161,-220.0,161815,2771,32837833,Jung Kook,Seven (w/ Latto)
47,+3,aespa - UP - KARINA Solo,222,3,(x4),22424,-581.0,162532,-416,9408324,aespa,UP - KARINA Solo
48,+26,sodagreen - 小情歌,2258,25,,22372,4182.0,129834,4238,25109343,sodagreen,小情歌
49,-3,Jin - With the Clouds,3,46,,22201,-1122.0,68508,22201,68508,Jin,With the Clouds
50,+3,Eric Chou - 想念你想我,185,14,,22015,-450.0,172163,-5939,5353895,Eric Chou,想念你想我
51,-3,Jin - Loser (w/ YENA),3,48,,21984,-1100.0,68652,21984,68652,Jin,Loser (w/ YENA)
52,-9,JENNIE - ExtraL (w/ Doechii),87,5,,21767,-1914.0,175029,-2272,3312177,JENNIE,ExtraL (w/ Doechii)
53,-2,Jin - Background,3,51,,21433,-1558.0,66923,21433,66923,Jin,Background
