Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jerry Heil - З якого ти поверху неба? (w/ YARMAK),13,1,(x5),30089,-4815.0,211258,13172,275976,Jerry Heil,З якого ти поверху неба? (w/ YARMAK)
2,=,madk1d - так похуй,57,1,(x12),24829,-1445.0,186310,-689,1439281,madk1d,так похуй
3,+10,Ziferblat - Bird of Pray - Eurovision 2025,5,3,(x1),22261,6558.0,76022,22261,76022,Ziferblat,Bird of Pray - Eurovision 2025
4,+71,Abor & Tynna - Baller,3,4,,20727,12759.0,36312,20727,36312,Abor & Tynna,Baller
5,-2,kizaru - Fake ID (w/ Icegergert),38,1,(x28),19854,-1769.0,157634,-4493,1322296,kizaru,Fake ID (w/ Icegergert)
6,+36,Kyle Alessandro - Lighter,5,6,,18929,9032.0,53383,18929,53383,Kyle Alessandro,Lighter
7,+83,Katarsis - Tavo akys,3,7,,18726,11387.0,34023,18726,34023,Katarsis,Tavo akys
8,-4,madk1d - ты че обиделась (w/ тёмный принц),60,2,(x5),18372,-2014.0,142406,-2727,1116510,madk1d,ты че обиделась (w/ тёмный принц)
9,-1,VovaZiLvova - Атата - Ренебе,37,8,,17290,-1329.0,118173,2689,458524,VovaZiLvova,Атата - Ренебе
10,=,Vitaliy Kozlovskiy - Пінаколада,5,4,,16234,-1660.0,79659,16234,79659,Vitaliy Kozlovskiy,Пінаколада
11,+148,JJ - Wasted Love,3,11,,15467,9631.0,27066,15467,27066,JJ,Wasted Love
12,-5,Parfeniuk - Врубай,199,1,(x27),15396,-3606.0,120679,-1200,4366919,Parfeniuk,Врубай
13,-7,Анна Трінчер - Зірочка палай,46,6,,15124,-4188.0,119281,27,606725,Анна Трінчер,Зірочка палай
14,-3,DOROFEEVA - FENOMENAL',25,3,(x6),14591,-3172.0,122504,-860,458122,DOROFEEVA,FENOMENAL'
15,-10,Alena Omargalieva - Мужчина,52,3,(x7),14512,-4843.0,124219,-2397,871840,Alena Omargalieva,Мужчина
16,-7,Шугар - Тьотя,50,9,,14203,-4297.0,109804,748,585215,Шугар,Тьотя
17,+110,Lucio Corsi - Volevo essere un duro,3,17,,14167,7808.0,27119,14167,27119,Lucio Corsi,Volevo essere un duro
18,-6,Boombox - Зцапала-злапала,82,1,(x7),13914,-1822.0,105868,-347,1490952,Boombox,Зцапала-злапала
19,-3,"Sayfalse - LOS VOLTAJE (w/ Yb Wasg'ood, Ariis)",19,7,,12403,-1888.0,106197,-3852,251953,Sayfalse,"LOS VOLTAJE (w/ Yb Wasg'ood, Ariis)"
20,-6,OSTY - Не лякай (w/ Klavdia Petrivna),255,1,(x7),12363,-2569.0,101940,-484,5453286,OSTY,Не лякай (w/ Klavdia Petrivna)
21,-4,SadSvit - Касета,1127,1,(x17),12288,-1707.0,88359,155,12463470,SadSvit,Касета
22,+47,Tommy Cash - Espresso Macchiato,4,22,,12250,4018.0,33464,12250,33464,Tommy Cash,Espresso Macchiato
23,-8,Wellboy - Забий (w/ Parfeniuk),458,3,(x6),11772,-2635.0,91966,-83,7533549,Wellboy,Забий (w/ Parfeniuk)
24,-4,Lady Gaga - Abracadabra,105,1,(x10),11604,-1590.0,92515,-1608,2523402,Lady Gaga,Abracadabra
25,-2,SadSvit - Силуети (w/ СТРУКТУРА ЩАСТЯ),934,1,(x122),11423,-1175.0,85425,-349,17755288,SadSvit,Силуети (w/ СТРУКТУРА ЩАСТЯ)
26,+20,Ziferblat - Bird of Pray,55,3,(x4),11164,1560.0,45930,11164,616729,Ziferblat,Bird of Pray
27,=,wifiskeleton - Nope your too late i already died (w/ i wanna be a jack-o-lantern),52,10,,11159,-961.0,85741,-2068,398885,wifiskeleton,Nope your too late i already died (w/ i wanna be a jack-o-lantern)
28,+60,KAJ - Bara Bada Bastu,5,28,,11030,3684.0,37285,11030,37285,KAJ,Bara Bada Bastu
29,-10,Тоня Матвієнко - Кульбаби,170,1,(x28),11000,-2447.0,82506,-124,3569906,Тоня Матвієнко,Кульбаби
