Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",87,1,(x62),34121,-7603.0,268330,-8980,2747909,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Alleh - capaz (merengueton) (w/ Yorghaki),147,1,(x5),21579,-5368.0,173111,-6020,3533669,Alleh,capaz (merengueton) (w/ Yorghaki)
3,=,"Maria Becerra - RAMEN PARA DOS (w/ Paulo Londra, XROSS)",10,2,(x1),21520,-3814.0,160439,3360,216800,Maria Becerra,"RAMEN PARA DOS (w/ Paulo Londra, XROSS)"
4,+1,"DENNIS - MOTINHA 2.0 (Mete Marcha) - Remix (w/ Luísa Sonza, Emilia)",24,4,,20640,-2660.0,152852,-3974,458049,DENNIS,"MOTINHA 2.0 (Mete Marcha) - Remix (w/ Luísa Sonza, Emilia)"
5,-1,"Emilia - blackout 🧊 (w/ TINI, Nicki Nicole)",54,1,(x1),20089,-3590.0,158410,-5794,1612600,Emilia,"blackout 🧊 (w/ TINI, Nicki Nicole)"
6,=,Mattei - Pa las girlas,42,3,(x1),19834,-2485.0,154775,-3706,535344,Mattei,Pa las girlas
7,=,LA NUEVA ESCUELA - Se Me Olvida / Empelotica,186,1,(x24),16948,-2903.0,122857,-4378,4350711,LA NUEVA ESCUELA,Se Me Olvida / Empelotica
8,=,La T y La M - Amor de Vago (w/ Malandro),247,1,(x10),16293,-3015.0,114363,-4229,4764566,La T y La M,Amor de Vago (w/ Malandro)
9,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",73,4,,16016,-3091.0,122501,-3961,1096506,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
10,=,Emilia - bunda 🍑 (w/ Luísa Sonza),87,1,(x11),14892,-2387.0,112983,-5238,2015123,Emilia,bunda 🍑 (w/ Luísa Sonza)
11,+2,Bad Bunny - BAILE INoLVIDABLE,134,2,(x9),13065,-2058.0,103469,-3882,3066060,Bad Bunny,BAILE INoLVIDABLE
12,-1,"Jombriel - Parte & Choke (w/ Alex Krack, Jøtta)",175,1,(x6),12493,-2774.0,94489,-3772,3696458,Jombriel,"Parte & Choke (w/ Alex Krack, Jøtta)"
13,+1,Max Carra - UWAIE - versión cumbia,167,13,,12418,-1717.0,86764,-1668,1794049,Max Carra,UWAIE - versión cumbia
14,-2,Salastkbron - Tengo Una Cadena,18,9,,12285,-2956.0,103587,-189,192589,Salastkbron,Tengo Una Cadena
15,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",134,4,,12219,-1604.0,95918,-4184,2694066,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
16,=,Cazzu - Con otra,60,9,,11377,-2069.0,86180,-1586,799725,Cazzu,Con otra
17,+2,The La Planta - Cosas Pendientes (w/ La Penúltima),46,11,,11367,-1518.0,80316,-2663,547713,The La Planta,Cosas Pendientes (w/ La Penúltima)
18,=,Bad Bunny - DtMF,133,1,(x20),11170,-1825.0,84565,-3040,2966819,Bad Bunny,DtMF
19,-2,Beéle - Mi Refe (w/ Ovy On The Drums),145,8,,10806,-2208.0,90379,-4145,1917838,Beéle,Mi Refe (w/ Ovy On The Drums)
20,+4,LA NUEVA ESCUELA - Embustera (w/ Callejero Fino),67,19,,10098,-1072.0,69451,-2069,644927,LA NUEVA ESCUELA,Embustera (w/ Callejero Fino)
21,+1,Bad Bunny - VOY A LLeVARTE PA PR,134,3,(x4),9748,-1616.0,77806,-3204,2659367,Bad Bunny,VOY A LLeVARTE PA PR
22,+1,KAROL G - Si Antes Te Hubiera Conocido,332,1,(x62),9454,-1719.0,69066,-756,7236701,KAROL G,Si Antes Te Hubiera Conocido
23,+6,LA NUEVA ESCUELA - Tan Nervioso,324,3,(x2),9394,-850.0,65295,-1785,4983980,LA NUEVA ESCUELA,Tan Nervioso
24,+1,Lauty Gram - QUE CABRONA,74,10,,9336,-1684.0,71336,-3685,721574,Lauty Gram,QUE CABRONA
25,-5,Danny Ocean - Imagínate (w/ Kapo),185,11,,9255,-2373.0,73264,-2082,2260974,Danny Ocean,Imagínate (w/ Kapo)
26,+2,Tobal Mj - Tiene (w/ Lucky Brown),73,25,,9194,-1098.0,64820,-1075,505378,Tobal Mj,Tiene (w/ Lucky Brown)
27,-6,LA NUEVA ESCUELA - La Corriente,408,8,,8594,-3026.0,66675,-2623,5686941,LA NUEVA ESCUELA,La Corriente
28,+2,Bad Bunny - WELTiTA (w/ Chuwi),134,2,(x9),8584,-1619.0,69796,-3177,2389582,Bad Bunny,WELTiTA (w/ Chuwi)
29,+15,La Penúltima - Muero Por Ti,98,29,,8562,138.0,51261,-611,562545,La Penúltima,Muero Por Ti
30,-4,La Penúltima - Mariposas,256,26,,8550,-2251.0,58151,78,1549337,La Penúltima,Mariposas
31,-4,Maxi Alvarez - Capaz (w/ ONE PLAY),52,17,,8291,-2163.0,64984,-2882,482826,Maxi Alvarez,Capaz (w/ ONE PLAY)
32,+1,Salastkbron - Un Besito Más (w/ Diel Paris),430,1,(x15),8267,-1490.0,59633,-1885,8188988,Salastkbron,Un Besito Más (w/ Diel Paris)
33,+1,Yan Block - Yo sé (w/ TORRRES),164,25,,8104,-1412.0,62194,-1418,992892,Yan Block,Yo sé (w/ TORRRES)
34,-3,"Peipper - Si Las Gatas Se Amotinan (w/ DobleP, Locura Mix)",167,14,,7972,-2155.0,63049,-2700,1324461,Peipper,"Si Las Gatas Se Amotinan (w/ DobleP, Locura Mix)"
35,+5,La Penúltima - Verte De Nuevo,10,34,,7679,-1102.0,56083,-2047,75924,La Penúltima,Verte De Nuevo
36,-1,Luck Ra - FUE CULPA TUYA (w/ Tiago PZK),38,14,,7652,-1358.0,59808,-2101,394726,Luck Ra,FUE CULPA TUYA (w/ Tiago PZK)
37,+5,No Te Va Gustar - Ese Maldito Momento,1092,28,,7552,-882.0,54845,-588,6278007,No Te Va Gustar,Ese Maldito Momento
38,-6,RAMKY EN LOS CONTROLES - FINGI DEMENCIA (w/ The La Planta),129,16,,7516,-2402.0,59397,-2332,1292934,RAMKY EN LOS CONTROLES,FINGI DEMENCIA (w/ The La Planta)
