Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,35,1,(x30),21292,-839.0,442753,-70604,2833730,Jin,Don’t Say You Love Me
2,+1,Ed Sheeran - Sapphire,14,2,(x1),15709,979.0,105906,200,191912,Ed Sheeran,Sapphire
3,-1,Deejay Pico - Shimmy (w/ Lexi),7,1,(x1),13046,-2091.0,108207,13046,121698,Deejay Pico,Shimmy (w/ Lexi)
4,=,sombr - back to friends,95,3,(x2),12957,154.0,88237,-504,775818,sombr,back to friends
5,=,Billie Eilish - BIRDS OF A FEATHER,399,1,(x65),12069,524.0,80885,111,7147538,Billie Eilish,BIRDS OF A FEATHER
6,=,Alex Warren - Ordinary,127,4,,11579,410.0,81362,-638,1046322,Alex Warren,Ordinary
7,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x31),10668,216.0,73394,-262,6501920,Lady Gaga,Die With A Smile (w/ Bruno Mars)
8,=,Cup of Joe - Multo,88,4,,9997,141.0,66211,589,774050,Cup of Joe,Multo
9,=,Sabrina Carpenter - Manchild,14,8,,9864,186.0,69537,-614,131590,Sabrina Carpenter,Manchild
10,=,Ravyn Lenae - Love Me Not,110,10,,9643,264.0,63796,1170,632605,Ravyn Lenae,Love Me Not
11,=,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",61,7,,8293,248.0,57591,-118,398001,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
12,+2,Kendrick Lamar - All The Stars (w/ SZA),688,7,,7987,686.0,50898,781,3112930,Kendrick Lamar,All The Stars (w/ SZA)
13,+4,Billie Eilish - WILDFLOWER,399,7,,7913,665.0,52125,-51,3285276,Billie Eilish,WILDFLOWER
14,+1,The Weeknd - Timeless (w/ Playboi Carti),266,1,(x1),7857,576.0,52206,-71,3562196,The Weeknd,Timeless (w/ Playboi Carti)
15,-3,ROSÉ - APT. (w/ Bruno Mars),245,1,(x30),7767,214.0,55288,176,4596829,ROSÉ,APT. (w/ Bruno Mars)
16,-3,Kendrick Lamar - luther,210,3,(x2),7592,276.0,52666,-273,2763540,Kendrick Lamar,luther
17,-1,Sabrina Carpenter - Espresso,434,1,(x71),7535,255.0,52400,122,6114069,Sabrina Carpenter,Espresso
18,+3,Drake - NOKIA,126,6,,7033,261.0,48749,-280,1197575,Drake,NOKIA
19,-1,"Jakes Bejoy - Minnalvala (w/ Sid Sriram, Sithara Krishnakumar)",27,3,(x1),6926,-211.0,54388,-1037,249781,Jakes Bejoy,"Minnalvala (w/ Sid Sriram, Sithara Krishnakumar)"
20,-1,Maanu - Jhol (w/ Annural Khalid),251,4,,6795,-41.0,48337,-292,1641593,Maanu,Jhol (w/ Annural Khalid)
21,-1,Gracie Abrams - That’s So True,243,5,,6703,-128.0,46566,-28,2509555,Gracie Abrams,That’s So True
22,+8,The Marías - No One Noticed,283,17,,6407,721.0,42689,79,1645685,The Marías,No One Noticed
23,+2,"The Weeknd - One Of The Girls (w/ JENNIE, Lily-Rose Depp)",666,1,(x1),6279,332.0,43090,105,4960237,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)"
24,+5,ATLXS - PASSO BEM SOLTO - Slowed,93,17,,6272,559.0,41354,668,558922,ATLXS,PASSO BEM SOLTO - Slowed
25,-2,JENNIE - like JENNIE,105,4,,6181,41.0,43080,-475,1047550,JENNIE,like JENNIE
26,-4,sombr - undressed,75,15,,6039,-254.0,42868,-302,410376,sombr,undressed
27,-3,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",323,16,,6027,-87.0,42339,282,1838684,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
28,-2,Gigi Perez - Sailor Song,301,7,,5946,56.0,40078,-101,2326255,Gigi Perez,Sailor Song
29,-1,Dionela - Marilag,219,9,,5897,88.0,38916,585,1840389,Dionela,Marilag
30,+7,Yb Wasg'ood - LUNA BALA - Slowed (w/ Ariis),38,28,,5842,560.0,37055,857,176648,Yb Wasg'ood,LUNA BALA - Slowed (w/ Ariis)
31,+3,Ed Sheeran - Azizam,73,14,,5812,452.0,38859,641,387177,Ed Sheeran,Azizam
32,-1,j-hope - Killin' It Girl (w/ GloRilla),7,29,,5792,204.0,32615,5792,32615,j-hope,Killin' It Girl (w/ GloRilla)
33,+2,Charli xcx - party 4 u,66,23,,5681,326.0,38596,-541,357687,Charli xcx,party 4 u
34,+6,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,17,,5413,378.0,35919,-510,122001,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
35,-3,WizTheMc - Show Me Love (w/ bees & honey),107,18,,5334,-137.0,37822,-186,622526,WizTheMc,Show Me Love (w/ bees & honey)
36,-9,Jung Kook - Seven (w/ Latto),707,1,(x71),5297,-554.0,37475,-884,6522009,Jung Kook,Seven (w/ Latto)
37,-4,yung kai - blue,198,16,,5288,-94.0,36916,-46,1296549,yung kai,blue
38,+14,Nihal Sadiq - Chirapunji (w/ Hanan Shaah),4,38,,5182,623.0,16189,5182,16189,Nihal Sadiq,Chirapunji (w/ Hanan Shaah)
39,+6,The Weeknd - Starboy (w/ Daft Punk),1661,10,,5154,365.0,35099,295,6444839,The Weeknd,Starboy (w/ Daft Punk)
40,+8,Don Toliver - No Pole,247,14,,5087,431.0,34132,-382,1549437,Don Toliver,No Pole
41,+1,One Direction - Night Changes,1244,5,,5057,158.0,32912,461,4707785,One Direction,Night Changes
42,-6,Afusic - Pal Pal (w/ AliSoomroMusic),83,5,,5049,-262.0,36955,-257,629651,Afusic,Pal Pal (w/ AliSoomroMusic)
