Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,133,1,(x93),284666,6560.0,2021220,-12476,32412668,Alex Warren,Ordinary
2,=,Sabrina Carpenter - Manchild,14,2,(x10),253735,6782.0,1806832,-17943,3422430,Sabrina Carpenter,Manchild
3,=,sombr - undressed,90,2,(x39),229964,1230.0,1589680,-14226,17396077,sombr,undressed
4,=,sombr - back to friends,96,3,(x24),214584,1404.0,1481421,-13395,14670167,sombr,back to friends
5,+1,"Fred again.. - Victory Lap (w/ Skepta, PlaqueBoyMax)",2,5,,183189,51439.0,314939,183189,314939,Fred again..,"Victory Lap (w/ Skepta, PlaqueBoyMax)"
6,-1,Ravyn Lenae - Love Me Not,117,4,,183006,6462.0,1239670,8866,14298195,Ravyn Lenae,Love Me Not
7,+2,Chappell Roan - Pink Pony Club,355,2,(x1),134869,7830.0,920365,8142,38349427,Chappell Roan,Pink Pony Club
8,=,Billie Eilish - BIRDS OF A FEATHER,400,1,(x39),131213,2254.0,897746,2506,101377601,Billie Eilish,BIRDS OF A FEATHER
9,-2,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,4,,127697,-1858.0,900307,-10545,2927041,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
10,+2,Teddy Swims - Lose Control,594,5,,126996,4783.0,883317,1062,94341510,Teddy Swims,Lose Control
11,-1,Gracie Abrams - That’s So True,245,1,(x79),125163,-1202.0,886862,1278,60174589,Gracie Abrams,That’s So True
12,+1,Benson Boone - Beautiful Things,518,1,(x33),122079,639.0,869189,1366,115162888,Benson Boone,Beautiful Things
13,+3,Disco Lines - No Broke Boys (w/ Tinashe),12,13,,122019,6876.0,756869,37340,1074205,Disco Lines,No Broke Boys (w/ Tinashe)
14,-3,The Goo Goo Dolls - Iris,1598,9,,122006,-3817.0,840257,1555,100377974,The Goo Goo Dolls,Iris
15,-1,Kendrick Lamar - luther,210,1,(x19),121813,1947.0,863208,-3842,36492821,Kendrick Lamar,luther
16,+3,Kendrick Lamar - All The Stars (w/ SZA),1319,2,(x13),118404,9485.0,770951,10142,94154314,Kendrick Lamar,All The Stars (w/ SZA)
17,-2,Chrystal - The Days - NOTION Remix (w/ NOTION),192,4,,116078,-433.0,801219,1271,30820097,Chrystal,The Days - NOTION Remix (w/ NOTION)
18,-1,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,2,(x17),115788,4483.0,803317,-92,65431486,Lady Gaga,Die With A Smile (w/ Bruno Mars)
19,-1,Shaboozey - A Bar Song (Tipsy),434,1,(x8),110773,1372.0,777275,3320,98830370,Shaboozey,A Bar Song (Tipsy)
20,=,Morgan Wallen - What I Want (w/ Tate McRae),35,7,,110163,1421.0,808348,-26508,4345467,Morgan Wallen,What I Want (w/ Tate McRae)
21,=,Lola Young - Messy,214,1,(x7),109581,2801.0,721224,6835,38084581,Lola Young,Messy
22,+1,ROSÉ - APT. (w/ Bruno Mars),245,1,(x26),106707,2357.0,765297,-1456,55966377,ROSÉ,APT. (w/ Bruno Mars)
23,-1,Gigi Perez - Sailor Song,324,4,,106394,-38.0,727985,-1325,49495237,Gigi Perez,Sailor Song
24,+8,Benson Boone - Mystical Magical,56,23,,104019,13280.0,685973,4650,4700840,Benson Boone,Mystical Magical
25,-1,Drake - NOKIA,126,2,(x2),101946,2061.0,723104,-7112,19346043,Drake,NOKIA
26,+1,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),407,1,(x1),101931,6612.0,691445,3387,83629520,Post Malone,I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen)
27,-2,Alex Warren - Bloodline (w/ Jelly Roll),28,6,,98370,-28.0,720924,-15104,3236737,Alex Warren,Bloodline (w/ Jelly Roll)
28,+13,Fleetwood Mac - Dreams - 2004 Remaster,2548,7,,96370,11900.0,630714,-13101,160271887,Fleetwood Mac,Dreams - 2004 Remaster
29,+7,Addison Rae - Fame is a Gun,21,24,,95839,7548.0,603392,9204,1637755,Addison Rae,Fame is a Gun
30,=,Sabrina Carpenter - Taste,302,1,(x56),95739,2322.0,630044,4974,59089277,Sabrina Carpenter,Taste
31,-3,Jessie Murph - Blue Strips,59,16,,93969,-364.0,667267,-11392,5800647,Jessie Murph,Blue Strips
32,-6,Tate McRae - Sports car,148,3,(x1),93784,-3009.0,651661,-1833,21918844,Tate McRae,Sports car
