Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,133,1,(x28),82071,-2411.0,589363,-6279,8975568,Alex Warren,Ordinary
2,=,Hamza - KYKY2BONDY,49,1,(x15),71239,870.0,483697,-2316,3668516,Hamza,KYKY2BONDY
3,=,Damso - Impardonnable,22,1,(x3),53170,501.0,370305,-13544,1466393,Damso,Impardonnable
4,=,GIMS - NINAO,119,2,(x2),49338,-1909.0,343248,2474,6344998,GIMS,NINAO
5,=,WizTheMc - Show Me Love (w/ bees & honey),114,4,,49328,9.0,343064,2296,4870924,WizTheMc,Show Me Love (w/ bees & honey)
6,=,Ed Sheeran - Azizam,73,4,,48182,333.0,335893,991,2772436,Ed Sheeran,Azizam
7,=,Lola Young - Messy,200,2,(x11),47594,365.0,329094,1223,10834932,Lola Young,Messy
8,=,Ravyn Lenae - Love Me Not,84,6,,46874,-214.0,318541,1938,2117882,Ravyn Lenae,Love Me Not
9,=,Pommelien Thijs - Atlas,91,1,(x45),42611,-3114.0,324944,-5130,7396182,Pommelien Thijs,Atlas
10,=,Damso - Pa Pa Paw (w/ SARAH SEY),21,4,,40186,-344.0,290722,-10580,1034250,Damso,Pa Pa Paw (w/ SARAH SEY)
11,+1,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",327,10,,36871,1264.0,250860,3472,8757097,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
12,-1,Nono La Grinta - Paris,44,6,,36866,-947.0,252421,-7342,1244267,Nono La Grinta,Paris
13,=,David Guetta - Beautiful People (w/ Sia),101,13,,35625,387.0,236204,3784,2823912,David Guetta,Beautiful People (w/ Sia)
14,+2,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",378,1,(x49),34197,1094.0,232169,2767,13900511,Adam Port,"Move (w/ Stryv, Keinemusik, Orso, Malachiii)"
15,=,Sabrina Carpenter - Manchild,14,13,,33598,-75.0,238638,-309,442309,Sabrina Carpenter,Manchild
16,+7,KeBlack - Melrose Place (w/ Guy2Bezbar),67,10,,33366,2094.0,213742,2478,1919692,KeBlack,Melrose Place (w/ Guy2Bezbar)
