Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Dj Caio Vieira - FAMOSINHA (w/ MC Meno K, Mc Rodrigo do CN)",36,1,(x5),1093663,-11987.0,7308990,176078,24357623,Dj Caio Vieira,"FAMOSINHA (w/ MC Meno K, Mc Rodrigo do CN)"
2,+1,Grupo Menos É Mais - P do Pecado - Ao Vivo (w/ Simone Mendes),50,1,(x16),1047172,143523.0,6652717,143382,46476213,Grupo Menos É Mais,P do Pecado - Ao Vivo (w/ Simone Mendes)
3,-1,Diego & Victor Hugo - Tubarões - Ao Vivo,126,1,(x46),1020788,78849.0,7126169,-693,117492084,Diego & Victor Hugo,Tubarões - Ao Vivo
4,+1,"Rafa e Junior - Ama Um Maloqueiro (w/ Hugo & Guilherme, DJ Ari SL)",27,4,,911477,74269.0,5853328,135302,16359061,Rafa e Junior,"Ama Um Maloqueiro (w/ Hugo & Guilherme, DJ Ari SL)"
5,-1,"DJ Biel Divulga - Tipo Nino Vs Kabrinha (w/ DJ Dozabri, Mc Lekão)",17,4,,847759,-32312.0,5423773,196185,9638751,DJ Biel Divulga,"Tipo Nino Vs Kabrinha (w/ DJ Dozabri, Mc Lekão)"
6,=,Danilo e Davi - Apaga Apaga Apaga - Ao Vivo,220,1,(x6),825257,96636.0,5394481,58368,105361571,Danilo e Davi,Apaga Apaga Apaga - Ao Vivo
7,+1,Simone Mendes - Saudade Proibida - Ao Vivo,77,1,(x3),759554,143754.0,4485809,277354,47743836,Simone Mendes,Saudade Proibida - Ao Vivo
8,-1,Diego & Victor Hugo - Entregador de Flor - Ao Vivo em Brasília,285,4,,722909,56492.0,4810788,2315,111976714,Diego & Victor Hugo,Entregador de Flor - Ao Vivo em Brasília
9,=,Zé Neto & Cristiano - Escondendo o Ouro - Ao Vivo,28,8,,674226,77189.0,4309790,72593,14611614,Zé Neto & Cristiano,Escondendo o Ouro - Ao Vivo
10,+1,Grupo Menos É Mais - Coração Partido (Corazón Partío) - Ao Vivo,292,1,(x4),673520,116968.0,4132938,139480,238099605,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo
11,-1,Henrique & Juliano - Última Saudade - Ao Vivo,266,1,(x11),666004,75533.0,4213493,79796,204941907,Henrique & Juliano,Última Saudade - Ao Vivo
