Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jimin - Who,336,1,(x215),17848,-1306.0,147289,-2544,8477684,Jimin,Who
2,=,V - Winter Ahead (w/ Park Hyo Shin),203,1,(x14),11361,-833.0,72306,3560,3405772,V,Winter Ahead (w/ Park Hyo Shin)
3,=,Jimin - Be Mine,336,2,(x60),10268,-386.0,71390,913,3801473,Jimin,Be Mine
4,=,madk1d - так похуй,90,2,(x14),9789,-66.0,69893,-1304,933584,madk1d,так похуй
5,+1,madk1d - ты че обиделась (w/ тёмный принц),98,4,,7656,7.0,53916,-775,698051,madk1d,ты че обиделась (w/ тёмный принц)
6,-1,Бонд с кнопкой - Кухни,36,4,,7424,-358.0,55346,-1202,278034,Бонд с кнопкой,Кухни
7,=,Icegergert - Наследство (w/ SKY RAE),56,7,,6866,119.0,47769,-213,316688,Icegergert,Наследство (w/ SKY RAE)
8,+1,kizaru - Fake ID (w/ Icegergert),70,1,(x7),6036,250.0,41982,-252,743359,kizaru,Fake ID (w/ Icegergert)
9,-1,KRISTIEE - Dirty,21,6,,5633,-471.0,43320,-1870,122434,KRISTIEE,Dirty
10,+5,Jung Kook - Seven (w/ Latto),704,1,(x5),5133,502.0,34881,818,3774607,Jung Kook,Seven (w/ Latto)
11,=,j-hope - Killin' It Girl (w/ GloRilla),7,10,,5117,-97.0,32952,5117,32952,j-hope,Killin' It Girl (w/ GloRilla)
12,-2,dope17 - болен (w/ mapt0v),166,10,,5107,-142.0,35564,-571,518175,dope17,болен (w/ mapt0v)
13,-1,Icegergert - Гектор,164,5,,4809,-90.0,34294,-178,891606,Icegergert,Гектор
14,=,Baby Melo - Сломана (w/ FADE031),133,8,,4396,-267.0,31886,-779,580120,Baby Melo,Сломана (w/ FADE031)
15,+4,Jimin - Who (Rock Remix),238,3,(x2),4242,100.0,28819,266,1693625,Jimin,Who (Rock Remix)
16,-3,Jimin - Like Crazy,308,3,(x1),4238,-520.0,31488,-390,1087914,Jimin,Like Crazy
17,+3,FRIENDLY THUG 52 NGG - Lost Angeles,595,3,(x3),4216,155.0,28005,106,4632863,FRIENDLY THUG 52 NGG,Lost Angeles
