Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,133,1,(x63),238901,5265.0,1743534,-13097,27154889,Alex Warren,Ordinary
2,=,Sabrina Carpenter - Manchild,14,1,(x6),220003,575.0,1665377,-50980,3570770,Sabrina Carpenter,Manchild
3,=,Morgan Wallen - What I Want (w/ Tate McRae),35,1,(x7),176566,891.0,1361398,-43418,8024803,Morgan Wallen,What I Want (w/ Tate McRae)
4,=,sombr - back to friends,96,4,,167976,-40.0,1170469,-7448,11715056,sombr,back to friends
5,+1,Ravyn Lenae - Love Me Not,116,5,,154222,6772.0,1066528,8104,11529376,Ravyn Lenae,Love Me Not
6,+1,Chappell Roan - Pink Pony Club,362,3,(x1),151082,5627.0,1107258,4888,39690677,Chappell Roan,Pink Pony Club
7,-2,sombr - undressed,89,2,(x1),145384,-3698.0,1034299,-9721,11570356,sombr,undressed
8,=,Shaboozey - A Bar Song (Tipsy),434,1,(x81),140779,729.0,1078689,-968,112438458,Shaboozey,A Bar Song (Tipsy)
9,=,Benson Boone - Beautiful Things,518,1,(x33),138080,2437.0,1020825,2109,109026810,Benson Boone,Beautiful Things
10,=,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,3,(x1),131431,-2442.0,948231,-12245,3103059,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
11,=,Drake - NOKIA,126,1,(x13),130167,174.0,960066,-10006,24423947,Drake,NOKIA
12,=,Post Malone - I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen),406,1,(x29),126954,6543.0,942989,1363,96356806,Post Malone,I Had Some Help (Feat. Morgan Wallen) (w/ Morgan Wallen)
13,+4,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x38),115402,2887.0,833394,-3430,65599638,Lady Gaga,Die With A Smile (w/ Bruno Mars)
14,-1,Morgan Wallen - Just In Case,91,3,(x6),115158,-2018.0,874441,-7939,11866069,Morgan Wallen,Just In Case
15,+1,Billie Eilish - BIRDS OF A FEATHER,399,2,(x1),114561,1983.0,806353,1952,82763582,Billie Eilish,BIRDS OF A FEATHER
16,+5,Benson Boone - Mystical Magical,56,15,,113206,5812.0,816630,-374,5722108,Benson Boone,Mystical Magical
17,-2,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",61,14,,112815,-970.0,838512,-6261,5521538,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
