Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Alex Warren - Ordinary,133,1,(x90),57865,-795.0,401384,-2533,6739693,Alex Warren,Ordinary
2,=,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",335,2,(x7),36891,1531.0,247251,3391,7773312,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
3,=,WizTheMc - Show Me Love (w/ bees & honey),132,2,(x18),34660,-65.0,234745,1845,4129665,WizTheMc,Show Me Love (w/ bees & honey)
4,=,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",378,1,(x40),32627,1773.0,217387,1937,10891143,Adam Port,"Move (w/ Stryv, Keinemusik, Orso, Malachiii)"
5,=,Ed Sheeran - Azizam,73,4,,31197,548.0,207478,1526,1629210,Ed Sheeran,Azizam
6,=,Hamza - KYKY2BONDY,49,2,(x11),29722,-591.0,208560,-2061,1671712,Hamza,KYKY2BONDY
7,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",94,5,,28812,-456.0,196822,-499,1778296,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
8,+1,Lola Young - Messy,199,3,(x8),27903,420.0,184595,2045,5774568,Lola Young,Messy
9,+1,Bad Bunny - DtMF,165,1,(x24),27794,673.0,188289,-580,6362467,Bad Bunny,DtMF
10,-2,GIMS - NINAO,119,5,,26654,-1260.0,186099,30,3341396,GIMS,NINAO
11,+2,Ravyn Lenae - Love Me Not,87,11,,24913,-106.0,165638,1265,1374070,Ravyn Lenae,Love Me Not
12,-1,Dardan - Tutto Bene (w/ Morad),14,2,(x6),24726,-1122.0,190600,-11811,443723,Dardan,Tutto Bene (w/ Morad)
13,-1,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,3,(x1),23719,-1769.0,154711,-2641,520222,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
14,=,ROSÉ - APT. (w/ Bruno Mars),245,1,(x38),23641,-325.0,165461,612,9972829,ROSÉ,APT. (w/ Bruno Mars)
15,=,KAROL G - Si Antes Te Hubiera Conocido,364,4,,23579,37.0,158258,707,7915409,KAROL G,Si Antes Te Hubiera Conocido
16,=,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",74,13,,22576,-541.0,159691,-1234,1309490,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
17,+4,Bad Bunny - NUEVAYoL,166,2,(x8),22067,577.0,146781,372,4542761,Bad Bunny,NUEVAYoL
18,=,sombr - back to friends,95,11,,21952,-440.0,150569,-710,1686424,sombr,back to friends
19,=,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1271,12,,21663,90.0,149392,739,19462618,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
20,=,FloyyMenor - Gata Only (w/ Cris Mj),454,1,(x84),21575,59.0,147932,-155,15629361,FloyyMenor,Gata Only (w/ Cris Mj)
21,-4,Black Eyed Peas - Rock That Body,22,17,,21392,-1055.0,136776,5181,318645,Black Eyed Peas,Rock That Body
22,+7,Linkin Park - The Emptiness Machine,287,1,(x38),20397,1506.0,116339,4726,7908523,Linkin Park,The Emptiness Machine
23,+1,David Guetta - Beautiful People (w/ Sia),104,23,,20315,170.0,130784,1965,1447733,David Guetta,Beautiful People (w/ Sia)
24,-2,Benson Boone - Beautiful Things,518,1,(x58),20238,12.0,139342,172,19459082,Benson Boone,Beautiful Things
25,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x36),19946,7.0,136857,-81,11500965,Lady Gaga,Die With A Smile (w/ Bruno Mars)
26,-3,Sabrina Carpenter - Manchild,14,8,,19591,-563.0,137628,-1785,279276,Sabrina Carpenter,Manchild
27,=,Billie Eilish - BIRDS OF A FEATHER,399,2,(x3),19480,48.0,134208,-116,12014672,Billie Eilish,BIRDS OF A FEATHER
28,-2,Dafina Zeqiri - Energy (w/ Luciano),21,2,(x2),19199,-667.0,147676,-5810,588828,Dafina Zeqiri,Energy (w/ Luciano)
29,+1,Mariana Froes - Vaitimbora (w/ Trinix),47,27,,18646,-80.0,126141,732,700393,Mariana Froes,Vaitimbora (w/ Trinix)
30,+2,Jazeek - AKON,84,2,(x4),17377,-868.0,119278,-150,2175110,Jazeek,AKON
31,+18,CYRIL - Stumblin' In,491,5,,17217,803.0,113689,1487,9922008,CYRIL,Stumblin' In
32,+4,Doechii - Anxiety,107,1,(x5),17209,-46.0,119216,-928,3048999,Doechii,Anxiety
33,=,sombr - undressed,89,11,,17153,-878.0,120090,-951,1482430,sombr,undressed
34,+11,Teddy Swims - Lose Control,589,2,(x9),17065,334.0,118534,-243,14867056,Teddy Swims,Lose Control
35,+4,Sabrina Carpenter - Espresso,434,2,(x14),17011,6.0,118256,568,11075877,Sabrina Carpenter,Espresso
36,-2,Lord Huron - The Night We Met,1200,12,,16689,-810.0,114076,-1699,13843383,Lord Huron,The Night We Met
37,+10,Don Omar - Danza Kuduro (w/ Lucenzo),1479,17,,16673,175.0,112618,1911,15879750,Don Omar,Danza Kuduro (w/ Lucenzo)
38,-1,Gracie Abrams - That’s So True,241,1,(x1),16549,-569.0,113913,547,7292759,Gracie Abrams,That’s So True
