Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Yzomandias - KSN - PINTLICH REMIX (w/ P T K, Robin Zoot, Nik Tendo, Ektor, PINTLICH)",16,1,(x15),71206,1375.0,524537,-16535,1296053,Yzomandias,"KSN - PINTLICH REMIX (w/ P T K, Robin Zoot, Nik Tendo, Ektor, PINTLICH)"
2,=,Ektor - PTSD,22,1,(x5),57255,925.0,417326,-19557,1586698,Ektor,PTSD
3,=,"Pil C - studené srdce (w/ Luca Brassi10x, Karlo, G1nter)",14,3,(x6),46695,651.0,314608,-2658,677728,Pil C,"studené srdce (w/ Luca Brassi10x, Karlo, G1nter)"
4,=,"Pil C - dole (w/ Luca Brassi10x, Dollar Prync)",14,4,,44392,-523.0,271932,7675,538207,Pil C,"dole (w/ Luca Brassi10x, Dollar Prync)"
5,+3,Calin - Pistacie (w/ Sofian Medjmedj),193,1,(x115),42146,1299.0,287141,187,14619294,Calin,Pistacie (w/ Sofian Medjmedj)
6,-1,Sara Rikas - Talk2me (w/ Yzomandias),65,1,(x27),42007,-1320.0,303974,-7945,4299792,Sara Rikas,Talk2me (w/ Yzomandias)
7,-1,Neny - Valčík,37,1,(x1),41839,-1102.0,302879,-9845,1824558,Neny,Valčík
8,-1,G1nter - Drž Píču,22,4,,40670,-493.0,287604,-8732,882047,G1nter,Drž Píču
9,+1,Alex Warren - Ordinary,133,4,,39264,966.0,267466,-2885,4228400,Alex Warren,Ordinary
10,+1,Viktor Sheen - Syndrom,224,1,(x26),37780,640.0,276974,-3927,10579538,Viktor Sheen,Syndrom
11,-2,THE MAG - Homerun (w/ G1nter),11,3,(x1),37668,-2315.0,274816,-12842,479320,THE MAG,Homerun (w/ G1nter)
12,=,Slavíček - Až po uši,44,1,(x10),35812,-1283.0,256405,-5667,2258045,Slavíček,Až po uši
13,+4,Ewa Farna - Na ostří nože,37,1,(x2),33429,2881.0,233365,-2574,1133864,Ewa Farna,Na ostří nože
14,-1,Robin Zoot - Sezóna (w/ Viktor Sheen),25,3,(x1),31368,-395.0,229894,-9464,1105731,Robin Zoot,Sezóna (w/ Viktor Sheen)
15,+1,sombr - back to friends,109,12,,31348,768.0,204170,1320,2453954,sombr,back to friends
16,+3,Black Eyed Peas - Rock That Body,31,16,,30846,1064.0,190048,6728,577184,Black Eyed Peas,Rock That Body
17,-2,"Separ - Body to body (w/ French Montana, Peter Pann)",82,4,,30838,-175.0,207199,580,2704220,Separ,"Body to body (w/ French Montana, Peter Pann)"
18,+2,THE MAG - Traphouse (w/ Chawo),11,13,,29372,-139.0,198465,-6213,333470,THE MAG,Traphouse (w/ Chawo)
19,-5,Viktor Sheen - Pátky,224,6,,29188,-1894.0,190986,587,6410165,Viktor Sheen,Pátky
20,-2,Calin - Vítej mezi náma (w/ STEIN27),193,2,(x51),28532,-1482.0,197578,3598,8522029,Calin,Vítej mezi náma (w/ STEIN27)
21,=,Sara Rikas - Cigarety (w/ Matej Turcer),57,2,(x14),27996,-1410.0,198368,-4485,2511872,Sara Rikas,Cigarety (w/ Matej Turcer)
22,=,Linkin Park - The Emptiness Machine,287,1,(x34),27732,-466.0,187450,7430,9561984,Linkin Park,The Emptiness Machine
23,+1,G1nter - Throwaways,39,20,,26116,-1049.0,182475,-3271,797985,G1nter,Throwaways
24,-1,G1nter - Slang,6,13,,25864,-1386.0,167762,25864,167762,G1nter,Slang
25,+1,Sara Rikas - Iné Plemená (w/ Viktor Sheen),189,3,(x3),25852,-451.0,178372,-3045,4738028,Sara Rikas,Iné Plemená (w/ Viktor Sheen)
26,+8,Robin Zoot - Givenchy,727,2,(x29),25735,2840.0,168830,470,18168929,Robin Zoot,Givenchy
27,-2,Sara Rikas - Ups and downs,57,4,,25620,-830.0,176819,-2694,2031666,Sara Rikas,Ups and downs
28,=,"Yzomandias - Painkillers (w/ P T K, Luca Brassi10x)",210,4,,25246,-35.0,173647,-3204,5006268,Yzomandias,"Painkillers (w/ P T K, Luca Brassi10x)"
29,-2,G1nter - Wannabe's (w/ Young Sagvan),39,22,,25240,-779.0,173057,-2797,740169,G1nter,Wannabe's (w/ Young Sagvan)
30,+6,"Pitbull - Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)",407,10,,24938,2696.0,132568,9836,5064549,Pitbull,"Give Me Everything (w/ Ne-Yo, AFROJACK, Nayer)"
31,-2,Yzomandias - KSN (w/ P T K),210,2,(x31),24883,-86.0,186511,-4160,7475414,Yzomandias,KSN (w/ P T K)
32,+1,Hard Rico - Narcos (w/ Yzomandias),385,1,(x81),24097,1035.0,162435,1545,16180942,Hard Rico,Narcos (w/ Yzomandias)
33,-2,Calin - Safír (w/ Viktor Sheen),867,1,(x197),23862,-240.0,156693,3727,34722662,Calin,Safír (w/ Viktor Sheen)
34,-4,sombr - undressed,88,14,,23840,-698.0,157611,-159,1777425,sombr,undressed
35,+3,Ravyn Lenae - Love Me Not,81,35,,22880,1098.0,150229,881,1336972,Ravyn Lenae,Love Me Not
36,+4,Linkin Park - In the End,2632,1,(x1),22712,1274.0,151169,5030,16713869,Linkin Park,In the End
37,=,Katannah - 415 ft. Robin Zoot (w/ Robin Zoot),84,7,,22708,807.0,153728,-2077,2174585,Katannah,415 ft. Robin Zoot (w/ Robin Zoot)
38,+1,Ben Cristovao - FANCY (w/ Sofian Medjmedj),35,6,,21774,250.0,160904,-8930,952945,Ben Cristovao,FANCY (w/ Sofian Medjmedj)
39,-4,G1nter - Close (w/ Deetray),23,27,,21267,-1075.0,147177,-2648,481862,G1nter,Close (w/ Deetray)
40,+1,Sofian Medjmedj - Slzy (w/ Ben Cristovao),789,3,(x10),21047,-143.0,156449,-3729,18911398,Sofian Medjmedj,Slzy (w/ Ben Cristovao)
41,+11,Pitbull - Timber (w/ Kesha),575,23,,20760,1745.0,119711,6826,5443840,Pitbull,Timber (w/ Kesha)
42,-10,Separ - Nehaj tak (w/ SpecialBeatz),82,3,(x1),20665,-2649.0,163285,-5032,2288237,Separ,Nehaj tak (w/ SpecialBeatz)
43,+7,Linkin Park - Numb,1881,4,,20372,1225.0,135651,4660,12966687,Linkin Park,Numb
44,+2,Calin - Suave,385,2,(x14),20355,492.0,134894,495,12691118,Calin,Suave
45,-2,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,14,,20127,-789.0,149823,-7686,495885,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
46,-4,Viktor Sheen - Cígo a káva (w/ Saul),224,2,(x3),19992,-1039.0,148303,-1557,8766763,Viktor Sheen,Cígo a káva (w/ Saul)
47,-3,Renne Dang - v cizí posteli,14,23,,19799,-531.0,135002,-3687,305807,Renne Dang,v cizí posteli
48,=,WizTheMc - Show Me Love (w/ bees & honey),123,19,,19790,136.0,135875,910,2314916,WizTheMc,Show Me Love (w/ bees & honey)
49,+13,Sofian Medjmedj - VMBR,537,39,,19525,1519.0,121439,1913,6679129,Sofian Medjmedj,VMBR
50,+8,ŠKWOR - Síla Starejch Vín,2389,5,,19493,1406.0,150810,1229,27024106,ŠKWOR,Síla Starejch Vín
51,-6,"Yzomandias - Svoboda (w/ P T K, Sara Rikas)",210,13,,19381,-907.0,129274,-2285,3969412,Yzomandias,"Svoboda (w/ P T K, Sara Rikas)"
