Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+4,Zartmann - tau mich auf,140,1,(x39),360987,-11989.0,2540272,-16894,78630388,Zartmann,tau mich auf
2,+1,Alex Warren - Ordinary,133,1,(x1),356492,-18670.0,2548697,-30379,44518277,Alex Warren,Ordinary
3,-2,Jazeek - AKON,84,1,(x35),351952,-47102.0,2531885,-19063,44618316,Jazeek,AKON
4,-2,Pashanim - Shabab(e)s im VIP (w/ Ceren),51,1,(x41),351093,-46950.0,2659148,-71537,32247107,Pashanim,Shabab(e)s im VIP (w/ Ceren)
5,-1,Aymen - Capri Sun (w/ Amo),21,3,(x1),327308,-46056.0,2376128,-22231,7364404,Aymen,Capri Sun (w/ Amo)
6,=,Nina Chuba - Wenn das Liebe ist,21,1,(x3),274383,-37135.0,2078431,-70383,7735144,Nina Chuba,Wenn das Liebe ist
7,=,Dardan - Tutto Bene (w/ Morad),14,1,(x1),254398,-43257.0,2077613,-132680,4596576,Dardan,Tutto Bene (w/ Morad)
8,+3,WizTheMc - Show Me Love (w/ bees & honey),133,4,,246620,-1582.0,1701826,10981,33740099,WizTheMc,Show Me Love (w/ bees & honey)
9,=,Tream - DRAGO AUGUSTINO (w/ treamiboii),14,8,,245428,-32067.0,1621302,11161,3220373,Tream,DRAGO AUGUSTINO (w/ treamiboii)
10,-2,YUNG SAINT PAUL - Camilla,28,8,,240707,-39917.0,1766418,-52491,5594756,YUNG SAINT PAUL,Camilla
11,-1,Haaland936 - Coração (w/ Amo),7,10,,235647,-24786.0,1632152,235647,1632152,Haaland936,Coração (w/ Amo)
12,+2,Roy Bianco & Die Abbrunzati Boys - Bella Napoli,73,12,,226209,-3266.0,1498360,32212,8316113,Roy Bianco & Die Abbrunzati Boys,Bella Napoli
13,=,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",74,8,,223558,-19451.0,1645617,-21431,13246210,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
14,+4,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",335,11,,222801,10418.0,1462972,27322,52737030,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
15,-3,Linkin Park - The Emptiness Machine,287,1,(x68),216128,-28078.0,1471570,9368,102096932,Linkin Park,The Emptiness Machine
16,+1,Oimara - Wackelkontakt,155,1,(x13),211296,-1291.0,1517504,10976,63236982,Oimara,Wackelkontakt
