Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Benny Jamz - Bipolar (w/ Gilli, KESI, Lamin, B.O.C)",12,1,(x4),113996,634.0,761784,17333,1236076,Benny Jamz,"Bipolar (w/ Gilli, KESI, Lamin, B.O.C)"
2,=,Annika - Stolt (w/ Lamin),43,1,(x38),112171,3428.0,778193,-12128,6594028,Annika,Stolt (w/ Lamin)
3,=,APHACA - En drøm om et menneske,42,2,(x24),94219,6255.0,677406,-18697,4445765,APHACA,En drøm om et menneske
4,+1,APHACA - Smelter Under Månen,304,3,(x3),76089,-1734.0,550378,-7043,13172532,APHACA,Smelter Under Månen
5,-1,Noah Carter - Pogba (w/ Gilli),7,4,,75281,-2956.0,534626,75281,534626,Noah Carter,Pogba (w/ Gilli)
6,=,"Anton Westerlin - Hørt Det Før (w/ Pil, Annika, Mille, Medina)",28,2,(x1),70150,-180.0,517082,-17019,2407302,Anton Westerlin,"Hørt Det Før (w/ Pil, Annika, Mille, Medina)"
7,=,Omar - Hele Vejen (w/ Mumle),133,1,(x37),65795,1489.0,473565,-10190,10922192,Omar,Hele Vejen (w/ Mumle)
8,=,Annika - Bar bund (w/ Gilli),43,3,(x11),64781,2060.0,439541,-6750,3572289,Annika,Bar bund (w/ Gilli)
9,=,APHACA - Et sted hvor vi de første,112,2,(x10),62794,2973.0,438526,-247,6997387,APHACA,Et sted hvor vi de første
10,=,Alex Warren - Ordinary,133,1,(x5),58645,1861.0,403685,-5186,8226899,Alex Warren,Ordinary
11,=,Anton Westerlin - Blodigt (w/ Annika),147,1,(x32),56202,-40.0,390043,-3976,10800066,Anton Westerlin,Blodigt (w/ Annika)
12,=,Annika - Bliv her lidt endnu (w/ JOSVA),43,1,(x1),53925,813.0,372033,-4261,3562050,Annika,Bliv her lidt endnu (w/ JOSVA)
13,=,Tobias Rahim - TÆT PÅ (w/ Delara),42,8,,53186,702.0,327694,8053,2316578,Tobias Rahim,TÆT PÅ (w/ Delara)
14,=,"Anton Westerlin - Handsome (w/ Benjamin Hav, JOSVA, Gilli)",35,2,(x1),51294,1476.0,356604,-11100,2589051,Anton Westerlin,"Handsome (w/ Benjamin Hav, JOSVA, Gilli)"
15,+2,Annika - Du ik værd at græde for (w/ Sira Jovina),43,5,,46517,2234.0,314916,-6330,2786616,Annika,Du ik værd at græde for (w/ Sira Jovina)
16,+2,Sabrina Carpenter - Manchild,14,14,,44898,1044.0,319900,-6325,620915,Sabrina Carpenter,Manchild
17,+5,Mille - kendt mig en uge,91,6,,44204,2788.0,300678,-5975,4465251,Mille,kendt mig en uge
18,-2,Lamin - De Her Timer,396,2,(x4),43562,-1533.0,311203,-8531,14177060,Lamin,De Her Timer
19,=,Gobs - igen & igen (w/ One Two),84,1,(x6),43376,-135.0,305129,-7351,5516442,Gobs,igen & igen (w/ One Two)
20,-5,"Noah Carter - ETC (w/ Benny Jamz, Lamin)",7,8,,42396,-2998.0,361634,42396,361634,Noah Carter,"ETC (w/ Benny Jamz, Lamin)"
21,+5,Benjamin Hav - Du ligner din mor (w/ Lukas Graham),175,1,(x19),40897,1935.0,293838,-3233,10483517,Benjamin Hav,Du ligner din mor (w/ Lukas Graham)
22,-1,Gilli - Rene Hjerter,49,1,(x1),40590,-1063.0,288913,-7153,3092458,Gilli,Rene Hjerter
23,+4,Ed Sheeran - Azizam,73,8,,39906,1717.0,275091,-2327,3345640,Ed Sheeran,Azizam
24,-4,Noah Carter - In-Ears (w/ KESI),7,13,,39741,-2861.0,318053,39741,318053,Noah Carter,In-Ears (w/ KESI)
25,+6,Annika - Luk Mig Ind,203,2,(x3),39483,2907.0,251385,3523,10531037,Annika,Luk Mig Ind
26,-3,Lamin - Kun Os,84,1,(x4),39177,-992.0,279745,-7304,5407937,Lamin,Kun Os
27,-3,Benny Jamz - Reposado (w/ Gilli),364,2,(x19),39051,-779.0,307799,-10218,18237522,Benny Jamz,Reposado (w/ Gilli)
28,-3,Thor Farlov - Interesseret (w/ Noah Carter),21,9,,38597,-763.0,308764,-17446,1054453,Thor Farlov,Interesseret (w/ Noah Carter)
29,=,Mumle - Hvor Solen Ik' Skinner (w/ Svea S),335,12,,37442,467.0,265769,-3817,11310388,Mumle,Hvor Solen Ik' Skinner (w/ Svea S)
30,-2,"Anton Westerlin - Entré (w/ Lamin, ozzy)",105,1,(x14),37240,210.0,262819,-5699,6154503,Anton Westerlin,"Entré (w/ Lamin, ozzy)"
31,-1,MORTEN - Aura (w/ Nik & Jay),14,6,,37140,358.0,257250,-5177,561291,MORTEN,Aura (w/ Nik & Jay)
32,+2,Mumle - Det Modsatte,560,6,,37041,2342.0,254333,615,18042182,Mumle,Det Modsatte
33,-1,Gilli - Tilbage,49,1,(x2),36932,1306.0,248670,-3018,3054708,Gilli,Tilbage
34,+1,Skinz - Åboulevarden,56,10,,34924,965.0,246213,-7300,2574518,Skinz,Åboulevarden
35,+11,Annika - Knuser Hjerter,482,5,,34822,5678.0,194998,8651,18000075,Annika,Knuser Hjerter
36,-3,Lamin - Hva Du På (w/ Gilli),384,1,(x34),34638,-71.0,250924,-3354,17993700,Lamin,Hva Du På (w/ Gilli)
37,-1,APHACA - Hjertet På Gaden,153,17,,32694,-5.0,231974,-1906,4147518,APHACA,Hjertet På Gaden
38,+3,Kundo - Hold Min Hånd (w/ Samantha Mercano),22,16,,32645,1002.0,232104,-9208,754999,Kundo,Hold Min Hånd (w/ Samantha Mercano)
39,+4,Artigeardit - Seaside,71,1,(x1),31671,593.0,218678,-5110,3851630,Artigeardit,Seaside
