Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Beéle - top diesel,35,1,(x5),30787,-1078.0,214367,4022,742404,Beéle,top diesel
2,=,Beéle - no tiene sentido,35,1,(x12),29552,-1462.0,217417,-1519,886933,Beéle,no tiene sentido
3,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",116,1,(x33),27157,-1592.0,203701,-620,2844871,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
4,=,Beéle - Mi Refe (w/ Ovy On The Drums),193,2,(x7),24909,-734.0,177700,1774,4433229,Beéle,Mi Refe (w/ Ovy On The Drums)
5,+1,Beéle - si te pillara,33,5,,23101,-934.0,158059,3077,458212,Beéle,si te pillara
6,-1,Beéle - sobelove,105,3,(x7),22924,-1563.0,167788,1194,2293593,Beéle,sobelove
7,=,Bad Bunny - BAILE INoLVIDABLE,166,1,(x55),19419,-271.0,142579,-220,6083418,Bad Bunny,BAILE INoLVIDABLE
8,=,Rochy RD - Lean,72,2,(x4),17858,-641.0,129736,-78,1211076,Rochy RD,Lean
9,+1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,2,(x21),17440,-606.0,128934,-353,5068679,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
10,-1,Beéle - quédate,35,8,,17367,-814.0,129261,-690,504222,Beéle,quédate
11,=,Yari M - Sin Ti,139,1,(x4),16660,-1231.0,117105,4394,3291030,Yari M,Sin Ti
12,+1,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),333,12,,15850,-1329.0,114457,609,3251255,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
13,+3,Jey One - Suave,79,9,,15704,319.0,111983,2302,1201127,Jey One,Suave
14,+1,Bad Bunny - DtMF,166,1,(x11),15342,-242.0,110725,-538,4940268,Bad Bunny,DtMF
15,-1,Beéle - Frente al Mar,266,10,,15262,-414.0,110180,613,3525267,Beéle,Frente al Mar
16,+3,Luis Brown - LIPO,16,16,,14844,485.0,90082,4562,169731,Luis Brown,LIPO
17,-5,Bad Bunny - KLOuFRENS,166,8,,14811,-2754.0,114700,-1037,3455081,Bad Bunny,KLOuFRENS
18,-1,Jin - Don’t Say You Love Me,35,9,,14254,-661.0,106443,-1269,500821,Jin,Don’t Say You Love Me
19,+4,Bad Bunny - NUEVAYoL,166,1,(x4),13709,513.0,97951,475,4778240,Bad Bunny,NUEVAYoL
20,-2,Lil Naay - OTRO SISTEMA (w/ Huan62),121,2,(x5),13647,-1249.0,104867,-893,2573197,Lil Naay,OTRO SISTEMA (w/ Huan62)
21,+1,Bad Bunny - EoO,166,6,,13274,-110.0,96820,-712,3828901,Bad Bunny,EoO
22,+2,Alleh - capaz (merengueton) (w/ Yorghaki),196,16,,12746,-446.0,89420,1483,2708907,Alleh,capaz (merengueton) (w/ Yorghaki)
23,+2,Bad Bunny - VOY A LLeVARTE PA PR,166,2,(x1),12585,-60.0,92848,-1050,3975099,Bad Bunny,VOY A LLeVARTE PA PR
24,+2,Luis Brown - MA BUENA,56,15,,12287,-271.0,90543,-385,747101,Luis Brown,MA BUENA
25,-4,"Huan62 - L NAMA (w/ Lil Naay, Dowba Montana)",163,4,,12144,-1361.0,96202,-786,3057210,Huan62,"L NAMA (w/ Lil Naay, Dowba Montana)"
26,+9,Dowba Montana - Rulay,29,19,,12003,1141.0,83560,-974,380175,Dowba Montana,Rulay
27,=,"Piso 21 - Volver (w/ Marc Anthony, Beéle)",130,24,,11961,-204.0,88140,-755,1269764,Piso 21,"Volver (w/ Marc Anthony, Beéle)"
28,-8,Mora - DETRÁS DE TU ALMA,32,13,,11576,-2035.0,97486,-4038,387703,Mora,DETRÁS DE TU ALMA
29,=,Lil Naay - Pa Tripea (w/ Huan62),156,3,(x1),11087,-603.0,84492,-467,2539028,Lil Naay,Pa Tripea (w/ Huan62)
30,+9,j-hope - Killin' It Girl (w/ GloRilla),7,30,,10630,272.0,52152,10630,52152,j-hope,Killin' It Girl (w/ GloRilla)
31,=,"Lil Naay - 3.5 (w/ Huan62, Kookies)",78,8,,10607,-727.0,81371,-339,1054819,Lil Naay,"3.5 (w/ Huan62, Kookies)"
32,-4,Lil Naay - Mami,241,12,,10529,-1245.0,75153,1243,3098001,Lil Naay,Mami
33,+3,Danny Ocean - Imagínate (w/ Kapo),222,15,,10377,-82.0,73484,324,3096452,Danny Ocean,Imagínate (w/ Kapo)
34,=,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),217,1,(x1),10350,-596.0,74314,-381,4195327,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
