Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,مصطفي الجن و هادي الصغير - تيم الابداع - بعبع دايرتى,120,1,(x41),111682,992.0,776336,-9228,10817275,مصطفي الجن و هادي الصغير,تيم الابداع - بعبع دايرتى
2,=,Lege-Cy - LAW NASYANY (w/ Ismail Nosrat),21,1,(x7),101171,1851.0,737065,-24462,2392541,Lege-Cy,LAW NASYANY (w/ Ismail Nosrat)
3,=,Essam Sasa - محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا,65,2,(x37),92722,1195.0,643113,-11093,6749386,Essam Sasa,محكمه ودخلنا علي المفرمه - افتري و عوجلي شعره لورا
4,=,Eslam Kabonga - انا لبسي اوفر سايز (w/ Figo El Dakhlawy),71,3,(x1),81300,-788.0,576250,-13831,3921504,Eslam Kabonga,انا لبسي اوفر سايز (w/ Figo El Dakhlawy)
5,=,Tamer Hosny - Maleket Gamal El Kon (w/ AL SHAMI),26,5,,79891,2857.0,506125,6956,1478935,Tamer Hosny,Maleket Gamal El Kon (w/ AL SHAMI)
6,=,Eslam Kabonga - انا مش ديلار يا حكومه,166,1,(x50),78128,2961.0,531539,-6412,13119668,Eslam Kabonga,انا مش ديلار يا حكومه
7,=,"مصطفي الجن و هادي الصغير - تيم الابداع - كاتم الانفاس - محطوط تشكيل (w/ Mostafa Elgen, Hady El Soghayar)",176,1,(x10),77797,4177.0,538683,-7029,12811553,مصطفي الجن و هادي الصغير,"تيم الابداع - كاتم الانفاس - محطوط تشكيل (w/ Mostafa Elgen, Hady El Soghayar)"
8,=,Wegz - ELWA3D,64,1,(x32),66310,222.0,458580,-4245,6505755,Wegz,ELWA3D
9,=,Rahma Mohsen - حفلة تنكرية,96,5,,63092,2019.0,432489,-3709,5979364,Rahma Mohsen,حفلة تنكرية
10,+1,Bahaa Sultan - صحبي يا صحبي,98,2,(x2),59872,5358.0,398426,-8019,7067183,Bahaa Sultan,صحبي يا صحبي
11,-1,مصطفي الجن و هادي الصغير - تيم الابداع - انت هتيجى معايا - انا شغال طلبات,22,10,,58165,2601.0,376476,8621,851155,مصطفي الجن و هادي الصغير,تيم الابداع - انت هتيجى معايا - انا شغال طلبات
12,=,Marwan Moussa - KALEMENY BELEL (w/ Lege-Cy),46,3,(x1),52282,-2140.0,377655,-6177,3083694,Marwan Moussa,KALEMENY BELEL (w/ Lege-Cy)
13,=,Tamer Ashour - Makrehtosh,155,2,(x1),49317,-720.0,346880,-3375,7229666,Tamer Ashour,Makrehtosh
14,+1,Essam Sasa - ولاد الشمس,114,4,,47638,99.0,346962,-8302,6377102,Essam Sasa,ولاد الشمس
15,-1,Tommy Gun - Emshy (w/ Rally),174,3,(x12),47233,-768.0,328219,-1103,8504688,Tommy Gun,Emshy (w/ Rally)
16,=,Essam Sasa - رجع القائد رجع الفائد - اهلا بيكو رجعت ارازيكو,21,15,,47166,1528.0,314552,7514,769460,Essam Sasa,رجع القائد رجع الفائد - اهلا بيكو رجعت ارازيكو
17,+2,Essam Sasa - فى زنزانتى يانفسي تعبتى واتهانتى,83,2,(x2),45707,1710.0,298056,-1835,4208137,Essam Sasa,فى زنزانتى يانفسي تعبتى واتهانتى
18,=,Tamer Ashour - Ghebet El Habayeb,154,18,,44290,-58.0,282075,2690,3433365,Tamer Ashour,Ghebet El Habayeb
19,+4,Karim Osama - Kadaba,126,3,(x1),43441,3997.0,274208,3326,5734041,Karim Osama,Kadaba
20,-3,Ramy Sabry - Seket Leh,367,9,,41994,-2519.0,287881,928,9661727,Ramy Sabry,Seket Leh
21,+4,Youssif Elashry - اتنسينا,237,1,(x33),41678,2504.0,264048,1571,13311530,Youssif Elashry,اتنسينا
22,-1,Ramy Sabry - لما بيوحشني,785,10,,40796,452.0,261280,-1369,17422393,Ramy Sabry,لما بيوحشني
23,+5,Saint Levant - KALAMANTINA / كلمنتينا (w/ Marwan Moussa),83,17,,40789,2995.0,251182,4186,2245192,Saint Levant,KALAMANTINA / كلمنتينا (w/ Marwan Moussa)
24,-2,Tamer Ashour - هيجيلي موجوع,524,1,(x21),40707,664.0,287844,-4712,23395335,Tamer Ashour,هيجيلي موجوع
25,-5,Ramy Sabry - الحب عيبنا,100,5,,40371,-688.0,290661,-5369,4818743,Ramy Sabry,الحب عيبنا
26,-2,Ilmond - Yazmeely,688,2,(x10),39776,468.0,270724,-707,24778367,Ilmond,Yazmeely
27,+2,Amr Diab - Ragea,204,24,,38423,1049.0,227324,8216,3876768,Amr Diab,Ragea
28,-2,Tamer Ashour - Kan Mawdo3,934,16,,37584,-941.0,271038,-9006,16155076,Tamer Ashour,Kan Mawdo3
29,+4,Mahmoud El Esseily - حبيبي وابن حبيبي - من مسلسل كامل العدد ++,102,13,,37104,3354.0,238096,715,3560380,Mahmoud El Esseily,حبيبي وابن حبيبي - من مسلسل كامل العدد ++
30,-3,Tamer Ashour - Yaah,182,6,,36765,-1423.0,269608,-2517,6125205,Tamer Ashour,Yaah
31,-1,Wegz - البخت,1210,1,(x159),36008,280.0,249297,-1133,37231811,Wegz,البخت
32,=,زاد - Ana Meen,235,3,(x6),35232,-178.0,233611,1436,9419649,زاد,Ana Meen
33,+1,Afroto - KEBDA (w/ ONUY),291,1,(x10),35203,1580.0,238731,-1577,15666986,Afroto,KEBDA (w/ ONUY)
34,-3,Shehab - عالعموم,478,1,(x29),34346,-1364.0,238596,-413,20452451,Shehab,عالعموم
35,+4,TUL8TE - حبيبي ليه,330,1,(x66),34108,1544.0,222004,3482,18618495,TUL8TE,حبيبي ليه
36,+2,Cairokee - Basrah w Atooh,1001,3,(x5),33495,783.0,220340,1697,24295943,Cairokee,Basrah w Atooh
37,-2,Shehab - ستاموني,226,4,,33190,-270.0,219782,1693,7517675,Shehab,ستاموني
38,-1,Magdy El Zahar - خابط نفسي بسلاح حامي,46,34,,32845,-168.0,220141,3894,1030960,Magdy El Zahar,خابط نفسي بسلاح حامي
39,+1,Bahaa Sultan - انا من غيرك,235,1,(x29),32520,603.0,220927,-3483,12028269,Bahaa Sultan,انا من غيرك
40,-4,Tommy Gun - Etghayart (w/ Rally),170,12,,32269,-974.0,229249,-2555,4816779,Tommy Gun,Etghayart (w/ Rally)
41,+5,Essam Sasa - اول حاجه لما تكلمني تشيل ايدك من جيبك,13,36,,31697,1410.0,185574,8427,319944,Essam Sasa,اول حاجه لما تكلمني تشيل ايدك من جيبك
42,=,Magdy El Zahar - عشري بيعني انا,360,1,(x20),31148,320.0,203234,1333,17749389,Magdy El Zahar,عشري بيعني انا
43,-2,Wael Jassar - Zrouf Mandany,850,12,,31120,-384.0,217420,2726,19997271,Wael Jassar,Zrouf Mandany
44,+1,Youssif Elashry - انتي فاكره نفسك ايه ؟,581,6,,30617,284.0,198451,16,15947621,Youssif Elashry,انتي فاكره نفسك ايه ؟
45,+2,Amr Diab - خليك معايا,257,37,,30540,305.0,200408,561,4385528,Amr Diab,خليك معايا
46,-3,Billie Eilish - WILDFLOWER,320,13,,30209,-397.0,207907,-1325,7716568,Billie Eilish,WILDFLOWER
47,+1,Eslam Kabonga - انا لسه علي وضعي (w/ Ahmed Moza),27,46,,29374,31.0,193988,4878,553583,Eslam Kabonga,انا لسه علي وضعي (w/ Ahmed Moza)
48,+9,Mustafa El Gen - ياختى عليها حلوه سكره (w/ Hady Elsoghier),64,27,,29114,1860.0,189666,-2742,1713640,Mustafa El Gen,ياختى عليها حلوه سكره (w/ Hady Elsoghier)
49,+4,Mohamed Hamaki - و افتكرت,672,19,,28727,780.0,193485,785,13745977,Mohamed Hamaki,و افتكرت
50,-6,Angham - هو انت مين,323,12,,28484,-1907.0,180577,1847,7815161,Angham,هو انت مين
51,+8,Mahmoud El Leithy - سيبك من اللي خلع - من فيلم حمص وحلاوة (w/ Essam Sasa),616,1,(x73),28317,1645.0,197045,-2364,22916959,Mahmoud El Leithy,سيبك من اللي خلع - من فيلم حمص وحلاوة (w/ Essam Sasa)
52,-2,Bessan Ismail - خطية (w/ Fouad Jned),22,50,,27960,-371.0,165331,7802,413110,Bessan Ismail,خطية (w/ Fouad Jned)
53,-1,Marwan Pablo - KARMA (w/ Abyusif),203,1,(x29),27817,-140.0,188100,-422,10003191,Marwan Pablo,KARMA (w/ Abyusif)
54,+1,Eslam Kabonga - مالناش كبير كبيرنا فوق,240,9,,27758,66.0,179920,-1601,7277935,Eslam Kabonga,مالناش كبير كبيرنا فوق
55,-6,Marwan Pablo - Matafetch,571,3,(x3),27743,-889.0,186394,1099,15482539,Marwan Pablo,Matafetch
56,+12,Reda El Bahrawy - Aal Doghrey,345,4,,27661,2340.0,178272,-3058,11421002,Reda El Bahrawy,Aal Doghrey
57,+4,TUL8TE - Qesm El Shakawy,117,28,,27368,1202.0,185485,-3322,2794081,TUL8TE,Qesm El Shakawy
58,=,Ilmond - Rehla,819,1,(x2),27243,188.0,190284,-1350,17419520,Ilmond,Rehla
59,-5,Lege-Cy - El Neyya,295,1,(x2),27193,-506.0,191113,-2504,8245430,Lege-Cy,El Neyya
60,-9,Shehab - مرزمن,331,14,,27177,-1020.0,190893,496,9028741,Shehab,مرزمن
61,+6,Muslim - مُسلِم - Etabelna,395,8,,27172,1562.0,209723,-2471,12382563,Muslim,مُسلِم - Etabelna
62,=,Tamer Ashour - Tegy Ntrahn,1245,8,,26884,964.0,176359,-2117,19024861,Tamer Ashour,Tegy Ntrahn
63,-7,Marwan Pablo - BONO,80,5,,26801,-609.0,189763,-2609,3538705,Marwan Pablo,BONO
64,+6,Ramy Sabry - يمكن خير,888,1,(x2),26078,867.0,167265,3992,23562714,Ramy Sabry,يمكن خير
65,+7,مصطفي الجن و هادي الصغير - تيم الابداع - اعقل يا غشيم - كاتم الانفاس 2 (w/ Karim Cristiano),94,15,,25979,1190.0,174544,-764,2873026,مصطفي الجن و هادي الصغير,تيم الابداع - اعقل يا غشيم - كاتم الانفاس 2 (w/ Karim Cristiano)
66,+5,حمو رانجو - دكن دكن هنا مفيش مكان (w/ الصافي رايزو),166,16,,25791,828.0,169814,-297,3903945,حمو رانجو,دكن دكن هنا مفيش مكان (w/ الصافي رايزو)
67,-2,Wegz - عفاريت الأسفلت,1433,1,(x37),25509,-239.0,182606,-2027,18897211,Wegz,عفاريت الأسفلت
68,-4,Ramy Sabry - بحكي عليكي,274,18,,25429,-451.0,185070,-2779,6476842,Ramy Sabry,بحكي عليكي
69,+9,Muslim - مُسلِم - Mesh Nadman,1269,5,,25187,1763.0,157856,4845,22516715,Muslim,مُسلِم - Mesh Nadman
70,-7,Amr Diab - وهي ذكريات,803,22,,24951,-959.0,150166,4262,11981371,Amr Diab,وهي ذكريات
71,-5,Essam Sasa - وسط دموع وجراح,1451,11,,24938,-730.0,177343,-1273,18845220,Essam Sasa,وسط دموع وجراح
72,-12,Wael Jassar - نخبى ليه,582,18,,24836,-1448.0,161738,816,11384354,Wael Jassar,نخبى ليه
73,+3,Essam Sasa - الضرب ع العيون واجب - لبسو سهرو واصرفو,76,18,,24631,692.0,185494,-688,2265667,Essam Sasa,الضرب ع العيون واجب - لبسو سهرو واصرفو
74,-1,Amr Diab - Tamally Maak,1735,32,,24544,-159.0,167390,-792,13103338,Amr Diab,Tamally Maak
75,-1,Marwan Pablo - El Mabda2,571,1,(x7),24452,-199.0,166928,1076,17238795,Marwan Pablo,El Mabda2
76,+17,Amr Diab - سبت فراغ كبير,51,74,,24189,2875.0,125589,6883,813623,Amr Diab,سبت فراغ كبير
77,-8,Molotof - Denamet (w/ Marwan Pablo),1600,8,,24039,-1213.0,160185,2206,14694451,Molotof,Denamet (w/ Marwan Pablo)
78,+27,Ramy Gamal - جيت متأخر,567,6,,23366,3658.0,109189,3780,14291634,Ramy Gamal,جيت متأخر
79,+11,Amr Diab - Ana Ayesh,724,61,,23173,1651.0,151535,-88,9197323,Amr Diab,Ana Ayesh
80,+3,Sherine - كلام عينيه,653,2,(x9),22932,535.0,118758,7975,14183760,Sherine,كلام عينيه
81,=,Fadel Chaker - Ahla Rasma,52,59,,22924,272.0,151801,-389,1028765,Fadel Chaker,Ahla Rasma
82,+2,TUL8TE - ماتيجي اعدي عليكي,330,1,(x1),22910,587.0,151162,483,16147283,TUL8TE,ماتيجي اعدي عليكي
83,-3,Eslam Kabonga - وريتك الخير,123,10,,22830,-25.0,166871,-4607,2705948,Eslam Kabonga,وريتك الخير
84,-5,TUL8TE - LAYALINA,391,3,(x18),22725,-544.0,152286,-687,12761448,TUL8TE,LAYALINA
85,+15,Mostafa Elgen - الشارع اتفسد - اهلا بيكو يا مظابيط (w/ Hady El Soghayar),175,9,,22702,1911.0,145935,-447,4520431,Mostafa Elgen,الشارع اتفسد - اهلا بيكو يا مظابيط (w/ Hady El Soghayar)
86,-1,Tamer Ashour - Khaleny Fe Hodnak,1227,5,,22539,252.0,162099,-3251,20415098,Tamer Ashour,Khaleny Fe Hodnak
87,-10,"Tommy Gun - 333 (w/ Lil Noby, Husayn)",344,21,,22116,-1785.0,154717,-1569,6358430,Tommy Gun,"333 (w/ Lil Noby, Husayn)"
88,+4,Karim Cristiano - حالق موليت ( اسمك كارفه في دايرتك ),33,78,,22065,749.0,147081,849,611727,Karim Cristiano,حالق موليت ( اسمك كارفه في دايرتك )
89,+17,Amr Diab - Awel Kol Haga,45,89,,21929,2512.0,136026,1009,827820,Amr Diab,Awel Kol Haga
90,-4,Sherine - Ala Bali,775,63,,21678,-555.0,147079,1077,10167171,Sherine,Ala Bali
91,-16,Ramy Sabry - بتفتكرني ساعات,534,26,,21659,-2465.0,170863,-4832,6771509,Ramy Sabry,بتفتكرني ساعات
92,+6,Teefo - سامعك,201,31,,21633,688.0,142786,1068,4012510,Teefo,سامعك
93,+3,Dj Guuga - Vidrado Em Você (w/ Mc Livinho),97,16,,21537,449.0,148109,-1912,2754870,Dj Guuga,Vidrado Em Você (w/ Mc Livinho)
94,-7,Assala Nasri - Fouq,607,5,,21453,-762.0,136452,2215,12609300,Assala Nasri,Fouq
95,-4,Muslim - مُسلِم - Aleb Fel Dafater,910,2,(x10),21103,-300.0,138615,754,21738021,Muslim,مُسلِم - Aleb Fel Dafater
96,+1,Cairokee - Ana Negm,1001,7,,20959,-62.0,139298,-1126,16692101,Cairokee,Ana Negm
97,-3,TUL8TE - بقيت وحيد,330,3,(x6),20946,-295.0,143012,1109,10174316,TUL8TE,بقيت وحيد
98,-9,Bahaa Sultan - Ana Mosammem,876,31,,20918,-637.0,123488,3460,11239177,Bahaa Sultan,Ana Mosammem
99,+5,Reda El Bahrawy - لفينا الدنيا (w/ Muslim),720,2,(x17),20882,1022.0,131021,3060,18004363,Reda El Bahrawy,لفينا الدنيا (w/ Muslim)
100,+19,Ahmed Saad - Alf Mara (Kamel El Adad++ series),96,17,,20617,2262.0,134437,-2323,2457896,Ahmed Saad,Alf Mara (Kamel El Adad++ series)
